scenario,system_id,system_name,region,food_system_type,production_stress,water_stress,ecological_degradation,logistics_fragility,input_dependency,price_volatility,household_vulnerability,inequality_pressure,social_protection_capacity,nutritional_adequacy,food_system_diversity,ecological_buffer_condition,governance_capacity,market_access_reliability,storage_capacity,trade_dependency,cross_sector_linkage,production_stress_reduction,water_stress_reduction,ecological_restoration_gain,logistics_gain,input_dependency_reduction,price_volatility_reduction,household_vulnerability_reduction,inequality_reduction,social_protection_gain,nutritional_gain,diversity_gain,ecological_buffer_gain,governance_gain,market_access_gain,storage_gain,trade_dependency_reduction,cross_sector_linkage_reduction,food_system_fragility,food_access_vulnerability,resilience_capacity,cascading_food_risk,justice_weighted_food_risk,food_resilience_gap,diagnostic_priority
baseline,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.72,0.68,0.66,0.82,0.62,0.7,0.76,0.78,0.36,0.44,0.42,0.36,0.42,0.38,0.34,0.64,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7011999999999999,0.6972,0.38160000000000005,2.066947072,2.631223622656,2.249623622656,logistics_storage_and_market_continuity
baseline,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.48,0.54,0.46,0.7,0.82,0.84,0.72,0.76,0.38,0.48,0.4,0.42,0.44,0.52,0.36,0.88,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6204000000000001,0.7044000000000001,0.4176000000000001,2.0663912448000006,2.616051315916801,2.1984513159168007,social_protection_and_food_access
baseline,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.58,0.62,0.54,0.46,0.86,0.66,0.42,0.44,0.6,0.68,0.48,0.5,0.58,0.7,0.62,0.7,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6112,0.45720000000000005,0.5716,1.517704936,1.7514314961439998,1.1798314961439997,close_food_resilience_gap
baseline,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.42,0.38,0.36,0.76,0.54,0.58,0.36,0.38,0.7,0.76,0.58,0.62,0.72,0.68,0.64,0.56,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4956,0.38239999999999996,0.6536000000000001,1.2593189119999997,1.4268083272959997,0.7732083272959996,logistics_storage_and_market_continuity
baseline,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.4,0.44,0.38,0.42,0.36,0.42,0.44,0.42,0.76,0.78,0.76,0.72,0.76,0.74,0.72,0.4,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.36040000000000005,0.7444000000000001,0.9794104320000002,1.1233837655040002,0.37898376550400015,monitor_and_preserve_food_system_resilience
baseline,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.36,0.42,0.34,0.38,0.32,0.4,0.38,0.4,0.72,0.74,0.78,0.76,0.74,0.72,0.7,0.38,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3704,0.35120000000000007,0.7396,0.9099722368000001,1.037368349952,0.29776834995199986,monitor_and_preserve_food_system_resilience
climate_resilient_production,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.5928,0.512,0.5084000000000001,0.752,0.6120000000000001,0.7912,0.8271999999999999,0.7896,0.38,0.45999999999999996,0.5,0.5,0.46,0.44,0.42000000000000004,0.6768,0.7707999999999999,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.619,0.728512,0.4524,1.995976506307635,2.5475845735908127,2.095184573590813,logistics_storage_and_market_continuity
climate_resilient_production,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.6536,0.672,0.5904,0.5451999999999999,0.63,0.6992,0.7707999999999999,0.752,0.42000000000000004,0.52,0.52,0.52,0.52,0.54,0.48,0.5451999999999999,0.6768,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.63127200000000006,0.6704159999999999,0.4992,1.8221148670874108,2.301695500104817,1.802495500104817,social_protection_and_food_access
climate_resilient_production,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.5472,0.544,0.5412,0.7707999999999999,0.558,0.644,0.7143999999999999,0.7332,0.44,0.54,0.58,0.54,0.54,0.46,0.44000000000000006,0.6016,0.752,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.596384,0.634176,0.5048,1.78036964016128,2.2372480972194677,1.7324480972194678,logistics_storage_and_market_continuity
climate_resilient_production,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.3648,0.43200000000000005,0.37720000000000004,0.6579999999999999,0.738,0.7728,0.6768,0.7143999999999999,0.46,0.58,0.56,0.6,0.56,0.6,0.45999999999999996,0.8271999999999999,0.7332,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.5354080000000001,0.639728,0.5408000000000001,1.7893857843972096,2.236803805927888,1.6960038059278881,close_food_resilience_gap
climate_resilient_production,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.44079999999999997,0.496,0.4428000000000001,0.4324,0.774,0.6072000000000001,0.3948,0.41359999999999997,0.6799999999999999,0.78,0.64,0.6799999999999999,0.7,0.7799999999999999,0.72,0.6579999999999999,0.5451999999999999,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.519696,0.403856,0.6947999999999999,1.286735816914688,1.4730036937712583,0.7782036937712584,monitor_and_preserve_food_system_resilience
climate_resilient_production,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.3192,0.30400000000000005,0.2952,0.7143999999999999,0.48600000000000004,0.5336,0.3384,0.35719999999999996,0.7799999999999999,0.86,0.74,0.8,0.84,0.76,0.74,0.5264,0.7143999999999999,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.428744,0.332048,0.7768,1.069738534592205,1.2034772461869223,0.42667724618692227,logistics_storage_and_market_continuity
climate_resilient_production,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.30400000000000005,0.35200000000000004,0.31160000000000004,0.3948,0.324,0.3864,0.41359999999999997,0.3948,0.84,0.88,0.92,0.8999999999999999,0.88,0.82,0.82,0.376,0.45119999999999993,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.34287200000000007,0.311232,0.8676,0.826413706207232,0.9406075521309473,0.07300755213094723,monitor_and_preserve_food_system_resilience
climate_resilient_production,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.2736,0.336,0.27880000000000005,0.35719999999999996,0.28800000000000003,0.36800000000000005,0.35719999999999996,0.376,0.7999999999999999,0.84,0.9400000000000001,0.94,0.86,0.7999999999999999,0.7999999999999999,0.35719999999999996,0.41359999999999997,0.24,0.2,0.18,0.06,0.1,0.08,0.06,0.06,0.08,0.1,0.16,0.18,0.12,0.08,0.1,0.06,0.06,0.31437600000000004,0.30348800000000004,0.8628,0.7689542461582591,0.870148624952686,0.007348624952685956,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.5616,0.4608,0.434,0.5599999999999999,0.48960000000000004,0.6364,0.616,0.588,0.62,0.6599999999999999,0.68,0.66,0.66,0.6599999999999999,0.62,0.5327999999999999,0.6232,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.520624,0.528248,0.6512,1.4439649715217409,1.741132962660915,1.089932962660915,close_food_resilience_gap
integrated_food_system_resilience,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.6192,0.6048,0.504,0.40599999999999997,0.504,0.5624,0.574,0.5599999999999999,0.66,0.72,0.7,0.68,0.72,0.76,0.6799999999999999,0.42919999999999997,0.5472,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.53768,0.47948799999999997,0.698,1.336616976323789,1.5985939036832515,0.9005939036832515,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.5184,0.48960000000000004,0.46199999999999997,0.574,0.44639999999999996,0.518,0.5319999999999999,0.5459999999999999,0.6799999999999999,0.74,0.76,0.7,0.74,0.6799999999999999,0.64,0.4736,0.6080000000000001,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.5018239999999999,0.45004000000000005,0.7035999999999999,1.2853927594106882,1.5310313157340707,0.8274313157340708,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.34559999999999996,0.38880000000000003,0.322,0.48999999999999994,0.5903999999999999,0.6215999999999999,0.504,0.5319999999999999,0.7,0.78,0.74,0.76,0.76,0.8200000000000001,0.6599999999999999,0.6512,0.5928,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.44514400000000004,0.453312,0.7396,1.2649746764422145,1.5005129611957548,0.7609129611957548,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.41759999999999997,0.44639999999999996,0.378,0.322,0.6192,0.4884,0.294,0.308,0.9199999999999999,0.98,0.8200000000000001,0.8400000000000001,0.8999999999999999,1,0.9199999999999999,0.518,0.44079999999999997,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.438496,0.257208,0.8936000000000001,0.9101130825475839,1.0082232728462135,0.11462327284621343,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.3024,0.2736,0.252,0.5319999999999999,0.38880000000000003,0.42919999999999997,0.252,0.26599999999999996,1,1,0.9199999999999999,0.96,1,0.98,0.94,0.41440000000000005,0.5776,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.35472800000000004,0.20810399999999998,0.9656,0.7424554256003072,0.8115780257236958,0,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.288,0.31679999999999997,0.26599999999999996,0.294,0.2592,0.31079999999999997,0.308,0.294,1,1,1,1,1,1,1,0.296,0.3648,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.289344,0.20109599999999997,1,0.59243105491968,0.653392210470915,0,monitor_and_preserve_food_system_resilience
integrated_food_system_resilience,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.2592,0.3024,0.238,0.26599999999999996,0.2304,0.296,0.26599999999999996,0.27999999999999997,1,1,1,1,1,1,1,0.2812,0.33440000000000003,0.28,0.28,0.3,0.3,0.28,0.26,0.3,0.3,0.32,0.3,0.34,0.34,0.32,0.3,0.3,0.26,0.24,0.265368,0.18495999999999999,1,0.5373056987424255,0.5899616572191833,0,monitor_and_preserve_food_system_resilience
logistics_storage_continuity,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.7332,0.6016,0.5828,0.5599999999999999,0.6120000000000001,0.7052,0.8096,0.7728,0.4,0.44,0.42000000000000004,0.4,0.48000000000000004,0.58,0.62,0.648,0.6724,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.6338400000000001,0.701608,0.47280000000000005,1.9168144110768637,2.4352743729849338,1.9624743729849337,production_and_climate_resilience
logistics_storage_continuity,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.8083999999999999,0.7896,0.6768,0.40599999999999997,0.63,0.6232000000000001,0.7544,0.7360000000000001,0.44000000000000006,0.5,0.44,0.42000000000000004,0.54,0.68,0.6799999999999999,0.522,0.5904,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.66604,0.64616,0.5196000000000001,1.7865038649023999,2.246707260501258,1.727107260501258,production_and_climate_resilience
logistics_storage_continuity,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.6768,0.6392,0.6204,0.574,0.558,0.574,0.6992,0.7176,0.45999999999999996,0.52,0.5,0.44,0.56,0.6,0.64,0.5760000000000001,0.6560000000000001,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.612408,0.6116079999999999,0.5252000000000001,1.71803747467264,2.14953976681142,1.62433976681142,close_food_resilience_gap
logistics_storage_continuity,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.45119999999999993,0.5076,0.4324,0.48999999999999994,0.738,0.6888000000000001,0.6624,0.6992,0.48,0.5599999999999999,0.48000000000000004,0.5,0.5800000000000001,0.74,0.6599999999999999,0.792,0.6396000000000001,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.5375920000000001,0.614352,0.5612,1.6991988286174722,2.11502676595674,1.5538267659567402,close_food_resilience_gap
logistics_storage_continuity,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.5451999999999999,0.5828,0.5076,0.322,0.774,0.5412,0.3864,0.4048,0.7,0.76,0.5599999999999999,0.58,0.72,0.9199999999999999,0.9199999999999999,0.63,0.4756,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.54096,0.38516,0.7152000000000001,1.2582697151024,1.436541368338108,0.721341368338108,monitor_and_preserve_food_system_resilience
logistics_storage_continuity,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.3948,0.35719999999999996,0.3384,0.5319999999999999,0.48600000000000004,0.4756,0.3312,0.3496,0.7999999999999999,0.84,0.6599999999999999,0.7,0.86,0.9,0.94,0.5040000000000001,0.6232000000000001,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.42391199999999996,0.3156400000000001,0.7972000000000001,1.010544820578304,1.1341950848242655,0.3369950848242653,monitor_and_preserve_food_system_resilience
logistics_storage_continuity,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.376,0.41359999999999997,0.35719999999999996,0.294,0.324,0.34440000000000004,0.4048,0.3864,0.86,0.86,0.84,0.7999999999999999,0.9,0.96,1,0.36000000000000004,0.3936,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.35456,0.29780000000000006,0.8852000000000001,0.8081648610304002,0.9174610768361515,0.032261076836151426,monitor_and_preserve_food_system_resilience
logistics_storage_continuity,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.3384,0.3948,0.3196,0.26599999999999996,0.28800000000000003,0.32800000000000007,0.3496,0.36800000000000005,0.82,0.82,0.86,0.84,0.88,0.94,1,0.342,0.3608,0.06,0.06,0.06,0.3,0.1,0.18,0.08,0.08,0.1,0.08,0.08,0.08,0.14,0.22,0.3,0.1,0.18,0.32507199999999997,0.290864,0.8832000000000001,0.752640176676864,0.8495802314328441,0,monitor_and_preserve_food_system_resilience
social_protection_and_nutrition,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.7332,0.5888,0.5704,0.7360000000000001,0.6256,0.6708000000000001,0.6335999999999999,0.588,0.62,0.6599999999999999,0.42000000000000004,0.4,0.52,0.48,0.44,0.6624,0.7544,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.654552,0.5400400000000001,0.4796,1.7560673350893568,2.117465992650746,1.6378659926507462,production_and_climate_resilience
social_protection_and_nutrition,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.8083999999999999,0.7728,0.6624,0.5336,0.644,0.5928,0.5903999999999999,0.5599999999999999,0.66,0.72,0.44,0.42000000000000004,0.5800000000000001,0.5800000000000001,0.5,0.5336,0.6624,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.678544,0.490112,0.5264,1.6251460028768254,1.943674619440683,1.4172746194406831,production_and_climate_resilience
social_protection_and_nutrition,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.6768,0.6256,0.6072000000000001,0.7544,0.5704,0.5459999999999999,0.5472,0.5459999999999999,0.6799999999999999,0.74,0.5,0.44,0.6,0.5,0.46,0.5888,0.7360000000000001,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.6342639999999999,0.459848,0.532,1.5716285520445439,1.8719667683402563,1.3399667683402563,logistics_storage_and_market_continuity
social_protection_and_nutrition,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.45119999999999993,0.4968000000000001,0.4232,0.644,0.7544,0.6552,0.5184,0.5319999999999999,0.7,0.78,0.48000000000000004,0.5,0.62,0.64,0.48,0.8096,0.7176,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.556224,0.46415999999999996,0.5680000000000001,1.5412361622552573,1.828214335667186,1.260214335667186,close_food_resilience_gap
social_protection_and_nutrition,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.5451999999999999,0.5704,0.4968000000000001,0.4232,0.7912,0.5148,0.3024,0.308,0.9199999999999999,0.98,0.5599999999999999,0.58,0.76,0.82,0.74,0.644,0.5336,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.551688,0.265032,0.722,1.13050991346432,1.2523788821357735,0.5303788821357736,monitor_and_preserve_food_system_resilience
social_protection_and_nutrition,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.3948,0.3496,0.3312,0.6992,0.4968000000000001,0.45239999999999997,0.2592,0.26599999999999996,1,1,0.6599999999999999,0.7,0.8999999999999999,0.8,0.76,0.5152000000000001,0.6992,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.44626400000000005,0.214936,0.8004,0.9235248223027199,1.0095049832591032,0.2091049832591032,monitor_and_preserve_food_system_resilience
social_protection_and_nutrition,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.376,0.4048,0.3496,0.3864,0.3312,0.3276,0.31679999999999997,0.294,1,1,0.84,0.7999999999999999,0.94,0.86,0.84,0.36800000000000005,0.4416,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.36504800000000004,0.20690399999999998,0.8804,0.7192329527459841,0.7932420235835459,0,monitor_and_preserve_food_system_resilience
social_protection_and_nutrition,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.3384,0.3864,0.3128,0.3496,0.2944,0.31200000000000006,0.2736,0.27999999999999997,1,1,0.86,0.84,0.9199999999999999,0.84,0.82,0.3496,0.4048,0.06,0.08,0.08,0.08,0.08,0.22,0.28,0.3,0.32,0.3,0.08,0.08,0.18,0.12,0.12,0.08,0.08,0.33436800000000005,0.190304,0.8828000000000001,0.6500983187062784,0.7138079539394938,0,monitor_and_preserve_food_system_resilience
