scenario,system_id,system_name,domain,region,primary_hazard,hazard_probability,expected_loss_index,probability_uncertainty,loss_uncertainty,dependency_density,feedback_strength,threshold_sensitivity,adaptive_behavior,monitoring_capacity,redundancy_capacity,flexibility_capacity,institutional_learning,adaptive_governance_capacity,social_vulnerability,criticality_index,probability_reduction,loss_reduction,uncertainty_reduction,dependency_reduction,monitoring_gain,redundancy_gain,flexibility_gain,learning_gain,adaptive_governance_gain,expected_risk,combined_uncertainty,uncertainty_adjusted_risk,complexity_multiplier,systemic_risk,robust_response_capacity,vulnerability_weighted_systemic_risk,resilience_gap,risk_band,capacity_band,priority_class
baseline,RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,0.7,0.73,0.33,0.37,0.66,0.64,0.62,0.57,0.5,0.42,0.48,0.44,0.43,0.82,0.78,0,0,0,0,0,0,0,0,0,0.511,0.35,0.6898500000000001,1.624,1.1203164,0.4544,1.6136768549664005,1.1592768549664005,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC001,Coastal infrastructure network,urban_infrastructure,North America,storm_surge,0.72,0.78,0.26,0.34,0.74,0.58,0.63,0.52,0.66,0.45,0.5,0.55,0.52,0.58,0.8,0,0,0,0,0,0,0,0,0,0.5616,0.30000000000000004,0.7300800000000001,1.6224,1.1844817920000001,0.5392,1.6130746836172802,1.0738746836172801,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC003,Regional electricity grid,critical_infrastructure,Europe,heat_peak_load,0.64,0.7,0.2,0.28,0.82,0.66,0.55,0.5,0.72,0.58,0.54,0.62,0.58,0.42,0.86,0,0,0,0,0,0,0,0,0,0.44799999999999995,0.24000000000000002,0.5555199999999999,1.6400000000000001,0.9110527999999999,0.6115999999999999,1.2022908706815998,0.5906908706815999,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC007,Digital municipal services platform,digital_infrastructure,Asia,cyber_outage,0.55,0.66,0.24,0.35,0.86,0.6,0.48,0.72,0.62,0.4,0.44,0.56,0.5,0.4,0.84,0,0,0,0,0,0,0,0,0,0.36300000000000004,0.295,0.47008500000000003,1.6728,0.7863581880000001,0.5075999999999999,1.0286823272140801,0.5210823272140802,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC006,Watershed governance system,watershed_ecology,South America,flood_landslide,0.58,0.6,0.3,0.32,0.54,0.7,0.68,0.62,0.46,0.48,0.52,0.5,0.46,0.48,0.62,0,0,0,0,0,0,0,0,0,0.348,0.31,0.45588,1.6312,0.743631456,0.48280000000000006,0.956202969486336,0.4734029694863359,elevated,moderate,urgent_systemic_risk_reduction
baseline,RUC008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.42,0.48,0.22,0.24,0.38,0.46,0.42,0.54,0.78,0.7,0.74,0.76,0.72,0.3,0.44,0,0,0,0,0,0,0,0,0,0.20159999999999997,0.22999999999999998,0.24796799999999997,1.4472,0.35885928959999996,0.7408,0.425578408722432,0,moderate,elevated,monitor_and_learn
deep_robustness_transition,RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,0.7452000000000001,0.6364,0.2952,0.34440000000000004,0.496,0.69,0.76,0.61,0.64,0.6,0.6599999999999999,0.64,0.64,0.74,0.72,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.47424528000000005,0.31980000000000003,0.625908920544,1.6332799999999998,1.0222845217461043,0.6356,1.4291210482963577,0.7935210482963576,elevated,moderate,urgent_systemic_risk_reduction
deep_robustness_transition,RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,0.6256,0.6536,0.25420000000000004,0.31980000000000003,0.7040000000000001,0.72,0.58,0.64,0.74,0.62,0.7,0.74,0.74,0.52,0.9,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.40889216,0.28700000000000003,0.52624420992,1.66272,0.8749967727181823,0.7088,1.193565597729418,0.48476559772941796,elevated,elevated,complexity_governance_priority
deep_robustness_transition,RUC001,Coastal infrastructure network,urban_infrastructure,North America,storm_surge,0.6624,0.6708000000000001,0.21320000000000003,0.27880000000000005,0.592,0.58,0.63,0.52,0.8600000000000001,0.69,0.74,0.79,0.78,0.58,0.8,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.44433792000000005,0.24600000000000005,0.55364504832,1.5809600000000001,0.8752906755919874,0.7744000000000001,1.1920058536481921,0.417605853648192,elevated,elevated,capacity_building_priority
deep_robustness_transition,RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,0.644,0.6278,0.2706,0.3034,0.528,0.64,0.62,0.57,0.7,0.6599999999999999,0.72,0.6799999999999999,0.69,0.82,0.78,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.40430320000000003,0.28700000000000003,0.5203382184,1.58704,0.825797566129536,0.6896,1.1894589951113965,0.49985899511139653,elevated,elevated,capacity_building_priority
deep_robustness_transition,RUC003,Regional electricity grid,critical_infrastructure,Europe,heat_peak_load,0.5888,0.602,0.16400000000000003,0.22960000000000003,0.656,0.66,0.55,0.5,0.9199999999999999,0.82,0.78,0.86,0.84,0.42,0.86,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.3544576,0.19680000000000003,0.42421485568,1.5940800000000004,0.6762324171423746,0.8468000000000001,0.8924049863951117,0.04560498639511157,elevated,elevated,monitor_and_learn
deep_robustness_transition,RUC007,Digital municipal services platform,digital_infrastructure,Asia,cyber_outage,0.5060000000000001,0.5676,0.1968,0.287,0.6880000000000001,0.6,0.48,0.72,0.8200000000000001,0.64,0.6799999999999999,0.8,0.76,0.4,0.84,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.28720560000000006,0.2419,0.35668063464000005,1.6246399999999999,0.5794776262615297,0.7428,0.7580494515702827,0.01524945157028268,elevated,elevated,monitor_and_learn
deep_robustness_transition,RUC006,Watershed governance system,watershed_ecology,South America,flood_landslide,0.5336,0.516,0.246,0.2624,0.43200000000000005,0.7,0.68,0.62,0.66,0.72,0.76,0.74,0.72,0.48,0.62,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.2753376,0.2542,0.34532841792,1.60096,0.5528569839532033,0.7180000000000001,0.7108944699581301,0,elevated,elevated,monitor_and_learn
deep_robustness_transition,RUC008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.3864,0.4128,0.1804,0.1968,0.30400000000000005,0.46,0.42,0.54,0.98,0.94,0.98,1,0.98,0.3,0.44,0.08,0.14,0.18,0.2,0.2,0.24,0.24,0.24,0.26,0.15950592,0.1886,0.189588736512,1.42592,0.27033837116719106,0.976,0.32059968113459525,0,moderate,elevated,monitor_and_learn
monitoring_upgrade,RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,0.7938000000000001,0.7252,0.2952,0.34440000000000004,0.6076,0.69,0.76,0.61,0.64,0.39999999999999997,0.48,0.48000000000000004,0.46,0.74,0.72,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.57566376,0.31980000000000003,0.759761030448,1.664528,1.2646435084895487,0.49520000000000003,1.7679311562761173,1.2727311562761172,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,0.6664,0.7448,0.25420000000000004,0.31980000000000003,0.86239999999999994,0.72,0.58,0.64,0.74,0.42,0.52,0.58,0.5599999999999999,0.52,0.9,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.49633472,0.28700000000000003,0.6387827846399999,1.707072,1.090448205740974,0.5684,1.4874585884871474,0.9190585884871474,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC001,Coastal infrastructure network,urban_infrastructure,North America,storm_surge,0.7056,0.7644,0.21320000000000003,0.27880000000000005,0.7252,0.58,0.63,0.52,0.8600000000000001,0.49,0.56,0.63,0.6,0.58,0.8,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.53936064,0.24600000000000005,0.6720433574399999,1.6182560000000001,1.0875381954374246,0.634,1.4810530160745023,0.8470530160745023,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,0.6859999999999999,0.7153999999999999,0.2706,0.3034,0.6468,0.64,0.62,0.57,0.7,0.45999999999999996,0.54,0.52,0.51,0.82,0.78,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.49076439999999993,0.28700000000000003,0.6316137827999999,1.620304,1.023406338725971,0.5492,1.4740899285487594,0.9248899285487594,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC003,Regional electricity grid,critical_infrastructure,Europe,heat_peak_load,0.6272,0.6859999999999999,0.16400000000000003,0.22960000000000003,0.8036,0.66,0.55,0.5,0.9199999999999999,0.62,0.6000000000000001,0.7,0.6599999999999999,0.42,0.86,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.43025919999999995,0.19680000000000003,0.51493421056,1.6354080000000004,0.8421275274235087,0.7064,1.1113321183700364,0.4049321183700364,elevated,elevated,capacity_building_priority
monitoring_upgrade,RUC007,Digital municipal services platform,digital_infrastructure,Asia,cyber_outage,0.539,0.6468,0.1968,0.287,0.8428,0.6,0.48,0.72,0.8200000000000001,0.44,0.5,0.64,0.58,0.4,0.84,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.3486252,0.2419,0.43295763588,1.667984,0.7221664093256659,0.6024,0.9447092100234632,0.34230921002346315,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC006,Watershed governance system,watershed_ecology,South America,flood_landslide,0.5683999999999999,0.588,0.246,0.2624,0.5292,0.7,0.68,0.62,0.66,0.52,0.5800000000000001,0.58,0.54,0.48,0.62,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.33421919999999994,0.2542,0.4191777206399999,1.628176,0.6824951044807526,0.5776,0.8775904250672025,0.2999904250672025,elevated,moderate,urgent_systemic_risk_reduction
monitoring_upgrade,RUC008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.41159999999999997,0.4704,0.1804,0.1968,0.3724,0.46,0.42,0.54,0.98,0.74,0.8,0.84,0.7999999999999999,0.3,0.44,0.02,0.02,0.18,0.02,0.2,0.04,0.06,0.08,0.08,0.19361663999999998,0.1886,0.230132738304,1.445072,0.33255837640643787,0.8356,0.39438762974792285,0,moderate,elevated,monitor_and_learn
redundancy_and_modularity,RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,0.7857000000000001,0.6956,0.3384,0.3948,0.5207999999999999,0.69,0.76,0.61,0.5,0.58,0.6,0.48000000000000004,0.46,0.74,0.72,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.5465329200000001,0.3666,0.7468918884720002,1.6402240000000001,1.225070000877098,0.522,1.7126086589861547,1.1906086589861546,elevated,moderate,urgent_systemic_risk_reduction
redundancy_and_modularity,RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,0.6596000000000001,0.7143999999999999,0.2914,0.3666,0.7392,0.72,0.58,0.64,0.6000000000000001,0.6,0.64,0.58,0.5599999999999999,0.52,0.9,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.47121824,0.32899999999999996,0.62624904096,1.672576,1.047449115932713,0.5952,1.428804390061495,0.8336043900614951,elevated,moderate,urgent_systemic_risk_reduction
redundancy_and_modularity,RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,0.6789999999999999,0.6861999999999999,0.3102,0.3478,0.5544,0.64,0.62,0.57,0.56,0.64,0.6599999999999999,0.52,0.51,0.82,0.78,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.4659297999999999,0.32899999999999996,0.6192207041999999,1.594432,0.9873053058390142,0.576,1.422090867203176,0.8460908672031761,elevated,moderate,urgent_systemic_risk_reduction
redundancy_and_modularity,RUC001,Coastal infrastructure network,urban_infrastructure,North America,storm_surge,0.6983999999999999,0.7332,0.2444,0.3196,0.6215999999999999,0.58,0.63,0.52,0.72,0.67,0.6799999999999999,0.63,0.6,0.58,0.8,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.5120668799999999,0.28200000000000003,0.6564697401599999,1.589248,1.0432932216097996,0.6607999999999999,1.4207984409170897,0.7599984409170898,elevated,elevated,capacity_building_priority
redundancy_and_modularity,RUC003,Regional electricity grid,critical_infrastructure,Europe,heat_peak_load,0.6208,0.6579999999999999,0.188,0.2632,0.6888,0.66,0.55,0.5,0.78,0.7999999999999999,0.72,0.7,0.6599999999999999,0.42,0.86,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.40848639999999997,0.2256,0.50064093184,1.6032640000000002,0.802659582945526,0.7332,1.059247377144888,0.3260473771448881,elevated,elevated,capacity_building_priority
redundancy_and_modularity,RUC007,Digital municipal services platform,digital_infrastructure,Asia,cyber_outage,0.5335,0.6204,0.22559999999999997,0.32899999999999996,0.7223999999999999,0.6,0.48,0.72,0.6799999999999999,0.62,0.62,0.64,0.58,0.4,0.84,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.3309834,0.2773,0.42276509681999996,1.634272,0.690913160310215,0.6291999999999999,0.9038249597914109,0.274624959791411,elevated,moderate,urgent_systemic_risk_reduction
redundancy_and_modularity,RUC006,Watershed governance system,watershed_ecology,South America,flood_landslide,0.5626,0.564,0.282,0.3008,0.4536,0.7,0.68,0.62,0.52,0.7,0.7,0.58,0.54,0.48,0.62,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.3173064,0.2914,0.40976948495999993,1.607008,0.6585028404865996,0.6043999999999999,0.846739828456737,0.24233982845673707,elevated,moderate,urgent_systemic_risk_reduction
redundancy_and_modularity,RUC008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.4074,0.45119999999999993,0.20679999999999998,0.22559999999999997,0.3192,0.46,0.42,0.54,0.8400000000000001,0.9199999999999999,0.9199999999999999,0.84,0.7999999999999999,0.3,0.44,0.03,0.06,0.06,0.16,0.06,0.22,0.18,0.08,0.08,0.18381887999999996,0.21619999999999998,0.22356052185599995,1.430176,0.31973089290592654,0.86240000000000006,0.37917526051499645,0,moderate,elevated,monitor_and_learn
