scenario,system_id,system_name,region,ecosystem_type,ecosystem_condition,ecological_connectivity,functional_biodiversity,maintenance_capacity,restoration_investment,hazard_pressure,exposure,social_vulnerability,governance_capacity,degradation_pressure,condition_gain,connectivity_gain,biodiversity_gain,maintenance_gain,restoration_gain,hazard_reduction,exposure_reduction,vulnerability_reduction,governance_gain,degradation_reduction,natural_buffer_capacity,hazard_exposure_pressure,buffer_adjusted_risk,ecological_fragility,justice_weighted_ecosystem_risk,ecosystem_resilience_gap,diagnostic_priority
connectivity_and_biodiversity,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.62,0.74,0.8400000000000001,0.54,0.64,0.8256,0.768,0.6956,0.56,0.5576000000000001,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.6772,0.7884292423679999,0.471420450941947,0.335312,0.9750813788045125,0.2978813788045125,reduce_exposure_to_hazard_pressure
connectivity_and_biodiversity,EBR002,Disconnected river floodplain,Europe,floodplain,0.56,0.64,0.76,0.5,0.54,0.7103999999999999,0.6528,0.45119999999999993,0.66,0.574,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.6016000000000001,0.5369843810304,0.3269959944472048,0.40127999999999997,0.8268554330555784,0.22525543305557827,monitor_and_preserve_natural_buffers
connectivity_and_biodiversity,EBR001,Urban wetland flood buffer,North America,wetland,0.66,0.76,0.8799999999999999,0.6,0.62,0.7488,0.6911999999999999,0.564,0.62,0.5084000000000001,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.7060000000000001,0.619738988544,0.3573064855416176,0.296208,0.7640891364952593,0.058089136495259264,reduce_exposure_to_hazard_pressure
connectivity_and_biodiversity,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.72,0.8200000000000001,0.8600000000000001,0.62,0.72,0.6911999999999999,0.6144,0.7143999999999999,0.5800000000000001,0.4756,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.75,0.5308585869311999,0.30069821083484155,0.26267199999999996,0.6841117144209647,0,monitor_and_preserve_natural_buffers
connectivity_and_biodiversity,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.78,0.8799999999999999,0.8999999999999999,0.68,0.76,0.7296,0.6719999999999999,0.6204,0.7,0.3936,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.8024,0.5967530311679999,0.3145538935059332,0.20443200000000003,0.6155795480052576,0,monitor_and_preserve_natural_buffers
connectivity_and_biodiversity,EBR007,Connected watershed restoration region,South America,restored_watershed,0.9,1,1,0.82,0.8999999999999999,0.5568,0.4992,0.3948,0.84,0.27880000000000005,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.9256,0.3163623211007999,0.14582695882155686,0.08665600000000001,0.2600182404643821,0,monitor_and_preserve_natural_buffers
ecosystem_restoration,EBR005,Degraded coral reef coastline,Small Islands,reef,0.56,0.56,0.56,0.48,0.64,0.8271999999999999,0.7896,0.7176,0.52,0.6232,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.56,0.8172040622592,0.531803715555797,0.47318399999999994,1.2213414709606487,0.6613414709606487,reduce_exposure_to_hazard_pressure
ecosystem_restoration,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.58,0.54,0.6,0.5,0.7,0.7707999999999999,0.6579999999999999,0.5704,0.54,0.5928,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.5831999999999999,0.6084410928959999,0.38817896779206323,0.457136,0.9899652650806411,0.40676526508064115,reduce_exposure_to_hazard_pressure
ecosystem_restoration,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.7,0.6,0.72,0.58,0.76,0.8083999999999999,0.752,0.6808000000000001,0.56,0.5168,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.6732,0.7527712151039999,0.45126496475233896,0.36241600000000007,0.9798671649933568,0.3066671649933568,reduce_exposure_to_hazard_pressure
ecosystem_restoration,EBR002,Disconnected river floodplain,Europe,floodplain,0.64,0.5,0.64,0.54,0.6599999999999999,0.6956,0.6392,0.4416,0.66,0.5319999999999999,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.5976,0.5133491494912,0.3133749123353721,0.42824,0.8398640559215622,0.2422640559215622,monitor_and_preserve_natural_buffers
ecosystem_restoration,EBR001,Urban wetland flood buffer,North America,wetland,0.74,0.62,0.76,0.64,0.74,0.7332,0.6768,0.552,0.62,0.4712,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.702,0.592101349632,0.3422727706243472,0.323744,0.776309147839739,0.07430914783973908,monitor_and_preserve_natural_buffers
ecosystem_restoration,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.7999999999999999,0.68,0.74,0.66,0.8400000000000001,0.6768,0.6016,0.6992,0.5800000000000001,0.44079999999999997,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.746,0.5068037799936,0.28785263714753495,0.290496,0.6996630472756018,0,monitor_and_preserve_natural_buffers
ecosystem_restoration,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.86,0.74,0.78,0.7200000000000001,0.8799999999999999,0.7143999999999999,0.6579999999999999,0.6072000000000001,0.7,0.3648,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.7984,0.569975581504,0.3012856725295253,0.232976,0.6315827787975037,0,monitor_and_preserve_natural_buffers
ecosystem_restoration,EBR007,Connected watershed restoration region,South America,restored_watershed,0.98,0.9,0.96,0.86,1,0.5451999999999999,0.4888,0.3864,0.84,0.2584,0.22,0.16,0.18,0.16,0.3,0.06,0.06,0.08,0.12,0.24,0.942,0.30253437610239997,0.1376891427173482,0.089008,0.2529758755011432,0,monitor_and_preserve_natural_buffers
governance_and_maintenance,EBR005,Degraded coral reef coastline,Small Islands,reef,0.46,0.52,0.48,0.62,0.54,0.8271999999999999,0.7728,0.7020000000000001,0.7,0.656,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.5192,0.796326381312,0.503474965605368,0.5127200000000001,1.2302056253618585,0.7110056253618585,reduce_exposure_to_hazard_pressure
governance_and_maintenance,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.48,0.5,0.52,0.64,0.6000000000000001,0.7707999999999999,0.644,0.558,0.72,0.6240000000000001,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.5424,0.59334118256,0.3677851427110193,0.49648,1.0089431276008438,0.4665431276008438,reduce_exposure_to_hazard_pressure
governance_and_maintenance,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.6,0.56,0.64,0.72,0.66,0.8083999999999999,0.7360000000000001,0.666,0.74,0.544,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.6324000000000001,0.73367279744,0.42778061708678766,0.40128,0.9947069283807278,0.36230692838072776,reduce_exposure_to_hazard_pressure
governance_and_maintenance,EBR002,Disconnected river floodplain,Europe,floodplain,0.54,0.46,0.56,0.6799999999999999,0.56,0.6956,0.6256,0.432,0.8400000000000001,0.5599999999999999,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.5568,0.500964664832,0.2965999371452383,0.46719999999999995,0.862788408999261,0.30598840899926105,monitor_and_preserve_natural_buffers
governance_and_maintenance,EBR001,Urban wetland flood buffer,North America,wetland,0.64,0.5800000000000001,0.6799999999999999,0.78,0.64,0.7332,0.6624,0.54,0.8,0.496,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.6611999999999999,0.57746362752,0.3245160798301594,0.36232000000000003,0.7981035247626451,0.13690352476264522,monitor_and_preserve_natural_buffers
governance_and_maintenance,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.7,0.64,0.66,0.8,0.74,0.6768,0.5888,0.684,0.76,0.46399999999999997,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.7051999999999999,0.49390070169600003,0.2731046649460311,0.32888,0.7255119181929567,0.020311918192956746,monitor_and_preserve_natural_buffers
governance_and_maintenance,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.76,0.7,0.7,0.8600000000000001,0.78,0.7143999999999999,0.644,0.5940000000000001,0.8799999999999999,0.384,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.7576,0.5557229014399999,0.28568736290723856,0.27088,0.6557476669773084,0,monitor_and_preserve_natural_buffers
governance_and_maintenance,EBR007,Connected watershed restoration region,South America,restored_watershed,0.88,0.86,0.88,1,0.9199999999999999,0.5451999999999999,0.47840000000000005,0.378,1,0.272,0.12,0.12,0.1,0.3,0.2,0.06,0.08,0.1,0.3,0.2,0.9048,0.295330652864,0.13131286818292032,0.12624000000000002,0.28675936343486347,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR005,Degraded coral reef coastline,Small Islands,reef,0.64,0.7,0.6799999999999999,0.62,0.68,0.7216,0.6552,0.5459999999999999,0.7,0.574,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.6636,0.5631429323520001,0.3258561816617628,0.36528000000000005,0.8043442882179596,0.1407442882179596,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.6599999999999999,0.6799999999999999,0.72,0.64,0.74,0.6724,0.5459999999999999,0.434,0.72,0.5459999999999999,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.6868,0.42289750775999996,0.23960137928958938,0.34952000000000005,0.6658249828730939,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.78,0.74,0.8400000000000001,0.72,0.8,0.7052,0.6240000000000001,0.518,0.74,0.476,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.7768,0.5198249222400002,0.27556366177375535,0.25551999999999997,0.6136140628133969,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR002,Disconnected river floodplain,Europe,floodplain,0.72,0.64,0.76,0.6799999999999999,0.7,0.6068,0.5304000000000001,0.33599999999999997,0.8400000000000001,0.48999999999999994,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.7011999999999999,0.35969589427200005,0.19449598691679643,0.32120000000000004,0.5676781423980096,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR001,Urban wetland flood buffer,North America,wetland,0.8200000000000001,0.76,0.8799999999999999,0.78,0.78,0.6396000000000001,0.5616,0.42,0.8,0.434,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.8055999999999999,0.41200166592000004,0.21011425759254532,0.21728,0.481245934049206,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.8799999999999999,0.8200000000000001,0.8600000000000001,0.8,0.8800000000000001,0.5904,0.49920000000000003,0.5319999999999999,0.76,0.40599999999999997,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.8496,0.349605974016,0.17491514060446436,0.18431999999999998,0.4165690690449369,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.94,0.8799999999999999,0.8999999999999999,0.8600000000000001,0.9199999999999999,0.6232000000000001,0.5459999999999999,0.46199999999999997,0.8799999999999999,0.33599999999999997,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,0.9019999999999999,0.39528840624,0.18317585687480356,0.12752000000000005,0.3537583026376514,0,monitor_and_preserve_natural_buffers
integrated_ecosystem_resilience,EBR007,Connected watershed restoration region,South America,restored_watershed,1,1,1,1,1,0.4756,0.4056,0.294,1,0.238,0.3,0.3,0.3,0.3,0.34,0.18,0.22,0.3,0.3,0.3,1,0.21275311574400002,0.08776066024440002,0.02856,0.1265801424779561,0,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR005,Degraded coral reef coastline,Small Islands,reef,0.52,0.5800000000000001,0.54,0.54,0.5800000000000001,0.792,0.6888000000000001,0.5616,0.66,0.6232,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.5504,0.6527588981760001,0.41005478452026656,0.475584,1.034851206936241,0.484451206936241,reduce_exposure_to_hazard_pressure
justice_centered_buffer_protection,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.54,0.56,0.58,0.56,0.64,0.738,0.574,0.44639999999999996,0.6799999999999999,0.5928,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.5736,0.48979713887999987,0.3015976821556043,0.45953599999999994,0.8630647048698828,0.28946470486988285,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.6599999999999999,0.62,0.7000000000000001,0.64,0.7,0.774,0.6560000000000001,0.5327999999999999,0.7,0.5168,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.6636,0.6024281011200001,0.34858809278992514,0.36481600000000003,0.8274346029814669,0.1638346029814669,reduce_exposure_to_hazard_pressure
justice_centered_buffer_protection,EBR002,Disconnected river floodplain,Europe,floodplain,0.6,0.52,0.62,0.6,0.6,0.666,0.5576000000000001,0.34559999999999996,0.8,0.5319999999999999,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.588,0.41628149913600004,0.24490673157169157,0.43064,0.7455874167010447,0.1575874167010447,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR001,Urban wetland flood buffer,North America,wetland,0.7,0.64,0.74,0.7,0.6799999999999999,0.7020000000000001,0.5904,0.432,0.76,0.4712,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.6923999999999999,0.47712727296000007,0.26605580537340984,0.326144,0.6689489001498038,0,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.76,0.7,0.7200000000000001,0.72,0.78,0.648,0.5248,0.5472,0.72,0.44079999999999997,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.7364,0.40520068300800005,0.22215873015170337,0.292896,0.599606114653407,0,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.8200000000000001,0.76,0.76,0.78,0.82,0.684,0.574,0.4752,0.84,0.3648,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.7888,0.45791589312000003,0.23334551348151863,0.235376,0.5355424524434439,0,monitor_and_preserve_natural_buffers
justice_centered_buffer_protection,EBR007,Connected watershed restoration region,South America,restored_watershed,0.94,0.9199999999999999,0.9400000000000001,0.9199999999999999,0.96,0.522,0.42640000000000006,0.3024,0.98,0.2584,0.18,0.18,0.16,0.22,0.24,0.1,0.18,0.28,0.26,0.24,0.9359999999999999,0.24613875187200004,0.10756115773555279,0.09140800000000003,0.21701963972532215,0,monitor_and_preserve_natural_buffers
