scenario,project_id,project_name,region,solution_type,ecosystem_condition,biodiversity_benefit,ecological_connectivity,intervention_quality,governance_capacity,maintenance_capacity,hazard_pressure,exposure,social_vulnerability,social_legitimacy,livelihood_benefit,displacement_pressure,ecosystem_condition_gain,biodiversity_gain,connectivity_gain,intervention_quality_gain,governance_gain,maintenance_gain,hazard_reduction,exposure_reduction,vulnerability_reduction,legitimacy_gain,livelihood_gain,displacement_reduction,nbs_integrity,hazard_vulnerability_pressure,buffer_effectiveness,nature_adjusted_risk,credibility_risk,justice_weighted_nbs_risk,nbs_resilience_gap,diagnostic_priority
ecological_integrity,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.78,0.8799999999999999,0.92,0.8200000000000001,0.7,0.66,0.6768,0.6336,0.4324,0.7,0.5599999999999999,0.3196,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.7968,0.4937181714432,1.0121935257599999,0.22402462029235204,0.257912,0.544453438676676,0,monitor_and_preserve_nbs_performance
ecological_integrity,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.88,0.96,0.86,0.8800000000000001,0.6799999999999999,0.68,0.6579999999999999,0.6144,0.564,0.72,0.6599999999999999,0.282,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.8311999999999999,0.4840791244799999,1.0772500951039998,0.22098212032512,0.20443999999999998,0.49740354308413026,0,monitor_and_preserve_nbs_performance
ecological_integrity,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.9,0.9199999999999999,0.96,0.8999999999999999,0.82,0.8,0.6579999999999999,0.6336,0.6016,0.86,0.7,0.1692,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.8862,0.504693116928,1.18665653904,0.220677065376768,0.136424,0.4215506656559671,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.48,0.54,0.5800000000000001,0.6,0.7,0.6599999999999999,0.8271999999999999,0.7728,0.7176,0.62,0.72,0.31679999999999997,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.586,0.7998167417856,0.75223497984,0.43648620097569846,0.405696,1.0234871852017469,0.2712522053617469,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.66,0.56,0.54,0.72,0.8200000000000001,0.74,0.7707999999999999,0.7176,0.644,0.6599999999999999,0.56,0.5808,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.6684,0.677800698432,0.842609209344,0.3345329779367914,0.398576,0.8747456324741796,0.032136423130179614,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.6,0.7,0.66,0.76,0.76,0.72,0.8083999999999999,0.7544,0.6992,0.6799999999999999,0.78,0.3872,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.6951999999999999,0.7591011552511999,0.911409869568,0.3626917779087289,0.341184,0.8515207610828639,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.6799999999999999,0.72,0.64,0.78,0.8400000000000001,0.78,0.7143999999999999,0.6624,0.5336,0.74,0.6,0.33440000000000003,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.7358,0.5615968582656,0.9479917699200001,0.25439715755470493,0.286368,0.6273308439760622,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.7,0.78,0.7,0.8200000000000001,0.78,0.76,0.6956,0.6256,0.7360000000000001,0.78,0.82,0.24640000000000004,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.7545999999999999,0.547266471936,1.0145809495359999,0.242302230449664,0.247008,0.59734992933295,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.64,0.6799999999999999,0.8,0.8,0.8999999999999999,0.8400000000000001,0.6768,0.6072000000000001,0.4232,0.8,0.58,0.2992,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.7674,0.47182331243520004,0.99667947456,0.201661074008108,0.27382399999999996,0.5358526590041773,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.74,0.76,0.74,0.8600000000000001,0.8799999999999999,0.8600000000000001,0.6579999999999999,0.5888,0.552,0.8200000000000001,0.6799999999999999,0.264,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.8018000000000001,0.46228195327999994,1.0622895537280002,0.19831895795711998,0.22087999999999997,0.488618305394819,0,monitor_and_preserve_nbs_performance
governance_and_maintenance,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.76,0.72,0.84,0.8799999999999999,1,0.98,0.6579999999999999,0.6072000000000001,0.5888,0.96,0.72,0.15839999999999999,0.1,0.1,0.12,0.18,0.3,0.3,0.06,0.08,0.08,0.18,0.1,0.12,0.8538,0.481874308608,1.168144843776,0.19877315230080003,0.15444800000000003,0.4156141366432134,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.56,0.62,0.66,0.6599999999999999,0.5800000000000001,0.54,0.6864,0.672,0.6864,0.5800000000000001,0.74,0.31679999999999997,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.6028,0.572074094592,0.7702556216959999,0.31958584605434365,0.400896,0.868843467793854,0.09858784609785409,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.74,0.64,0.62,0.78,0.7,0.62,0.6396,0.6240000000000001,0.616,0.62,0.5800000000000001,0.5808,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.6852,0.48515860224000007,0.8599535176320001,0.2453652062956293,0.393776,0.7572545012190617,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.6799999999999999,0.78,0.74,0.82,0.64,0.6,0.6708000000000001,0.656,0.6688000000000001,0.64,0.8,0.3872,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.712,0.5430504867840001,0.9292135424,0.2654198793515034,0.336384,0.722549809704589,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.76,0.8,0.72,0.84,0.72,0.6599999999999999,0.5928,0.576,0.5104,0.7000000000000001,0.62,0.33440000000000003,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.7525999999999999,0.40244992819199993,0.9654250446399998,0.18663943759798338,0.281568,0.5398993604429865,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.78,0.8600000000000001,0.78,0.88,0.6599999999999999,0.64,0.5772,0.544,0.7040000000000001,0.74,0.84,0.24640000000000004,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.7714000000000001,0.39136561152,1.0326078887040002,0.17973465709056,0.24220799999999998,0.5110569462680863,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.72,0.76,0.8800000000000001,0.86,0.78,0.72,0.5616,0.528,0.4048,0.76,0.6,0.2992,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.7841999999999999,0.33853643366400005,1.01417260992,0.149887006004736,0.269024,0.4697835585739511,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.8200000000000001,0.8400000000000001,0.8200000000000001,0.92,0.76,0.74,0.5459999999999999,0.512,0.528,0.78,0.7,0.264,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.8186,0.3312132096,1.0799148017599998,0.14755548487680004,0.21607999999999997,0.4212353456812851,0,monitor_and_preserve_nbs_performance
hazard_buffer_performance,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.8400000000000001,0.8,0.9199999999999999,0.94,0.8999999999999999,0.8600000000000001,0.5459999999999999,0.528,0.5632,0.92,0.74,0.15839999999999999,0.18,0.18,0.2,0.24,0.18,0.18,0.22,0.2,0.12,0.14,0.12,0.12,0.8736,0.34511533056,1.190332136448,0.1471054096512,0.14964799999999995,0.3468928657458667,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.6799999999999999,0.76,0.76,0.72,0.72,0.6799999999999999,0.6688000000000001,0.6384,0.5459999999999999,0.78,0.9199999999999999,0.23759999999999995,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.7195999999999999,0.508554342912,0.9826979644159998,0.23260484900283518,0.26787200000000005,0.5824549568694997,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.8600000000000001,0.78,0.72,0.8400000000000001,0.8400000000000001,0.76,0.6232,0.5928,0.48999999999999994,0.8200000000000001,0.76,0.4356,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.802,0.43279071263999996,1.0761867334400002,0.18804756464208,0.24623199999999995,0.4981186606444657,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.8,0.9199999999999999,0.8400000000000001,0.8799999999999999,0.78,0.74,0.6536,0.6232,0.5319999999999999,0.8400000000000001,0.98,0.2904,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.8288,0.4831671594239999,1.155180379136,0.21392225983497598,0.199488,0.47939053730463815,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.8799999999999999,0.94,0.8200000000000001,0.8999999999999999,0.8600000000000001,0.8,0.5776,0.5472,0.40599999999999997,0.9000000000000001,0.8,0.25079999999999997,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.8694,0.360975232512,1.1915231327999998,0.15585105663705598,0.14757599999999998,0.3403844721354493,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.8999999999999999,1,0.8799999999999999,0.94,0.8,0.78,0.5624,0.5168,0.5599999999999999,0.94,1,0.1848,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.8881999999999999,0.34761539072000003,1.2648181167999997,0.15295077191680004,0.11305600000000002,0.31069590959882243,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.8400000000000001,0.8999999999999999,0.98,0.9199999999999999,0.9199999999999999,0.8600000000000001,0.5472,0.5016,0.322,0.96,0.78,0.2244,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.901,0.30540891110400004,1.2445084844800003,0.12934067385254402,0.13696799999999998,0.29203409174669975,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.94,0.98,0.9199999999999999,0.98,0.8999999999999999,0.8800000000000001,0.5319999999999999,0.4864,0.42,0.98,0.8799999999999999,0.19799999999999998,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.9354000000000001,0.29680322559999994,1.317184482816,0.126512374912,0.08595999999999998,0.23924389415091193,0,monitor_and_preserve_nbs_performance
integrated_nature_based_resilience,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.96,0.94,1,1,1,1,0.5319999999999999,0.5016,0.44799999999999995,1,0.9199999999999999,0.11879999999999998,0.3,0.32,0.3,0.3,0.32,0.32,0.24,0.24,0.3,0.34,0.3,0.34,0.9812000000000001,0.30869346816000004,1.3952977984000001,0.12733605561600003,0.04693600000000002,0.1976942198907905,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.46,0.54,0.54,0.56,0.64,0.52,0.8271999999999999,0.7392,0.5772,0.78,0.86,0.23759999999999995,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.5392,0.7349946498048,0.729518016256,0.4147149907377397,0.3890719999999999,0.9429707460538866,0.21345272979788665,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.64,0.56,0.5,0.68,0.76,0.6,0.7707999999999999,0.6864,0.518,0.8200000000000001,0.7,0.4356,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.6216,0.624998801856,0.8261874566400002,0.3180335603530278,0.367432,0.7919869084318882,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.58,0.7,0.62,0.72,0.7,0.58,0.8083999999999999,0.7215999999999999,0.5624,0.8400000000000001,0.92,0.2904,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.6484,0.6981663690495998,0.8954422673920001,0.34389375455838456,0.32068800000000003,0.7767099881874752,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.6599999999999999,0.72,0.6,0.74,0.78,0.64,0.7143999999999999,0.6335999999999999,0.42919999999999997,0.9000000000000001,0.74,0.25079999999999997,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.689,0.5206399976448,0.9353682103999998,0.24270303334314608,0.26877599999999996,0.5773370736764095,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.6799999999999999,0.78,0.6599999999999999,0.78,0.72,0.62,0.6956,0.5984,0.592,0.94,0.96,0.1848,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.7077999999999999,0.502493426688,1.0017741413119998,0.22662453543628805,0.23425600000000005,0.5427329185297729,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.62,0.6799999999999999,0.76,0.76,0.84,0.7000000000000001,0.6768,0.5808,0.34040000000000004,0.96,0.72,0.2244,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.7205999999999999,0.43991763932159994,0.9859043973119999,0.19334863574942354,0.258168,0.4976255145921547,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.72,0.76,0.7,0.8200000000000001,0.82,0.7200000000000001,0.6579999999999999,0.5632,0.444,0.98,0.82,0.19799999999999998,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.755,0.4281746022399999,1.0532420327999998,0.18721934482944,0.20715999999999998,0.4469106735607214,0,monitor_and_preserve_nbs_performance
rights_and_social_legitimacy,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.74,0.72,0.7999999999999999,0.84,0.96,0.8400000000000001,0.6579999999999999,0.5808,0.4736,1,0.86,0.11879999999999998,0.08,0.1,0.08,0.14,0.24,0.16,0.06,0.12,0.26,0.34,0.24,0.34,0.8099999999999999,0.4455143024639999,1.1411733599999998,0.18622497842995198,0.16813599999999998,0.4047085862452795,0,monitor_and_preserve_nbs_performance
