project_id,project_name,region,solution_type,metric,value
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,hazard_vulnerability_pressure,0.5517072000000001
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,buffer_effectiveness,0.7301335453440001
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,nature_adjusted_risk,0.31487249527261224
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,credibility_risk,0.4112
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,justice_weighted_nbs_risk,0.8262704996202327
NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,nbs_resilience_gap,0.09613695427623259
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,nbs_integrity,0.6258
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,hazard_vulnerability_pressure,0.5420799999999999
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,buffer_effectiveness,0.7884451196160002
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,nature_adjusted_risk,0.2990361228626554
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,credibility_risk,0.3572
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,justice_weighted_nbs_risk,0.7743586249779334
NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,nbs_resilience_gap,0
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,nbs_integrity,0.6808
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,hazard_vulnerability_pressure,0.565488
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,buffer_effectiveness,0.8866402612479999
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,nature_adjusted_risk,0.2786893060485873
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,credibility_risk,0.28759999999999997
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,justice_weighted_nbs_risk,0.6750168528099161
NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,nbs_resilience_gap,0
