scenario,system_id,system_name,domain,region,stress_type,stress_intensity,stress_variability,system_criticality,robustness_capacity,recovery_capacity,adaptive_capacity,redundancy_capacity,modularity_capacity,monitoring_capacity,learning_capacity,experimentation_capacity,optionality_capacity,failure_containment,harm_bounding_capacity,justice_safeguard_capacity,stress_reduction,robustness_gain,recovery_gain,adaptive_gain,redundancy_gain,modularity_gain,learning_gain,experimentation_gain,optionality_gain,containment_gain,justice_gain,stress_load,robustness_score,resilience_score,antifragility_potential,ethical_antifragility_limit,bounded_antifragility_score,brittleness_risk,sustainable_resilience_score,system_response_gap,antifragility_suitability,design_priority,stress_band,response_band
bounded_antifragility,RRA003,Public health emergency system,public_health,Latin America,compound_heat_disease,0.7448,0.58,0.92,0.5800000000000001,0.76,0.78,0.6,0.64,0.56,0.84,0.5800000000000001,0.62,0.7999999999999999,0.78,0.6599999999999999,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.3143634560000002,0.5800000000000001,0.6984,0.6803999999999999,0.7411999999999999,0.5043124799999998,0.6571314560000001,0.6241042463999998,0.6902592096000003,0.19930429209599987,robustness_for_critical_lifeline,elevated,moderate
bounded_antifragility,RRA008,Community-led adaptation network,community_resilience,Pacific,cyclone_sea_level,0.784,0.66,0.76,0.52,0.7799999999999999,0.88,0.6799999999999999,0.8400000000000001,0.62,1,0.78,0.82,0.9199999999999999,0.86,0.8600000000000001,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.35970688,0.52,0.7899999999999999,0.8515999999999999,0.8732000000000001,0.74361712,0.6664668800000001,0.7076510815999999,0.6520557984000002,0.39816235073279993,resilience_and_brittleness_reduction,elevated,elevated
bounded_antifragility,RRA007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6859999999999999,0.5,0.84,0.62,0.5,0.62,0.44000000000000006,0.48,0.64,0.6799999999999999,0.5,0.54,0.5,0.68,0.6,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.1456199999999999,0.62,0.5278,0.5592,0.6116,0.34200672000000004,0.5623359999999998,0.5292372096,0.6163827903999999,0.09199980768000002,robustness_for_critical_lifeline,moderate,moderate
bounded_antifragility,RRA002,Distributed microgrid network,energy_system,Europe,heat_peak_load,0.6664,0.55,0.78,0.66,0.82,0.8400000000000001,0.86,0.8999999999999999,0.7,0.9,0.8,0.84,0.96,0.9,0.8200000000000001,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.11475392,0.66,0.8452,0.8560000000000001,0.8844000000000001,0.7570464000000001,0.33949792,0.7712523519999999,0.3435015680000002,0.414982554624,bounded_antifragile_learning,moderate,elevated
bounded_antifragility,RRA006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.6076,0.6,0.7,0.6000000000000001,0.74,0.86,0.72,0.94,0.58,0.96,0.76,0.78,0.9,0.88,0.78,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,1.0110464000000001,0.6000000000000001,0.7932,0.8404,0.8484,0.7129953600000001,0.28795040000000005,0.7194831648000002,0.29156323519999994,0.39464293176000004,bounded_antifragile_learning,moderate,elevated
bounded_antifragility,RRA004,Startup innovation ecosystem,innovation_system,Global,market_volatility,0.5096,0.82,0.42,0.39999999999999997,0.52,0.9,0.58,0.8999999999999999,0.62,1,1,1,1,0.62,0.56,0.02,0.04,0.08,0.16,0.1,0.18,0.24,0.26,0.24,0.22,0.18,0.839250048,0.39999999999999997,0.7342,0.9535999999999999,0.6819999999999999,0.6503551999999999,0.2558540480000001,0.601427936,0.23782211200000003,0.5001231488,bounded_antifragile_learning,moderate,moderate
resilience_upgrade,RRA005,Monoculture agricultural region,food_system,Sub-Saharan Africa,drought_heat,0.8448,0.64,0.74,0.5,0.56,0.56,0.48,0.44000000000000006,0.34,0.44,0.28,0.32,0.4,0.48000000000000004,0.42,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.4452162560000001,0.5,0.4862000000000001,0.3688,0.4408,0.16256704000000002,0.9623002560000001,0.4254660672,1.0197501888000002,0.03856090188800001,resilience_and_brittleness_reduction,elevated,moderate
resilience_upgrade,RRA001,Coastal flood defense corridor,critical_infrastructure,North America,storm_surge,0.8063999999999999,0.42,0.88,0.86,0.6799999999999999,0.5800000000000001,0.7,0.54,0.58,0.46,0.26,0.3,0.64,0.76,0.66,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.319205888,0.86,0.6242000000000001,0.4244,0.6976,0.29606144,0.5812898879999999,0.6394550592000001,0.6797508287999998,0.0977713299456,robustness_for_critical_lifeline,elevated,moderate
resilience_upgrade,RRA003,Public health emergency system,public_health,Latin America,compound_heat_disease,0.7296,0.58,0.92,0.62,0.8800000000000001,0.8,0.6799999999999999,0.62,0.56,0.72,0.4,0.46,0.72,0.7000000000000001,0.6,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.287539712,0.62,0.7335999999999999,0.5688,0.6684,0.38018591999999996,0.6146917120000002,0.6225454656,0.6649942464,0.13522452802559995,robustness_for_critical_lifeline,elevated,moderate
resilience_upgrade,RRA008,Community-led adaptation network,community_resilience,Pacific,cyclone_sea_level,0.768,0.66,0.76,0.5599999999999999,0.8999999999999999,0.8999999999999999,0.76,0.8200000000000001,0.62,0.88,0.6,0.6599999999999999,0.84,0.78,0.8,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.3319577600000003,0.5599999999999999,0.8251999999999999,0.7399999999999999,0.8003999999999999,0.5922959999999998,0.6231017600000004,0.7011972799999999,0.6307604800000004,0.28956166847999987,resilience_and_brittleness_reduction,elevated,elevated
resilience_upgrade,RRA007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6719999999999999,0.5,0.84,0.6599999999999999,0.62,0.64,0.52,0.45999999999999996,0.64,0.56,0.32,0.38,0.42000000000000004,0.6000000000000001,0.54,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.12224,0.6599999999999999,0.5630000000000001,0.4476000000000001,0.5388000000000001,0.24116688000000008,0.5233399999999999,0.5318700384,0.5903699615999999,0.054494068204800024,robustness_for_critical_lifeline,moderate,moderate
resilience_upgrade,RRA002,Distributed microgrid network,energy_system,Europe,heat_peak_load,0.6528,0.55,0.78,0.7,0.94,0.8600000000000001,0.94,0.88,0.7,0.78,0.62,0.6799999999999999,0.88,0.8200000000000001,0.76,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,1.09200384,0.7,0.8804,0.7444,0.8116000000000001,0.6041550400000001,0.30113184000000004,0.7645159072000001,0.3274879328,0.30357582449920006,bounded_antifragile_learning,moderate,elevated
resilience_upgrade,RRA006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.5952,0.6,0.7,0.64,0.8600000000000001,0.8799999999999999,0.8,0.92,0.58,0.84,0.58,0.62,0.8200000000000001,0.8,0.72,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,0.9904128,0.64,0.8284,0.7287999999999999,0.7756,0.5652572799999999,0.25170079999999995,0.7136743103999998,0.27673848960000014,0.2850592463039999,bounded_antifragile_learning,moderate,elevated
resilience_upgrade,RRA004,Startup innovation ecosystem,innovation_system,Global,market_volatility,0.4992,0.82,0.42,0.44,0.64,0.9199999999999999,0.6599999999999999,0.88,0.62,0.98,0.96,0.9199999999999999,0.96,0.54,0.5,0.04,0.08,0.2,0.18,0.18,0.16,0.12,0.08,0.08,0.14,0.12,0.8221224959999999,0.44,0.7734,0.9168000000000001,0.618,0.5665824,0.21983049599999982,0.608812832,0.21330966399999984,0.418273790976,bounded_antifragile_learning,moderate,moderate
robustness_upgrade,RRA005,Monoculture agricultural region,food_system,Sub-Saharan Africa,drought_heat,0.8448,0.64,0.74,0.6599999999999999,0.42,0.42,0.36,0.32,0.34,0.36,0.22,0.26,0.34,0.42000000000000004,0.36,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.4452162560000001,0.6599999999999999,0.37640000000000007,0.29919999999999997,0.3808,0.11393536,0.9488242560000002,0.4125963648,1.0326198912000002,0.0229716472832,resilience_and_brittleness_reduction,elevated,moderate
robustness_upgrade,RRA001,Coastal flood defense corridor,critical_infrastructure,North America,storm_surge,0.8063999999999999,0.42,0.88,1,0.54,0.44,0.5800000000000001,0.42,0.58,0.38,0.19999999999999998,0.24,0.58,0.7,0.6000000000000001,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.319205888,1,0.5144,0.35479999999999995,0.6376,0.22622047999999995,0.576213888,0.6167676864,0.7024382015999999,0.06770326525439997,robustness_for_critical_lifeline,elevated,moderate
robustness_upgrade,RRA003,Public health emergency system,public_health,Latin America,compound_heat_disease,0.7296,0.58,0.92,0.78,0.74,0.66,0.56,0.5,0.56,0.64,0.34,0.4,0.6599999999999999,0.64,0.54,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.287539712,0.78,0.6238,0.49920000000000003,0.6084,0.30371328000000003,0.601215712,0.6046643904000001,0.6828753216,0.09902267781119997,robustness_for_critical_lifeline,elevated,moderate
robustness_upgrade,RRA008,Community-led adaptation network,community_resilience,Pacific,cyclone_sea_level,0.768,0.66,0.76,0.72,0.76,0.76,0.6399999999999999,0.7000000000000001,0.62,0.8,0.54,0.6,0.7799999999999999,0.72,0.74,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.3319577600000003,0.72,0.7154,0.6704,0.7404,0.49636415999999994,0.6096257600000003,0.6798135488,0.6521442112000003,0.22532947407359993,resilience_and_brittleness_reduction,elevated,elevated
robustness_upgrade,RRA007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6719999999999999,0.5,0.84,0.82,0.48,0.5,0.4,0.33999999999999997,0.64,0.48,0.26,0.32,0.36000000000000004,0.54,0.48,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.12224,0.82,0.45320000000000005,0.378,0.47879999999999995,0.1809864,0.509864,0.516921552,0.6053184479999999,0.035053445952,robustness_for_critical_lifeline,moderate,moderate
robustness_upgrade,RRA002,Distributed microgrid network,energy_system,Europe,heat_peak_load,0.6528,0.55,0.78,0.86,0.8,0.7200000000000001,0.8200000000000001,0.76,0.7,0.7000000000000001,0.56,0.62,0.82,0.76,0.7,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,1.09200384,0.86,0.7706,0.6748000000000001,0.7515999999999999,0.50717968,0.2876558400000001,0.7429443424000001,0.3490594976,0.2374716697696,bounded_antifragile_learning,moderate,elevated
robustness_upgrade,RRA006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.5952,0.6,0.7,0.8,0.72,0.74,0.6799999999999999,0.8,0.58,0.76,0.52,0.56,0.76,0.74,0.6599999999999999,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,0.9904128,0.8,0.7185999999999999,0.6592,0.7155999999999999,0.47172351999999995,0.23822480000000001,0.6927222335999998,0.29769056640000013,0.22048357324799997,bounded_antifragile_learning,moderate,elevated
robustness_upgrade,RRA004,Startup innovation ecosystem,innovation_system,Global,market_volatility,0.4992,0.82,0.42,0.6,0.5,0.78,0.54,0.76,0.62,0.9,0.9,0.86,0.8999999999999999,0.48000000000000004,0.44,0.04,0.24,0.06,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.06,0.8221224959999999,0.6,0.6636000000000001,0.8472000000000001,0.5579999999999999,0.4727376,0.20635449599999978,0.587804768,0.23431772799999984,0.32718169295999994,bounded_antifragile_learning,moderate,moderate
sustainable_resilience_portfolio,RRA005,Monoculture agricultural region,food_system,Sub-Saharan Africa,drought_heat,0.8096,0.64,0.74,0.58,0.56,0.5800000000000001,0.5,0.5,0.34,0.54,0.38,0.44,0.5,0.5800000000000001,0.54,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.3849989120000001,0.58,0.5138,0.45840000000000003,0.548,0.2512032,0.8365549120000001,0.48901257600000003,0.8959863360000001,0.0744817488,resilience_and_brittleness_reduction,elevated,moderate
sustainable_resilience_portfolio,RRA001,Coastal flood defense corridor,critical_infrastructure,North America,storm_surge,0.7728,0.42,0.88,0.9400000000000001,0.6799999999999999,0.6000000000000001,0.72,0.6,0.58,0.56,0.36,0.42000000000000004,0.74,0.86,0.78,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.2642389760000001,0.9400000000000001,0.6517999999999999,0.514,0.8048,0.4136672,0.4607949760000002,0.7082160959999999,0.5560228800000002,0.157954683648,robustness_for_critical_lifeline,elevated,elevated
sustainable_resilience_portfolio,RRA003,Public health emergency system,public_health,Latin America,compound_heat_disease,0.6992,0.58,0.92,0.7000000000000001,0.8800000000000001,0.8200000000000001,0.7,0.68,0.56,0.82,0.5,0.5800000000000001,0.82,0.8,0.72,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.2338922240000003,0.7000000000000001,0.7612,0.6583999999999999,0.7756,0.5106550399999998,0.4955162240000003,0.6936219071999998,0.5402703168000005,0.20685614360319987,robustness_for_critical_lifeline,moderate,elevated
sustainable_resilience_portfolio,RRA008,Community-led adaptation network,community_resilience,Pacific,cyclone_sea_level,0.7360000000000001,0.66,0.76,0.64,0.8999999999999999,0.9199999999999999,0.78,0.88,0.62,0.98,0.7,0.78,0.94,0.88,0.92,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.2764595200000004,0.64,0.8528,0.8296,0.9076,0.75294496,0.5020755200000003,0.7777060928,0.4987534272000004,0.4119211287167999,resilience_and_brittleness_reduction,elevated,elevated
sustainable_resilience_portfolio,RRA007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.644,0.5,0.84,0.74,0.62,0.66,0.54,0.52,0.64,0.66,0.42,0.5,0.52,0.7,0.6599999999999999,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.0754800000000002,0.74,0.5906,0.5372,0.6459999999999999,0.3470312,0.4110520000000002,0.598517616,0.47696238400000024,0.097085448512,robustness_for_critical_lifeline,moderate,moderate
sustainable_resilience_portfolio,RRA002,Distributed microgrid network,energy_system,Europe,heat_peak_load,0.6256,0.55,0.78,0.78,0.94,0.8800000000000001,0.96,0.94,0.7,0.88,0.72,0.8,0.98,0.92,0.88,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,1.04650368,0.78,0.9079999999999999,0.8340000000000001,0.9188000000000001,0.7662792000000002,0.1901036800000001,0.8412902559999998,0.2052134240000002,0.42879451473600005,bounded_antifragile_learning,moderate,elevated
sustainable_resilience_portfolio,RRA006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.5704,0.6,0.7,0.7200000000000001,0.8600000000000001,0.8999999999999999,0.8200000000000001,0.98,0.58,0.94,0.6799999999999999,0.74,0.92,0.9,0.84,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,0.9491456000000001,0.7200000000000001,0.8560000000000001,0.8183999999999999,0.8828,0.7224835199999999,0.14490560000000008,0.7895670335999999,0.15957856640000023,0.40878117561599997,bounded_antifragile_learning,moderate,elevated
sustainable_resilience_portfolio,RRA004,Startup innovation ecosystem,innovation_system,Global,market_volatility,0.47840000000000005,0.82,0.42,0.52,0.64,0.94,0.6799999999999999,0.94,0.62,1,1,1,1,0.64,0.62,0.08,0.16,0.2,0.2,0.2,0.22,0.22,0.18,0.2,0.24,0.24,0.787867392,0.52,0.7949999999999999,0.9599999999999999,0.712,0.6835199999999999,0.12496739200000007,0.6749335999999999,0.11293379200000009,0.5256268799999999,bounded_antifragile_learning,lower,elevated
