system_id,system_name,sector,service_context,digital_criticality,threat_pressure,technical_vulnerability_exposure,dependency_concentration,identity_access_weakness,vendor_supply_chain_exposure,operational_technology_exposure,data_integrity_risk,recovery_capacity,governance_capacity,backup_redundancy_capacity,monitoring_maturity,logging_maturity,incident_exercise_maturity,user_vulnerability,cyber_disruption_pressure,cyber_resilience_capacity,systemic_cyber_risk,cascading_dependency_exposure,service_continuity_gap,recovery_priority_score,diagnostic_priority,scenario
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.6808000000000001,0.6120000000000001,0.648,0.4619999999999999,0.6688000000000001,0.188,0.666,0.48000000000000004,0.5800000000000001,0.48,0.54,0.52,0.48,0.7912,0.50138528,0.5132,0.5853311581571684,0.8697809234281795,1.3870216198712582,2.066266850728303,reduce_vendor_and_software_supply_chain_exposure,identity_and_access_resilience
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.6992,0.54,0.63,0.39599999999999996,0.5808,0.35719999999999996,0.5760000000000001,0.62,0.74,0.62,0.7,0.6599999999999999,0.6,0.7360000000000001,0.52601472,0.6569999999999999,0.5520376785885148,0.9373670396891642,1.323721198433097,2.030062958355388,map_and_reduce_cascading_digital_dependencies,identity_and_access_resilience
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.6992,0.648,0.5940000000000001,0.3827999999999999,0.5456,0.8083999999999999,0.5040000000000001,0.54,0.66,0.56,0.6,0.56,0.52,0.6992,0.5638571199999999,0.5744,0.6109731709321111,0.5894035992559995,1.2712749705601107,1.8754258703741107,map_and_reduce_cascading_digital_dependencies,identity_and_access_resilience
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.7360000000000001,0.5040000000000001,0.738,0.42239999999999994,0.6864,0.1504,0.63,0.64,0.76,0.6599999999999999,0.76,0.72,0.6799999999999999,0.552,0.5078916000000001,0.7013999999999999,0.5097951847651165,0.8784120060280141,1.1476011877791237,1.7752041892861272,reduce_vendor_and_software_supply_chain_exposure,identity_and_access_resilience
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.7176,0.558,0.666,0.3696,0.616,0.41359999999999997,0.5760000000000001,0.5800000000000001,0.6799999999999999,0.6,0.6799999999999999,0.64,0.5800000000000001,0.5336,0.4878436,0.6258,0.5013339635491918,0.7594458050143492,1.1152568660563662,1.6965183173099534,map_and_reduce_cascading_digital_dependencies,identity_and_access_resilience
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.6072000000000001,0.648,0.6120000000000001,0.48839999999999995,0.616,0.0752,0.684,0.5,0.6000000000000001,0.5,0.56,0.52,0.48,0.6624,0.42252599999999996,0.5274,0.46902725669701695,0.6315660168346177,1.0374102651143255,1.59490176932298,map_and_reduce_cascading_digital_dependencies,identity_and_access_resilience
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.7728,0.616,0.5472,0.5712,0.48839999999999995,0.4416,0.6864,0.54,0.7,0.52,0.62,0.6000000000000001,0.56,0.738,0.57161472,0.5896,0.6111683750146302,0.58156571019691,1.272351230113085,1.8902426576623126,map_and_reduce_cascading_digital_dependencies,vendor_and_dependency_governance
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.6808000000000001,0.5984,0.5184,0.588,0.5015999999999999,0.18400000000000002,0.6512,0.5,0.66,0.48,0.54,0.54,0.5,0.774,0.47667136000000004,0.5374,0.5261123902879911,0.6048648989386574,1.1711448397573196,1.7798610644919841,map_and_reduce_cascading_digital_dependencies,vendor_and_dependency_governance
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.7544,0.5104,0.6335999999999999,0.6888,0.5147999999999999,0.2024,0.5808,0.68,0.86,0.74,0.8,0.8,0.74,0.558,0.52463552,0.7676,0.48980815762056307,0.9206922776223792,1.102554296431753,1.7482273658373477,strengthen_identity_and_access_controls,vendor_and_dependency_governance
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.6992,0.528,0.504,0.504,0.4356,0.3496,0.5632,0.64,0.8200000000000001,0.62,0.7,0.6799999999999999,0.62,0.7200000000000001,0.4999603199999999,0.6812,0.4959587347430099,0.6532980973216459,1.1014077834038327,1.7327323077342442,map_and_reduce_cascading_digital_dependencies,vendor_and_dependency_governance
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.6992,0.6335999999999999,0.4752,0.48719999999999997,0.40919999999999995,0.7912,0.49280000000000007,0.56,0.74,0.56,0.6,0.5800000000000001,0.54,0.684,0.5387177599999999,0.5986,0.5532681116178931,0.4100328162602461,1.0996845197480163,1.655192723813078,close_service_continuity_gap,vendor_and_dependency_governance
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.7360000000000001,0.49280000000000007,0.5903999999999999,0.5376,0.5147999999999999,0.1472,0.616,0.66,0.8400000000000001,0.6599999999999999,0.76,0.74,0.7,0.54,0.47867760000000004,0.7256,0.4520137585414087,0.6125291982695007,0.932678357676159,1.4908106572435342,map_and_reduce_cascading_digital_dependencies,vendor_and_dependency_governance
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.7176,0.5456,0.5327999999999999,0.47040000000000004,0.4619999999999999,0.4048,0.5632,0.6,0.76,0.6,0.6799999999999999,0.66,0.6000000000000001,0.522,0.4614072,0.65,0.4479756633357242,0.5284491526098201,0.9222002396406342,1.4428125277930892,map_and_reduce_cascading_digital_dependencies,vendor_and_dependency_governance
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.6072000000000001,0.6335999999999999,0.48960000000000004,0.6215999999999999,0.4619999999999999,0.0736,0.6688000000000001,0.52,0.68,0.5,0.56,0.54,0.5,0.648,0.40384032,0.5516,0.4247570827171709,0.4390386974476588,0.8726764314410004,1.378436105802915,close_service_continuity_gap,vendor_and_dependency_governance
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.7896,0.63,0.684,0.5984,0.6512,0.432,0.6864,0.72,0.64,0.68,0.64,0.62,0.6599999999999999,0.7215999999999999,0.62105856,0.663,0.6570063189110085,0.7908229035964714,1.349417770709244,2.015523496608362,reduce_vendor_and_software_supply_chain_exposure,backup_recovery_and_continuity
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.7707999999999999,0.522,0.792,0.7215999999999999,0.6864,0.198,0.5808,0.8600000000000001,0.7999999999999999,0.9000000000000001,0.8200000000000001,0.82,0.8400000000000001,0.5456,0.5770608,0.8410000000000001,0.5330772202085059,1.2477306137789919,1.2359425270980018,1.9602751805427499,strengthen_identity_and_access_controls,backup_recovery_and_continuity
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.6956,0.6120000000000001,0.648,0.616,0.6688000000000001,0.18000000000000002,0.6512,0.68,0.6,0.64,0.56,0.56,0.6,0.7568,0.5219104,0.6108,0.5697053541368035,0.8233076470521232,1.250559177662865,1.909586089425896,reduce_vendor_and_software_supply_chain_exposure,backup_recovery_and_continuity
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.7143999999999999,0.54,0.63,0.528,0.5808,0.342,0.5632,0.8200000000000001,0.76,0.78,0.72,0.7,0.72,0.7040000000000001,0.54466944,0.7546,0.5317572839910122,0.886875110440142,1.1805948392110834,1.866313616821119,map_and_reduce_cascading_digital_dependencies,backup_recovery_and_continuity
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.7143999999999999,0.648,0.5940000000000001,0.5104,0.5456,0.774,0.49280000000000007,0.74,0.68,0.72,0.62,0.6,0.64,0.6688000000000001,0.5794874399999999,0.6719999999999999,0.5862654333076748,0.5580588463060712,1.1332948564607104,1.7220095680372283,map_and_reduce_cascading_digital_dependencies,backup_recovery_and_continuity
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.752,0.5040000000000001,0.738,0.5632,0.6864,0.14400000000000002,0.616,0.8400000000000001,0.78,0.8200000000000001,0.78,0.76,0.8,0.528,0.5275404,0.799,0.49247444535179596,0.8323887690408672,1.0096688298722296,1.6197660221324466,reduce_vendor_and_software_supply_chain_exposure,backup_recovery_and_continuity
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.7332,0.558,0.666,0.49280000000000007,0.616,0.396,0.5632,0.78,0.7,0.76,0.7,0.68,0.7,0.5104,0.50323416,0.7234,0.48262026470195707,0.7188800580372614,0.9786602937205877,1.543980308229903,map_and_reduce_cascading_digital_dependencies,backup_recovery_and_continuity
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.6204,0.648,0.6120000000000001,0.6512,0.616,0.07200000000000001,0.6688000000000001,0.7,0.62,0.66,0.5800000000000001,0.56,0.6,0.6335999999999999,0.44194176,0.625,0.458996404771607,0.5981501135787131,0.9130714615609636,1.4550089899556418,strengthen_identity_and_access_controls,backup_recovery_and_continuity
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.756,0.588,0.684,0.5984,0.6512,0.31679999999999997,0.5147999999999999,0.56,0.64,0.52,0.6799999999999999,0.64,0.56,0.738,0.5790566399999999,0.598,0.6406906931535229,0.7812326868350128,1.3933070365710294,2.061115208279783,reduce_vendor_and_software_supply_chain_exposure,ot_and_data_integrity_protection
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.738,0.48719999999999997,0.792,0.7215999999999999,0.6864,0.1452,0.4356,0.7,0.7999999999999999,0.74,0.86,0.84,0.74,0.558,0.54731904,0.7759999999999999,0.5310882580872704,1.2248096064015672,1.2874930612880542,2.009195462888446,strengthen_identity_and_access_controls,ot_and_data_integrity_protection
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.666,0.5712,0.648,0.616,0.6688000000000001,0.13199999999999998,0.48839999999999995,0.52,0.6,0.48,0.6,0.5800000000000001,0.5,0.774,0.49208192,0.5458000000000001,0.5611620630438434,0.8136341914632832,1.3021791587754847,1.9630877066413055,reduce_vendor_and_software_supply_chain_exposure,ot_and_data_integrity_protection
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.684,0.504,0.63,0.528,0.5808,0.25079999999999997,0.42239999999999994,0.6599999999999999,0.76,0.62,0.76,0.72,0.62,0.7200000000000001,0.5098636799999999,0.6896,0.5218828999846428,0.8722304596726469,1.2283981298209663,1.914455744739128,map_and_reduce_cascading_digital_dependencies,ot_and_data_integrity_protection
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.684,0.6048,0.5940000000000001,0.5104,0.5456,0.5675999999999999,0.3696,0.5800000000000001,0.68,0.56,0.6599999999999999,0.62,0.54,0.684,0.5329837599999999,0.607,0.5639607446840921,0.5515514447744457,1.1727364670713147,1.7636243282649262,map_and_reduce_cascading_digital_dependencies,ot_and_data_integrity_protection
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.7200000000000001,0.47040000000000004,0.738,0.5632,0.6864,0.10559999999999999,0.4619999999999999,0.6799999999999999,0.78,0.6599999999999999,0.82,0.78,0.7,0.54,0.4995108000000001,0.734,0.4891200955316671,0.8206132255725966,1.0654267083179656,1.6755800147111148,reduce_vendor_and_software_supply_chain_exposure,ot_and_data_integrity_protection
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.7020000000000001,0.5207999999999999,0.666,0.49280000000000007,0.616,0.2904,0.42239999999999994,0.62,0.7,0.6,0.74,0.7,0.6000000000000001,0.522,0.4702789599999999,0.6584,0.4719944900873331,0.7098914296795931,1.0285402049271295,1.5945130623470278,map_and_reduce_cascading_digital_dependencies,ot_and_data_integrity_protection
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.5940000000000001,0.6048,0.6120000000000001,0.6512,0.616,0.05279999999999999,0.5015999999999999,0.54,0.62,0.5,0.62,0.5800000000000001,0.5,0.648,0.41800512000000006,0.56,0.4534435435117007,0.5915031823379396,0.9691951346806706,1.5130709302651555,strengthen_identity_and_access_controls,ot_and_data_integrity_protection
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.588,0.4619999999999999,0.5319999999999999,0.4488,0.48839999999999995,0.31679999999999997,0.5147999999999999,0.72,0.76,0.68,0.78,0.74,0.7,0.5903999999999999,0.46536191999999993,0.7298,0.43638892666176704,0.3946456742310649,0.8639117637772995,1.3981731823350656,close_service_continuity_gap,integrated_systemic_cyber_resilience
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.518,0.4488,0.504,0.4619999999999999,0.5015999999999999,0.13199999999999998,0.48839999999999995,0.68,0.72,0.64,0.7,0.68,0.64,0.6192,0.39146976,0.6776,0.37956383310213904,0.41102862843144483,0.7874781473178616,1.3090353044257228,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.5319999999999999,0.39599999999999996,0.48999999999999994,0.39599999999999996,0.4356,0.25079999999999997,0.42239999999999994,0.8200000000000001,0.8800000000000001,0.78,0.8600000000000001,0.8200000000000001,0.76,0.576,0.4083263999999999,0.8214000000000001,0.3536464040362445,0.4428023154049172,0.7136475617387028,1.2563481405899322,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.574,0.3827999999999999,0.616,0.5411999999999999,0.5147999999999999,0.1452,0.4356,0.8600000000000001,0.9199999999999999,0.9000000000000001,0.96,0.94,0.8800000000000001,0.44639999999999996,0.43350767999999995,0.9078,0.3534413108823329,0.6240383650296706,0.677660493397168,1.2212700846545856,map_and_reduce_cascading_digital_dependencies,integrated_systemic_cyber_resilience
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.5319999999999999,0.4751999999999999,0.46199999999999997,0.3827999999999999,0.40919999999999995,0.5675999999999999,0.3696,0.74,0.8,0.72,0.76,0.72,0.68,0.5472,0.43321967999999994,0.7388,0.3911038886216946,0.27844180049945033,0.7315247888714197,1.2199352389962823,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.5599999999999999,0.3696,0.574,0.42239999999999994,0.5147999999999999,0.10559999999999999,0.4619999999999999,0.8400000000000001,0.9000000000000001,0.8200000000000001,0.9199999999999999,0.8800000000000001,0.8400000000000001,0.432,0.396306,0.8658,0.32814786729538653,0.4154009566417288,0.570048345616251,1.051898584776683,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.5459999999999999,0.40919999999999995,0.518,0.3696,0.4619999999999999,0.2904,0.42239999999999994,0.78,0.8200000000000001,0.76,0.8400000000000001,0.8,0.74,0.41759999999999997,0.3772475999999999,0.7902000000000001,0.32315401844421854,0.3585927569238447,0.5722503969061409,1.024298586137102,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.46199999999999997,0.4751999999999999,0.476,0.48839999999999995,0.4619999999999999,0.05279999999999999,0.5015999999999999,0.7,0.74,0.66,0.72,0.68,0.64,0.5184,0.33152183999999996,0.6918000000000001,0.30777643148705486,0.2982330363321922,0.5450929496531508,0.9832512087361989,monitor_and_strengthen_systemic_cyber_resilience,integrated_systemic_cyber_resilience
