scenario,system_id,system_name,domain,region,stress_type,disruption_severity,recovery_capacity,recovery_speed,essential_function_restoration,adaptive_capacity,governance_capacity,learning_capacity,ecological_buffer_capacity,social_protection_capacity,transformation_readiness,structural_unsustainability,justice_pressure,maladaptation_risk,residual_risk,public_legitimacy,disruption_reduction,recovery_gain,adaptation_gain,governance_gain,learning_gain,ecological_buffer_gain,social_protection_gain,transformation_gain,maladaptation_reduction,legitimacy_gain,recovery_score,adaptation_score,transformation_need,transformation_score,response_capacity,pathway_gap,maladaptation_adjusted_gap,transformational_threshold,climate_resilient_development_score,response_priority,recovery_band,adaptation_band,transformation_need_band
baseline,ART005,Island food energy water system,island_system,Pacific,cyclone_sea_level,0.88,0.46,0.42,0.48,0.52,0.5,0.54,0.56,0.44,0.7,0.84,0.68,0.6,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0.4556,0.5136000000000001,0.7512,0.568,0.5087839999999999,1.1712160000000003,1.8739456000000005,0.18320000000000003,0.503104,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
baseline,ART007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.7,0.46,0.44,0.5,0.52,0.58,0.54,0.34,0.48,0.52,0.58,0.38,0.52,0.68,0.56,0,0,0,0,0,0,0,0,0,0,0.4680000000000001,0.498,0.5404,0.5376000000000001,0.5065440000000001,0.8734559999999998,1.3276531199999997,0.0027999999999999137,0.507096,maintain_and_monitor_pathway,moderate,moderate,moderate
baseline,ART003,Aging industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.74,0.56,0.52,0.58,0.6,0.62,0.58,0.36,0.54,0.56,0.68,0.46,0.5,0.66,0.56,0,0,0,0,0,0,0,0,0,0,0.5556000000000001,0.548,0.5896,0.5744,0.5579040000000001,0.8420959999999998,1.2631439999999998,0.015199999999999991,0.5542880000000001,maintain_and_monitor_pathway,moderate,moderate,moderate
baseline,ART004,Urban heat response system,public_health,North America,extreme_heat,0.78,0.62,0.58,0.66,0.68,0.64,0.66,0.48,0.58,0.54,0.6,0.64,0.46,0.62,0.6,0,0,0,0,0,0,0,0,0,0,0.6224000000000001,0.6156,0.5924,0.5968,0.61112,0.7888799999999999,1.1517647999999998,0,0.604424,maintain_and_monitor_pathway,moderate,moderate,moderate
baseline,ART006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.62,0.68,0.64,0.7,0.72,0.64,0.74,0.78,0.56,0.66,0.46,0.42,0.32,0.44,0.62,0,0,0,0,0,0,0,0,0,0,0.6756,0.6912,0.4228,0.6524000000000001,0.668976,0.39102400000000004,0.5161516800000001,0,0.6679280000000001,maintain_and_monitor_pathway,elevated,elevated,moderate
baseline,ART008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.54,0.72,0.68,0.74,0.78,0.76,0.8,0.82,0.7,0.84,0.34,0.28,0.24,0.36,0.76,0,0,0,0,0,0,0,0,0,0,0.7156,0.7736,0.31279999999999997,0.7872,0.7589919999999999,0.14100800000000013,0.17484992000000016,0,0.7604959999999998,maintain_and_monitor_pathway,elevated,elevated,lower
climate_resilient_development,ART002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought_heat,0.81,0.54,0.5,0.56,0.72,0.6599999999999999,0.6799999999999999,0.64,0.5800000000000001,0.88,0.8,0.72,0.44079999999999997,0.82,0.64,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.5356000000000001,0.6628,0.726128,0.726,0.639616,0.9903839999999999,1.4269452671999998,1.28000000000017e-4,0.63768,urgent_recovery_with_risk_reduction,moderate,elevated,elevated
climate_resilient_development,ART001,Coastal floodplain settlement,urban_social_system,South Asia,storm_surge_flood,0.774,0.56,0.52,0.6,0.6799999999999999,0.64,0.7,0.6,0.56,0.84,0.82,0.76,0.4712,0.78,0.6799999999999999,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.5624,0.6412,0.739792,0.7148,0.6414559999999999,0.9125440000000001,1.3425347328000004,0.024992000000000014,0.637088,maintain_and_monitor_pathway,moderate,moderate,elevated
climate_resilient_development,ART005,Island food energy water system,island_system,Pacific,cyclone_sea_level,0.792,0.64,0.6,0.6599999999999999,0.76,0.74,0.78,0.8,0.6799999999999999,0.96,0.84,0.68,0.45599999999999996,0.8,0.74,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.6355999999999999,0.7536,0.72816,0.8148000000000001,0.733616,0.858384,1.249807104,0,0.722792,urgent_recovery_with_risk_reduction,moderate,elevated,elevated
climate_resilient_development,ART007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.63,0.64,0.62,0.6799999999999999,0.76,0.82,0.78,0.5800000000000001,0.72,0.78,0.58,0.38,0.3952,0.68,0.8,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.648,0.738,0.520432,0.7844,0.7313759999999999,0.5786240000000001,0.8072962048000002,0,0.725248,maintain_and_monitor_pathway,moderate,elevated,moderate
climate_resilient_development,ART003,Aging industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.666,0.74,0.7,0.76,0.84,0.86,0.82,0.6,0.78,0.8200000000000001,0.68,0.46,0.38,0.66,0.8,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.7356,0.788,0.5704,0.8212,0.782736,0.5432640000000001,0.7497043200000001,0,0.772056,maintain_and_monitor_pathway,elevated,elevated,moderate
climate_resilient_development,ART004,Urban heat response system,public_health,North America,extreme_heat,0.7020000000000001,0.8,0.76,0.8400000000000001,0.92,0.88,0.9,0.72,0.82,0.8,0.6,0.64,0.3496,0.62,0.84,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.8024,0.8555999999999999,0.574736,0.8436000000000001,0.835952,0.48604800000000004,0.6559703808000001,0,0.821424,maintain_and_monitor_pathway,elevated,elevated,moderate
climate_resilient_development,ART006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.558,0.8600000000000001,0.8200000000000001,0.8799999999999999,0.96,0.88,0.98,1,0.8,0.92,0.46,0.42,0.2432,0.44,0.86,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.8555999999999999,0.9275999999999999,0.410512,0.8991999999999999,0.892512,0.10548800000000003,0.13114268160000003,0,0.8811599999999999,maintain_and_monitor_pathway,elevated,elevated,moderate
climate_resilient_development,ART008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.48600000000000004,0.8999999999999999,0.8600000000000001,0.9199999999999999,1,1,1,1,0.94,1,0.34,0.28,0.1824,0.36,1,0.1,0.18,0.24,0.24,0.24,0.24,0.24,0.26,0.24,0.24,0.8956,0.9903999999999998,0.30358399999999996,0.9928,0.9655839999999999,0,0,0,0.9555999999999999,maintain_and_monitor_pathway,elevated,elevated,lower
justice_centered_transformation,ART002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought_heat,0.846,0.45999999999999996,0.42000000000000004,0.48,0.64,0.62,0.64,0.5800000000000001,0.56,0.9,0.8,0.72,0.46399999999999997,0.82,0.62,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.4556,0.6120000000000001,0.7298399999999999,0.7116,0.593072,1.0729279999999999,1.5707665919999998,0.018239999999999923,0.59524,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
justice_centered_transformation,ART001,Coastal floodplain settlement,urban_social_system,South Asia,storm_surge_flood,0.8083999999999999,0.48,0.44000000000000006,0.52,0.6,0.6000000000000001,0.66,0.54,0.54,0.86,0.82,0.76,0.496,0.78,0.66,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.48240000000000005,0.5904,0.74376,0.7004,0.5949120000000001,0.9934879999999999,1.4862580479999998,0.043359999999999954,0.59452,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
justice_centered_transformation,ART005,Island food energy water system,island_system,Pacific,cyclone_sea_level,0.8271999999999999,0.56,0.52,0.58,0.68,0.7,0.74,0.74,0.66,0.98,0.84,0.68,0.48,0.8,0.72,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.5556000000000001,0.7028,0.732,0.8004,0.6870720000000001,0.9401279999999999,1.3913894399999998,0,0.6802880000000001,urgent_recovery_with_risk_reduction,moderate,elevated,elevated
justice_centered_transformation,ART007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6579999999999999,0.56,0.54,0.6,0.68,0.78,0.74,0.52,0.7,0.8,0.58,0.38,0.41600000000000004,0.68,0.78,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.5680000000000001,0.6872,0.52376,0.7699999999999999,0.684832,0.6531680000000001,0.924885888,0,0.683,maintain_and_monitor_pathway,moderate,elevated,moderate
justice_centered_transformation,ART003,Aging industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.6956,0.66,0.62,0.6799999999999999,0.76,0.8200000000000001,0.78,0.54,0.76,0.8400000000000001,0.68,0.46,0.4,0.66,0.78,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.6556,0.7372,0.5736000000000001,0.8068,0.736192,0.619408,0.8671711999999999,0,0.729872,maintain_and_monitor_pathway,elevated,elevated,moderate
justice_centered_transformation,ART004,Urban heat response system,public_health,North America,extreme_heat,0.7332,0.72,0.6799999999999999,0.76,0.8400000000000001,0.8400000000000001,0.8600000000000001,0.6599999999999999,0.7999999999999999,0.8200000000000001,0.6,0.64,0.36800000000000005,0.62,0.82,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.7224,0.8048000000000001,0.5776800000000001,0.8292,0.7894080000000001,0.5637919999999998,0.7712674559999999,0,0.7793680000000001,maintain_and_monitor_pathway,elevated,elevated,moderate
justice_centered_transformation,ART006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.5828,0.78,0.74,0.7999999999999999,0.88,0.8400000000000001,0.94,0.96,0.78,0.9400000000000001,0.46,0.42,0.256,0.44,0.84,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.7756000000000001,0.8804,0.41256,0.8848000000000001,0.8472639999999999,0.17553600000000003,0.22047321600000003,0,0.840632,maintain_and_monitor_pathway,elevated,elevated,moderate
justice_centered_transformation,ART008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.5076,0.82,0.78,0.84,0.9400000000000001,0.96,1,1,0.9199999999999999,1,0.34,0.28,0.192,0.36,0.98,0.06,0.1,0.16,0.2,0.2,0.18,0.22,0.28,0.2,0.22,0.8156000000000001,0.9627999999999999,0.30512,0.9788,0.927488,0,0,0,0.921312,maintain_and_monitor_pathway,elevated,elevated,lower
recovery_upgrade,ART002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought_heat,0.882,0.58,0.54,0.6,0.54,0.5,0.5,0.44,0.44000000000000006,0.66,0.8,0.72,0.5568,0.82,0.48000000000000004,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.5756000000000001,0.49000000000000005,0.744688,0.5444,0.5258240000000001,1.1761759999999999,1.8310707967999997,0.20028800000000002,0.5197440000000001,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
recovery_upgrade,ART001,Coastal floodplain settlement,urban_social_system,South Asia,storm_surge_flood,0.8428,0.6,0.56,0.64,0.5,0.48000000000000004,0.52,0.39999999999999997,0.42000000000000004,0.62,0.82,0.76,0.5952,0.78,0.52,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.6024,0.46840000000000004,0.759632,0.5332,0.527664,1.095136,1.7469609472,0.22643199999999997,0.518512,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
recovery_upgrade,ART005,Island food energy water system,island_system,Pacific,cyclone_sea_level,0.86239999999999994,0.68,0.64,0.7,0.5800000000000001,0.58,0.6000000000000001,0.6000000000000001,0.54,0.74,0.84,0.68,0.576,0.8,0.58,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.6756,0.5808,0.74736,0.6332,0.619824,1.042576,1.643099776,0.11416000000000004,0.604536,urgent_recovery_with_risk_reduction,elevated,moderate,elevated
recovery_upgrade,ART007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6859999999999999,0.68,0.66,0.72,0.5800000000000001,0.6599999999999999,0.6000000000000001,0.38,0.58,0.56,0.58,0.38,0.4992,0.68,0.64,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.6880000000000001,0.5652,0.537072,0.6028,0.617584,0.7484160000000001,1.1220252672000002,0,0.608272,maintain_and_monitor_pathway,elevated,moderate,moderate
recovery_upgrade,ART003,Aging industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.7252,0.78,0.74,0.7999999999999999,0.6599999999999999,0.7,0.6399999999999999,0.39999999999999997,0.64,0.6000000000000001,0.68,0.46,0.48,0.66,0.64,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.7756000000000001,0.6152,0.5864,0.6396,0.668944,0.716256,1.06005888,0,0.6553999999999999,maintain_and_monitor_pathway,elevated,moderate,moderate
recovery_upgrade,ART004,Urban heat response system,public_health,North America,extreme_heat,0.7644,0.84,0.7999999999999999,0.88,0.74,0.72,0.72,0.52,0.6799999999999999,0.5800000000000001,0.6,0.64,0.4416,0.62,0.6799999999999999,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.8424,0.6828,0.589456,0.662,0.72216,0.6622399999999998,0.9546851839999998,0,0.705408,maintain_and_monitor_pathway,elevated,elevated,moderate
recovery_upgrade,ART006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.6076,0.9,0.86,0.9199999999999999,0.78,0.72,0.8,0.8200000000000001,0.66,0.7000000000000001,0.46,0.42,0.3072,0.44,0.7,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.8956,0.7584000000000001,0.42075199999999996,0.7176,0.7800159999999999,0.26758400000000016,0.34978580480000016,0,0.768464,maintain_and_monitor_pathway,elevated,elevated,moderate
recovery_upgrade,ART008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.5292,0.94,0.9,0.96,0.8400000000000001,0.84,0.8600000000000001,0.86,0.7999999999999999,0.88,0.34,0.28,0.2304,0.36,0.84,0.02,0.22,0.06,0.08,0.06,0.04,0.1,0.04,0.04,0.08,0.9356,0.8408000000000001,0.311264,0.8524,0.870032,0.019167999999999963,0.023584307199999953,0,0.860776,maintain_and_monitor_pathway,elevated,elevated,lower
