scenario,system_id,system_name,region,fragility_context,conflict_intensity,governance_capacity,service_continuity,institutional_legitimacy,administrative_reach,recovery_capacity,social_vulnerability,displacement_pressure,livelihood_stress,hazard_exposure,essential_service_demand,inequality_pressure,institutional_exclusion,public_trust,repeated_disruption_pressure,conflict_reduction,governance_gain,service_gain,legitimacy_gain,administrative_reach_gain,recovery_gain,vulnerability_reduction,displacement_reduction,livelihood_stress_reduction,hazard_exposure_reduction,service_demand_reduction,inequality_reduction,exclusion_reduction,trust_gain,repeated_disruption_reduction,fragility_pressure,governance_resilience,conflict_amplified_systemic_risk,service_breakdown_gap,legitimacy_erosion,resilience_under_stress_gap,diagnostic_priority
displacement_and_livelihood_resilience,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.6624,0.5800000000000001,0.64,0.56,0.62,0.7,0.5412,0.31279999999999997,0.40919999999999995,0.522,0.574,0.6232000000000001,0.588,0.56,0.5304000000000001,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.501576,0.6156,0.5108028331967233,0,0.27071200000000006,0.1659148331967233,monitor_and_strengthen_fragility_resilience
displacement_and_livelihood_resilience,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.3496,0.76,0.8200000000000001,0.74,0.76,0.86,0.3936,0.28559999999999997,0.32999999999999996,0.41400000000000003,0.45920000000000005,0.3608,0.35279999999999995,0.72,0.3432,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.356232,0.7852000000000001,0.29897316261928314,0,0.08595999999999998,0,monitor_and_strengthen_fragility_resilience
displacement_and_livelihood_resilience,CFR007,Locally resilient service network,South America,local_resilience_network,0.3864,0.8200000000000001,0.88,0.86,0.8200000000000001,0.9600000000000001,0.3608,0.2312,0.27719999999999995,0.432,0.42640000000000006,0.31160000000000004,0.2856,0.8799999999999999,0.2808,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.342808,0.8635999999999999,0.28078135959960965,0,0.015680000000000027,0,monitor_and_strengthen_fragility_resilience
displacement_and_livelihood_resilience,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.3128,0.9,0.9400000000000001,0.88,0.9,1,0.2952,0.1904,0.25079999999999997,0.5040000000000001,0.4756,0.27880000000000005,0.252,0.8999999999999999,0.24960000000000002,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.31432800000000005,0.9208000000000001,0.24301196430524163,0,0,0,monitor_and_strengthen_fragility_resilience
fragility_aware_early_warning,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.7912,0.54,0.5,0.54,0.54,0.52,0.6864,0.7215999999999999,0.6688000000000001,0.5319999999999999,0.6864,0.6880000000000001,0.6536,0.5,0.6232,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.68384,0.528,0.7559466936627202,0.1864,0.38514400000000004,0.7994906936627202,conflict_prevention_and_protection
fragility_aware_early_warning,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.7176,0.56,0.54,0.52,0.58,0.52,0.7568,0.6512,0.7744,0.6384,0.7020000000000001,0.7051999999999999,0.6708000000000001,0.52,0.6536,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.707872,0.5448000000000001,0.7578942097965569,0.16200000000000003,0.386984,0.7620782097965567,close_resilience_under_stress_gap
fragility_aware_early_warning,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.6256,0.5800000000000001,0.56,0.52,0.58,0.54,0.7215999999999999,0.7568,0.7040000000000001,0.6232,0.6552,0.6708000000000001,0.6364,0.54,0.6080000000000001,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.6820479999999999,0.5572,0.7035993319697408,0.09519999999999995,0.338904,0.5805033319697407,protect_displaced_people_and_livelihoods
fragility_aware_early_warning,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.5888,0.62,0.64,0.56,0.56,0.58,0.616,0.5984,0.6335999999999999,0.5016,0.6084,0.6364,0.6192,0.56,0.5472,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.586592,0.5952,0.5874387647922177,0,0.28415199999999996,0.2763907647922177,monitor_and_strengthen_fragility_resilience
fragility_aware_early_warning,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.6624,0.64,0.6799999999999999,0.5800000000000001,0.68,0.64,0.5808,0.4048,0.5456,0.44079999999999997,0.5459999999999999,0.6536,0.602,0.5800000000000001,0.5168,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.534368,0.6440000000000001,0.537303159450624,0,0.27593600000000007,0.16923915945062395,monitor_and_strengthen_fragility_resilience
fragility_aware_early_warning,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.3496,0.8200000000000001,0.8600000000000001,0.76,0.82,0.7999999999999999,0.4224,0.3696,0.44,0.3496,0.4368000000000001,0.3784,0.36119999999999997,0.74,0.33440000000000003,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.38403200000000004,0.8136,0.31788692618101766,0,0.08723200000000003,0,monitor_and_strengthen_fragility_resilience
fragility_aware_early_warning,CFR007,Locally resilient service network,South America,local_resilience_network,0.3864,0.8800000000000001,0.9199999999999999,0.8799999999999999,0.88,0.9,0.3872,0.2992,0.3696,0.3648,0.4056,0.3268,0.2924,0.8999999999999999,0.2736,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.36352,0.892,0.29350410825728,0,0.016184000000000004,0,monitor_and_strengthen_fragility_resilience
fragility_aware_early_warning,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.3128,0.96,0.98,0.8999999999999999,0.96,0.94,0.31679999999999997,0.24640000000000004,0.33440000000000003,0.42560000000000003,0.45239999999999997,0.2924,0.258,0.9199999999999999,0.2432,0.08,0.2,0.2,0.18,0.22,0.22,0.12,0.12,0.12,0.24,0.22,0.14,0.14,0.2,0.24,0.328096,0.9491999999999998,0.24993589236282882,0,0,0,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.6536,0.68,0.64,0.7,0.66,0.64,0.5459999999999999,0.5411999999999999,0.5167999999999999,0.504,0.616,0.5439999999999999,0.5167999999999999,0.64,0.574,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.5573039999999999,0.6652000000000001,0.5533042189376063,0,0.22357199999999994,0.11167621893760604,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.5928,0.7,0.68,0.68,0.7,0.64,0.602,0.48839999999999995,0.5983999999999999,0.6048,0.63,0.5575999999999999,0.5304,0.66,0.602,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.579256,0.682,0.558625443055328,0,0.23057199999999994,0.10719744305532786,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.5168,0.72,0.7,0.68,0.7,0.66,0.574,0.5675999999999999,0.5439999999999999,0.5903999999999999,0.588,0.5304,0.5032,0.68,0.5599999999999999,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.5569999999999999,0.6944,0.5196802300032001,0,0.20667199999999997,0.03195223000320002,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.4864,0.76,0.78,0.72,0.68,0.7,0.48999999999999994,0.4488,0.4895999999999999,0.4752,0.5459999999999999,0.5032,0.4895999999999999,0.7,0.504,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.478688,0.7324,0.43389826520535035,0,0.18393600000000002,0,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.5472,0.78,0.8200000000000001,0.74,0.8,0.76,0.46199999999999997,0.3036,0.4216,0.41759999999999997,0.48999999999999994,0.5167999999999999,0.4759999999999999,0.72,0.476,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.43778399999999995,0.7812000000000001,0.39641037342881275,0,0.17600799999999997,0,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.2888,0.96,1,0.9199999999999999,0.94,0.9199999999999999,0.33599999999999997,0.27719999999999995,0.33999999999999997,0.3312,0.392,0.29919999999999997,0.28559999999999997,0.8800000000000001,0.308,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.313848,0.9508000000000001,0.23662002246629762,0,0.01653599999999994,0,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR007,Locally resilient service network,South America,local_resilience_network,0.3192,1,1,1,1,1,0.308,0.2244,0.28559999999999997,0.34559999999999996,0.364,0.25839999999999996,0.2312,1,0.252,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.29912799999999995,0.9999999999999999,0.222361584848,0,0,0,monitor_and_strengthen_fragility_resilience
integrated_resilience_under_stress,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.2584,1,1,1,1,1,0.252,0.1848,0.25839999999999996,0.4032,0.40599999999999997,0.2312,0.204,1,0.22399999999999998,0.24,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.32,0.28,0.3,0.32,0.32,0.34,0.3,0.272832,0.9999999999999999,0.19796198822400002,0,0,0,monitor_and_strengthen_fragility_resilience
local_governance_and_legitimacy,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.774,0.6000000000000001,0.48,0.6799999999999999,0.6000000000000001,0.48,0.7020000000000001,0.738,0.6688000000000001,0.6579999999999999,0.792,0.6400000000000001,0.5472,0.64,0.7051999999999999,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.7109840000000001,0.5704,0.7672408848617921,0.31200000000000006,0.36910800000000005,0.8779488848617922,conflict_prevention_and_protection
local_governance_and_legitimacy,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.7020000000000001,0.62,0.52,0.66,0.64,0.48,0.774,0.666,0.7744,0.7896,0.81,0.656,0.5616,0.66,0.7395999999999999,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.740472,0.5871999999999999,0.7741310670215041,0.29000000000000004,0.37128400000000006,0.8482150670215043,close_resilience_under_stress_gap
local_governance_and_legitimacy,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.6120000000000001,0.64,0.54,0.66,0.64,0.5,0.738,0.774,0.7040000000000001,0.7707999999999999,0.756,0.6240000000000001,0.5327999999999999,0.68,0.6880000000000001,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.71468,0.5995999999999999,0.7202148792820801,0.21599999999999997,0.322112,0.6587268792820802,protect_displaced_people_and_livelihoods
local_governance_and_legitimacy,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.5760000000000001,0.6799999999999999,0.62,0.7,0.6200000000000001,0.54,0.63,0.6120000000000001,0.6335999999999999,0.6204,0.7020000000000001,0.592,0.5184,0.7,0.6192,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.6125280000000001,0.6376000000000001,0.5991730079139841,0.08200000000000007,0.25581599999999993,0.29938900791398404,monitor_and_strengthen_fragility_resilience
local_governance_and_legitimacy,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.648,0.7,0.6599999999999999,0.72,0.74,0.6,0.5940000000000001,0.41400000000000003,0.5456,0.5451999999999999,0.63,0.6080000000000001,0.504,0.72,0.5848,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.556088,0.6863999999999999,0.5456924998254081,0,0.22275999999999999,0.08205249982540819,monitor_and_strengthen_fragility_resilience
local_governance_and_legitimacy,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.342,0.88,0.8400000000000001,0.8999999999999999,0.88,0.76,0.432,0.378,0.44,0.4324,0.5040000000000001,0.35200000000000004,0.3024,0.8800000000000001,0.3784,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.4022,0.8560000000000001,0.32505464543199997,0,0.04485599999999998,0,monitor_and_strengthen_fragility_resilience
local_governance_and_legitimacy,CFR007,Locally resilient service network,South America,local_resilience_network,0.378,0.9400000000000001,0.8999999999999999,1,0.9400000000000001,0.8600000000000001,0.396,0.30600000000000005,0.3696,0.45119999999999993,0.468,0.30400000000000005,0.24480000000000002,1,0.3096,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.381768,0.9304,0.301241155028448,0,0,0,monitor_and_strengthen_fragility_resilience
local_governance_and_legitimacy,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.30600000000000005,1,0.96,1,1,0.8999999999999999,0.324,0.25200000000000006,0.33440000000000003,0.5264,0.522,0.272,0.216,1,0.2752,0.1,0.26,0.18,0.32,0.28,0.18,0.1,0.1,0.12,0.06,0.1,0.2,0.28,0.34,0.14,0.34907200000000005,0.9752,0.2615876577409921,0,0,0,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.7912,0.46,0.6,0.52,0.46,0.48,0.6864,0.7215999999999999,0.684,0.644,0.7040000000000001,0.7040000000000001,0.6688000000000001,0.45999999999999996,0.7215999999999999,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.708976,0.506,0.7911359077964161,0.10400000000000009,0.3909920000000001,0.7801279077964163,conflict_prevention_and_protection
service_continuity_and_protection,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.7176,0.48,0.64,0.5,0.5,0.48,0.7568,0.6512,0.792,0.7728,0.7200000000000001,0.7215999999999999,0.6864,0.48,0.7568,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.73792,0.5227999999999999,0.7975823804513282,0.08000000000000007,0.393872,0.7486543804513284,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.6256,0.5,0.6599999999999999,0.5,0.5,0.5,0.7215999999999999,0.7568,0.7200000000000001,0.7544,0.672,0.6864,0.6512,0.5,0.7040000000000001,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.711168,0.5351999999999999,0.7406570601627649,0.012000000000000122,0.34395200000000004,0.561409060162765,protect_displaced_people_and_livelihoods
service_continuity_and_protection,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.5888,0.54,0.74,0.54,0.48000000000000004,0.54,0.616,0.5984,0.648,0.6072000000000001,0.6240000000000001,0.6512,0.6335999999999999,0.52,0.6335999999999999,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.610304,0.5732,0.6171294719803392,0,0.312416,0.35634547198033917,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.6624,0.56,0.78,0.56,0.6000000000000001,0.6,0.5808,0.4048,0.558,0.5336,0.5599999999999999,0.6688000000000001,0.616,0.54,0.5984,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.55516,0.622,0.56375830919744,0,0.303488,0.24524630919743995,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.3496,0.74,0.96,0.74,0.74,0.76,0.4224,0.3696,0.45,0.4232,0.44800000000000006,0.3872,0.3696,0.7000000000000001,0.3872,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.400552,0.7916,0.3351310117722816,0,0.10745599999999997,0,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR007,Locally resilient service network,South America,local_resilience_network,0.3864,0.8,1,0.86,0.8,0.8600000000000001,0.3872,0.2992,0.378,0.4416,0.41600000000000004,0.33440000000000003,0.2992,0.86,0.31679999999999997,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.380392,0.8656000000000001,0.3112524503715584,0,0.034272,0,monitor_and_strengthen_fragility_resilience
service_continuity_and_protection,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.3128,0.88,1,0.88,0.88,0.8999999999999999,0.31679999999999997,0.24640000000000004,0.342,0.5152000000000001,0.46399999999999997,0.2992,0.264,0.88,0.2816,0.08,0.12,0.3,0.16,0.14,0.18,0.12,0.12,0.1,0.08,0.2,0.12,0.12,0.16,0.12,0.347384,0.9096000000000001,0.27012150695701764,0,0.007391999999999982,0,monitor_and_strengthen_fragility_resilience
