scenario,system_id,system_name,domain,region,stress_type,dependency_density,hidden_coupling,feedback_delay,signal_visibility,buffer_capacity,redundancy_capacity,modularity_capacity,adaptation_debt,optimization_pressure,maintenance_deficit,monitoring_capacity,governance_coordination,social_vulnerability,system_criticality,external_stress,dependency_reduction,coupling_reduction,delay_reduction,signal_visibility_gain,buffer_gain,redundancy_gain,modularity_gain,adaptation_debt_reduction,optimization_pressure_reduction,maintenance_gain,monitoring_gain,governance_gain,coupling_pressure,deterioration_pressure,slack_deficit,resilience_capacity,cascade_potential,structural_fragility,failure_risk,failure_gap,signal_gap,resilience_priority_score,failure_risk_band,cascade_band,diagnostic_priority
baseline,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.88,0.74,0.56,0.42,0.38,0.44,0.36,0.66,0.78,0.62,0.54,0.48,0.58,0.92,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0.5988,0.6316,0.4352000000000001,1.8561788255999998,0.6744479999999999,1.2475893004130303,0.8123893004130303,0.05879999999999996,0.6620962551445605,elevated,elevated,cascade_containment_priority
baseline,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.66,0.58,0.52,0.5,0.44,0.48,0.42,0.56,0.64,0.52,0.58,0.54,0.64,0.82,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.6568,0.5224000000000001,0.5648000000000001,0.4896,1.4061164539200002,0.594064,1.0610801213455874,0.5714801213455873,0,0.5780180424709556,elevated,elevated,cascade_containment_priority
baseline,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.58,0.52,0.7,0.44,0.4,0.46,0.54,0.62,0.54,0.6,0.46,0.48,0.5,0.7,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.5776,0.6228,0.5444,0.4632,1.0877028192,0.5683199999999999,0.96332887461888,0.5001288746188799,0.1628,0.557605106116608,elevated,moderate,monitor_and_strengthen_resilience
baseline,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.82,0.78,0.42,0.58,0.34,0.3,0.28,0.58,0.8,0.48,0.66,0.52,0.42,0.84,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.8087999999999999,0.46520000000000006,0.7064,0.428,1.6989471628799997,0.618032,1.058955795935488,0.6309557959354881,0,0.5548345285774208,elevated,elevated,cascade_containment_priority
baseline,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.44,0.36,0.38,0.72,0.68,0.74,0.76,0.3,0.42,0.32,0.74,0.68,0.34,0.7,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.4528,0.32280000000000003,0.302,0.7212000000000001,0.6999400512,0.359904,0.4721502879924479,0,0,0.2429850128,moderate,moderate,monitor_and_strengthen_resilience
baseline,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.42,0.34,0.4,0.76,0.74,0.7,0.78,0.28,0.36,0.3,0.78,0.74,0.3,0.62,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.42319999999999997,0.3092,0.27999999999999997,0.7484,0.604564476,0.334736,0.40526758990896006,0,0,0.211141119,moderate,lower,monitor_and_strengthen_resilience
deoptimization_for_resilience,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.6624,0.5888,0.5952,0.46,0.5,0.5,0.45999999999999996,0.6512,0.5776,0.5544,0.52,0.5,0.76,0.74,0.82,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.64832,0.581968,0.520416,0.4924,1.3562611928319999,0.6191468800000001,1.1043450595285589,0.6119450595285589,0.06196800000000002,0.6285743708349957,elevated,elevated,cascade_containment_priority
deoptimization_for_resilience,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.7728,0.7544,0.4608,0.54,0.52,0.46,0.5,0.6335999999999999,0.6536,0.4536,0.6,0.52,0.52,0.88,0.68,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.783328,0.493552,0.529776,0.5208,1.56339735552,0.5939392,0.9992717963543348,0.4784717963543348,0,0.5214651287240172,elevated,elevated,cascade_containment_priority
deoptimization_for_resilience,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.8096,0.6808000000000001,0.5376000000000001,0.5,0.5800000000000001,0.62,0.52,0.5808,0.5928,0.5207999999999999,0.64,0.58,0.58,0.92,0.74,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.780896,0.532016,0.447648,0.5800000000000001,1.6227387462912002,0.5950688,1.011561570996096,0.4315615709960958,0,0.5170465498486335,elevated,elevated,cascade_containment_priority
deoptimization_for_resilience,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.6072000000000001,0.5336,0.4992,0.58,0.64,0.6599999999999999,0.58,0.49280000000000007,0.4864,0.4368,0.6799999999999999,0.64,0.64,0.82,0.78,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.614752,0.46201600000000004,0.38622400000000007,0.6344000000000001,1.2296949419711998,0.52168384,0.8539261685891988,0.2195261685891987,0,0.45483415900621954,elevated,elevated,cascade_containment_priority
deoptimization_for_resilience,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.7544,0.7176,0.40319999999999995,0.6599999999999999,0.54,0.48,0.44000000000000006,0.5104,0.6080000000000001,0.40319999999999995,0.76,0.62,0.42,0.84,0.64,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.754848,0.40694400000000003,0.52168,0.5728,1.4871749589503998,0.54120192,0.8524753074739939,0.27967530747399394,0,0.4318863576158979,elevated,elevated,cascade_containment_priority
deoptimization_for_resilience,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.5336,0.47840000000000005,0.6719999999999999,0.52,0.6000000000000001,0.64,0.7000000000000001,0.5456,0.41040000000000004,0.504,0.56,0.58,0.5,0.7,0.72,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.5403519999999999,0.5559999999999999,0.369664,0.6080000000000001,0.94729649472,0.49650496,0.7723198999842814,0.16431989998428131,0,0.39433608867449843,elevated,moderate,monitor_and_strengthen_resilience
deoptimization_for_resilience,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.4048,0.3312,0.3648,0.7999999999999999,0.8800000000000001,0.9199999999999999,0.92,0.264,0.3192,0.2688,0.84,0.78,0.34,0.7,0.56,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.42553599999999997,0.277376,0.131872,0.866,0.607609237248,0.29817536,0.3534346072123776,0,0,0.219902309312,moderate,lower,monitor_and_strengthen_resilience
deoptimization_for_resilience,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.3864,0.3128,0.384,0.84,0.94,0.8799999999999999,0.9400000000000001,0.24640000000000004,0.2736,0.252,0.88,0.84,0.3,0.62,0.5,0.08,0.08,0.04,0.08,0.2,0.18,0.16,0.12,0.24,0.16,0.1,0.1,0.39728,0.26472,0.11217600000000005,0.8932,0.5238196392000001,0.27422784000000006,0.29939058348347536,0,0,0.19095490980000002,lower,lower,monitor_and_strengthen_resilience
monitoring_and_signal_upgrade,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.7056,0.6272,0.558,0.62,0.36,0.36,0.33999999999999997,0.6808000000000001,0.7296,0.6072000000000001,0.6599999999999999,0.5,0.76,0.74,0.82,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.6828799999999999,0.5435440000000001,0.658336,0.45599999999999996,1.5000725259519998,0.65185696,1.1871546103986148,0.7311546103986148,0,0.6579041136395153,elevated,elevated,cascade_containment_priority
monitoring_and_signal_upgrade,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.8231999999999999,0.8036,0.432,0.7,0.38,0.32,0.38,0.6624,0.8256,0.4968000000000001,0.74,0.52,0.52,0.88,0.68,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.825232,0.455376,0.6708959999999999,0.4844,1.7308798875648,0.62968992,1.0820856236397098,0.5976856236397099,0,0.5631899682738984,elevated,elevated,cascade_containment_priority
monitoring_and_signal_upgrade,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.86239999999999994,0.7252,0.5040000000000001,0.6599999999999999,0.44,0.48,0.39999999999999997,0.6072000000000001,0.7488,0.5704,0.78,0.58,0.58,0.92,0.74,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.8222239999999998,0.4933280000000001,0.5862080000000001,0.5436,1.7963489506559995,0.6298889599999999,1.0944859275373693,0.5508859275373693,0,0.5588100746380793,elevated,elevated,cascade_containment_priority
monitoring_and_signal_upgrade,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.6468,0.5683999999999999,0.468,0.74,0.5,0.52,0.45999999999999996,0.5152000000000001,0.6144,0.47840000000000005,0.82,0.64,0.64,0.82,0.78,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.646288,0.42148800000000003,0.520304,0.598,1.3609029891936,0.551976,0.9242228594982239,0.32622285949822394,0,0.49217800082437835,elevated,elevated,cascade_containment_priority
monitoring_and_signal_upgrade,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.8036,0.7644,0.378,0.82,0.4,0.33999999999999997,0.32,0.5336,0.768,0.4416,0.9,0.62,0.42,0.84,0.64,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.7953119999999999,0.367672,0.66088,0.5364,1.6446848560127998,0.57575296,0.9269121861469368,0.39051218614693683,0,0.47067926515142794,elevated,elevated,cascade_containment_priority
monitoring_and_signal_upgrade,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.5683999999999999,0.5096,0.63,0.6799999999999999,0.46,0.5,0.5800000000000001,0.5704,0.5184,0.552,0.7,0.58,0.5,0.7,0.72,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.5682879999999999,0.51412,0.500544,0.5716,1.0516930945919998,0.5245705599999999,0.8343762107203313,0.2627762107203313,0,0.441971673752116,elevated,moderate,monitor_and_strengthen_resilience
monitoring_and_signal_upgrade,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.43119999999999997,0.3528,0.342,0.96,0.74,0.78,0.8,0.276,0.40319999999999995,0.2944,0.98,0.78,0.34,0.7,0.56,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.44598399999999994,0.23376800000000003,0.2589119999999999,0.8296,0.6762544588799999,0.32258911999999995,0.39263544278929147,0,0,0.23706361471999998,moderate,moderate,monitor_and_strengthen_resilience
monitoring_and_signal_upgrade,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.41159999999999997,0.3332,0.36000000000000004,1,0.8,0.74,0.8200000000000001,0.25760000000000005,0.34559999999999996,0.276,1,0.84,0.3,0.62,0.5,0.02,0.02,0.1,0.24,0.06,0.04,0.04,0.08,0.04,0.08,0.24,0.1,0.41672,0.22024000000000002,0.237296,0.8532000000000001,0.5838434724,0.29763424,0.33472468383222714,0,0,0.2059608681,lower,lower,monitor_and_strengthen_resilience
redundancy_and_modularity,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.648,0.5632,0.5952,0.46,0.48,0.56,0.54,0.6956,0.6992,0.5940000000000001,0.5,0.52,0.76,0.74,0.82,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.6321920000000001,0.59956,0.5126719999999999,0.514,1.2783854091008,0.61737568,1.0874355249702377,0.5734355249702376,0.09955999999999998,0.6226144337395831,elevated,elevated,cascade_containment_priority
redundancy_and_modularity,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.756,0.7215999999999999,0.4608,0.54,0.5,0.52,0.5800000000000001,0.6768,0.7912,0.48600000000000004,0.58,0.54,0.52,0.88,0.68,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.7634559999999999,0.50932,0.5245920000000001,0.5424,1.4720213458943998,0.59114848,0.9819501457484759,0.43955014574847595,0,0.5078425510119665,elevated,elevated,cascade_containment_priority
redundancy_and_modularity,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.792,0.6512,0.5376000000000001,0.5,0.56,0.6799999999999999,0.6,0.6204,0.7176,0.558,0.62,0.6,0.58,0.92,0.74,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.761792,0.5481199999999999,0.44041600000000003,0.6016,1.5288525534719999,0.59211104,0.9932948084047504,0.39169480840475035,0,0.5030931829416626,elevated,elevated,cascade_containment_priority
redundancy_and_modularity,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.5940000000000001,0.5104,0.4992,0.58,0.62,0.72,0.6599999999999999,0.5264,0.5888,0.468,0.6599999999999999,0.66,0.64,0.82,0.78,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.600064,0.47559999999999997,0.375408,0.6559999999999999,1.1581452423168,0.51848512,0.8371451041478554,0.18114510414785545,0,0.4414007864517494,elevated,moderate,monitor_and_strengthen_resilience
redundancy_and_modularity,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.738,0.6864,0.40319999999999995,0.6599999999999999,0.52,0.54,0.52,0.5451999999999999,0.7360000000000001,0.432,0.74,0.64,0.42,0.84,0.64,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.735744,0.42024,0.51496,0.5943999999999999,1.4015617130495999,0.5375808,0.8356826013111708,0.24128260131117085,0,0.4184489104589098,elevated,elevated,cascade_containment_priority
redundancy_and_modularity,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.522,0.4576,0.6719999999999999,0.52,0.5800000000000001,0.7,0.78,0.5828,0.4968000000000001,0.54,0.54,0.6,0.5,0.7,0.72,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.527296,0.57136,0.356288,0.6296,0.8901252138240001,0.49367872,0.7576480167372135,0.12804801673721344,0.031359999999999943,0.3736201093140248,elevated,moderate,monitor_and_strengthen_resilience
redundancy_and_modularity,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.396,0.31679999999999997,0.3648,0.7999999999999999,0.8600000000000001,0.98,1,0.282,0.3864,0.28800000000000003,0.82,0.8,0.34,0.7,0.56,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.41612799999999994,0.28520000000000006,0.11542399999999997,0.8876,0.5696376192,0.29359616,0.3424642061991321,0,0,0.2104094048,lower,lower,monitor_and_strengthen_resilience
redundancy_and_modularity,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.378,0.2992,0.384,0.84,0.9199999999999999,0.94,1,0.2632,0.3312,0.27,0.86,0.86,0.3,0.62,0.5,0.1,0.12,0.04,0.08,0.18,0.24,0.24,0.06,0.08,0.1,0.08,0.12,0.388352,0.27204,0.09819200000000004,0.9112000000000001,0.496022592,0.27024288,0.2910440095545024,0,0,0.184005648,lower,lower,monitor_and_strengthen_resilience
system_resilience_portfolio,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.6192,0.5376,0.5207999999999999,0.6,0.54,0.56,0.54,0.592,0.5928,0.5148,0.6599999999999999,0.64,0.76,0.74,0.82,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.6091519999999999,0.499896,0.47524799999999995,0.5856000000000001,1.2317951330047998,0.573576,0.967941357787622,0.3823413577876219,0,0.5358194752256676,elevated,elevated,cascade_containment_priority
system_resilience_portfolio,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.7223999999999999,0.6888,0.40319999999999995,0.68,0.56,0.52,0.5800000000000001,0.576,0.6708000000000001,0.4212,0.74,0.6599999999999999,0.52,0.88,0.68,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.73552,0.418424,0.4849279999999999,0.6140000000000001,1.418157877248,0.54779744,0.8711553271428404,0.2571553271428403,0,0.44400436449999414,elevated,elevated,cascade_containment_priority
system_resilience_portfolio,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.7568,0.6215999999999999,0.47040000000000004,0.64,0.62,0.6799999999999999,0.6,0.528,0.6084,0.48360000000000003,0.78,0.72,0.58,0.92,0.74,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.73424,0.45391200000000004,0.402544,0.6732,1.4735580038400002,0.5483779200000001,0.8792873503525764,0.20608735035257641,0,0.4381305726234017,elevated,elevated,cascade_containment_priority
system_resilience_portfolio,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.5676,0.48719999999999997,0.4368,0.72,0.6799999999999999,0.72,0.6599999999999999,0.44800000000000006,0.49920000000000003,0.4056,0.82,0.78,0.64,0.82,0.78,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.57904,0.38827200000000006,0.34067200000000003,0.7275999999999999,1.117568161248,0.47938944000000006,0.7386368343460255,0.011036834346025537,0,0.38186289202110896,elevated,moderate,monitor_and_strengthen_resilience
system_resilience_portfolio,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.7051999999999999,0.6552,0.35279999999999995,0.7999999999999999,0.5800000000000001,0.54,0.52,0.46399999999999997,0.6240000000000001,0.3744,0.9,0.76,0.42,0.84,0.64,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.708768,0.337008,0.47663999999999995,0.666,1.3501735552512,0.49698623999999997,0.7385954286506035,0.07259542865060342,0,0.35940840002771124,elevated,elevated,cascade_containment_priority
system_resilience_portfolio,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.49879999999999997,0.4368,0.588,0.66,0.64,0.7,0.78,0.496,0.4212,0.46799999999999997,0.7,0.72,0.5,0.7,0.72,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.508672,0.47375999999999996,0.323792,0.7012,0.8586861511680001,0.45296448,0.663911235974085,0,0,0.314671537792,moderate,moderate,monitor_and_strengthen_resilience
system_resilience_portfolio,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.3784,0.3024,0.3192,0.94,0.92,0.98,1,0.24,0.3276,0.24960000000000002,0.98,0.92,0.34,0.7,0.56,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.40249599999999996,0.215472,0.085616,0.9592,0.5509767744,0.2628288,0.29012850995880957,0,0,0.2057441936,lower,lower,monitor_and_strengthen_resilience
system_resilience_portfolio,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.36119999999999997,0.2856,0.336,0.98,0.98,0.94,1,0.22400000000000003,0.2808,0.23399999999999999,1,0.98,0.3,0.62,0.5,0.14,0.16,0.16,0.22,0.24,0.24,0.24,0.2,0.22,0.22,0.24,0.24,0.375392,0.20268000000000003,0.06972800000000003,0.9792,0.4794694320000001,0.24010272000000002,0.24517169179176967,0,0,0.17986735800000003,lower,lower,monitor_and_strengthen_resilience
