scenario,system_id,system_name,domain,region,stress_type,stress_load,stress_rate,resilience_margin,buffer_capacity,monitoring_capacity,feedback_destabilization,threshold_proximity,interdependency_density,cascade_exposure,governance_readiness,recovery_capacity,social_vulnerability,justice_pressure,system_criticality,regime_shift_reversibility,stress_reduction,stress_rate_reduction,margin_gain,buffer_gain,monitoring_gain,feedback_stabilization,threshold_retreat,interdependency_reduction,cascade_reduction,governance_gain,recovery_gain,vulnerability_reduction,justice_reduction,reversibility_gain,effective_margin,threshold_pressure,tipping_pressure,regime_shift_likelihood,cascade_potential,recovery_difficulty,breakdown_risk,justice_weighted_breakdown_risk,resilience_gap,diagnostic_priority
cascade_containment,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.752,0.5451999999999999,0.46,0.5,0.66,0.5248,0.6335999999999999,0.5599999999999999,0.5327999999999999,0.6599999999999999,0.62,0.684,0.666,0.9,0.54,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.5376000000000001,0.6348239999999999,0.6472852230615374,0.5817729758409227,1.5113839182553832,0.5290473522690953,0.8467322822397328,1.0441055772298147,0.5065055772298146,cascade_containment_priority
cascade_containment,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.7332,0.5076,0.54,0.6,0.72,0.5084000000000001,0.616,0.672,0.5903999999999999,0.7,0.66,0.5040000000000001,0.522,0.92,0.56,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.61239999999999994,0.6126320000000001,0.5891130703302088,0.550138443912271,1.5749854958429543,0.4653243020519267,0.7908319313405575,0.9353169251964775,0.3229169251964775,cascade_containment_priority
cascade_containment,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.6956,0.45119999999999993,0.5,0.58,0.64,0.6232000000000001,0.7215999999999999,0.36800000000000005,0.3744,0.76,0.56,0.342,0.378,0.7,0.42,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.586,0.63556,0.634334814512251,0.6439298369341654,1.30202069036162,0.5144975478189329,0.7479614474226566,0.8469167469166741,0.2609167469166741,monitor_and_preserve_margin
cascade_containment,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.6768,0.47,0.52,0.52,0.78,0.4756,0.5808,0.656,0.576,0.72,0.64,0.378,0.41400000000000003,0.84,0.62,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.5988,0.5701280000000001,0.5429173907878588,0.5067199128678721,1.3985514348655979,0.4153103721177191,0.7149812465609878,0.818582029187675,0.21978202918767498,monitor_and_preserve_margin
cascade_containment,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.5451999999999999,0.376,0.8,0.88,0.88,0.31160000000000004,0.3696,0.384,0.3312,0.96,0.86,0.30600000000000005,0.28800000000000003,0.66,0.82,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.8592,0.42027200000000003,0.31276508909145084,0.3007561302910934,0.5972527665180181,0.2367619616931499,0.37192025126264683,0.40940981258992165,0,monitor_and_preserve_margin
cascade_containment,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.5076,0.3384,0.84,0.92,0.8200000000000001,0.27880000000000005,0.33440000000000003,0.336,0.288,0.9199999999999999,0.88,0.27,0.25200000000000006,0.62,0.86,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.8683999999999998,0.38416000000000006,0.2786070359206841,0.2654303922130326,0.4937120300842744,0.20393772550817044,0.31787324687766205,0.34590966725227185,0,monitor_and_preserve_margin
early_warning_and_monitoring,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.8448,0.6204,0.36000000000000004,0.36,0.66,0.6335999999999999,0.7728,0.6144,0.6392,0.58,0.44,0.752,0.7332,0.76,0.42000000000000004,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.4492,0.738696,0.831759799412729,0.7264463318003279,1.9592537946718749,0.659902826176105,0.9343323180473325,1.1741006775046388,0.7249006775046387,cascade_containment_priority
early_warning_and_monitoring,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.8063999999999999,0.5828,0.42000000000000004,0.44,0.6799999999999999,0.5984,0.6992,0.6911999999999999,0.7332,0.62,0.52,0.6392,0.6768,0.86,0.46,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.5035999999999999,0.6918960000000001,0.741462169801154,0.6615691377323923,1.9892479539915584,0.5863261240743656,0.8772547316438866,1.0850588324756905,0.5814588324756905,cascade_containment_priority
early_warning_and_monitoring,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.768,0.5451999999999999,0.4,0.4,0.78,0.5632,0.6624,0.6719999999999999,0.6956,0.64,0.54,0.7143999999999999,0.6956,0.9,0.5,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.5068,0.654664,0.6874366754435475,0.6185924696508062,1.833125111921398,0.5755175902882579,0.8740169577389258,1.0868051262700447,0.5800051262700446,cascade_containment_priority
early_warning_and_monitoring,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.7488,0.5076,0.48000000000000004,0.5,0.84,0.5456,0.644,0.8063999999999999,0.7707999999999999,0.68,0.58,0.5264,0.5451999999999999,0.92,0.52,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.5816,0.631912,0.6261238693993901,0.5854421155957926,1.9368880717356523,0.5095494769906537,0.8157122147007003,0.971366419509888,0.389766419509888,cascade_containment_priority
early_warning_and_monitoring,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.7103999999999999,0.45119999999999993,0.44,0.48,0.76,0.6688000000000001,0.7544,0.4416,0.4888,0.74,0.48000000000000004,0.35719999999999996,0.3948,0.7,0.38,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.5551999999999999,0.657328,0.6771680610026871,0.6841411407409136,1.5279876179817051,0.5587091650370923,0.8286458208593291,0.9431481003856712,0.3879481003856713,cascade_containment_priority
early_warning_and_monitoring,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.6911999999999999,0.47,0.46,0.42,0.9,0.5104,0.6072000000000001,0.7871999999999999,0.752,0.7000000000000001,0.5599999999999999,0.3948,0.4324,0.84,0.58,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.568,0.588152,0.5766664035790137,0.5400185772168646,1.7184407640729789,0.45766194470939675,0.7662027051956134,0.8821598225999175,0.3141598225999176,cascade_containment_priority
early_warning_and_monitoring,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.5568,0.376,0.74,0.78,1,0.33440000000000003,0.3864,0.4608,0.4324,0.9400000000000001,0.7799999999999999,0.3196,0.3008,0.66,0.7799999999999999,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.8283999999999999,0.432688,0.3316506065840131,0.3241052062385645,0.7088262942544082,0.2752256659963407,0.4212402657116143,0.4655884408857331,0,monitor_and_preserve_margin
early_warning_and_monitoring,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.5184,0.3384,0.7799999999999999,0.8200000000000001,0.9400000000000001,0.2992,0.3496,0.40319999999999995,0.376,0.9,0.7999999999999999,0.282,0.2632,0.62,0.82,0.04,0.06,0.08,0.06,0.26,0.12,0.08,0.04,0.06,0.16,0.08,0.06,0.06,0.08,0.8376,0.39545600000000003,0.2952322505337479,0.28711496518147434,0.5824818864175593,0.24151678885807182,0.35977737413023225,0.39292006583510924,0,monitor_and_preserve_margin
justice_centered_threshold_avoidance,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.792,0.5940000000000001,0.46,0.5,0.5800000000000001,0.5904,0.6888000000000001,0.5632,0.5848,0.64,0.56,0.6080000000000001,0.5928,0.76,0.52,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.52,0.68532,0.7274964751273248,0.6405168015432905,1.6382332178323322,0.549925376493853,0.8572007878234893,1.0350528072811067,0.5150528072811067,cascade_containment_priority
justice_centered_threshold_avoidance,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.756,0.558,0.52,0.5800000000000001,0.6,0.5576000000000001,0.6232000000000001,0.6335999999999999,0.6708000000000001,0.68,0.64,0.5168,0.5472,0.86,0.56,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.5744,0.6422000000000001,0.6485351949346941,0.582053966277796,1.651952844853814,0.48315326920889473,0.8075530023762296,0.962215553391325,0.387815553391325,cascade_containment_priority
justice_centered_threshold_avoidance,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.7200000000000001,0.522,0.5,0.54,0.7,0.5248,0.5904,0.616,0.6364,0.7,0.66,0.5776,0.5624,0.9,0.6,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.5776,0.607608,0.601737431022463,0.5430547265476374,1.5212199578266998,0.470449512495244,0.8026965095252455,0.9606992904601948,0.38309929046019475,cascade_containment_priority
justice_centered_threshold_avoidance,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.7020000000000001,0.48600000000000004,0.5800000000000001,0.64,0.76,0.5084000000000001,0.574,0.7392,0.7051999999999999,0.74,0.7,0.42560000000000003,0.44079999999999997,0.92,0.62,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.6524000000000001,0.586352,0.5471971726943041,0.5129670387160634,1.595290668730096,0.4133814523891403,0.7536930836412897,0.8699728525854679,0.21757285258546777,cascade_containment_priority
justice_centered_threshold_avoidance,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.666,0.432,0.54,0.62,0.6799999999999999,0.6232000000000001,0.6724,0.4048,0.4472,0.7999999999999999,0.6000000000000001,0.2888,0.3192,0.7,0.48,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.626,0.6084800000000001,0.5899049069247209,0.6040316683544051,1.2926561800623035,0.4672261338734096,0.7127437244326248,0.7923714533262377,0.1663714533262377,monitor_and_preserve_margin
justice_centered_threshold_avoidance,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.648,0.45,0.56,0.56,0.8200000000000001,0.4756,0.5412,0.7215999999999999,0.6880000000000001,0.76,0.6799999999999999,0.3192,0.3496,0.84,0.6799999999999999,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.6388000000000001,0.54564,0.5045280540593059,0.47137153838016405,1.4113318909872348,0.36826289228165254,0.6865478309820121,0.7705538235809711,0.13175382358097099,cascade_containment_priority
justice_centered_threshold_avoidance,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.522,0.36000000000000004,0.8400000000000001,0.9199999999999999,0.9199999999999999,0.31160000000000004,0.34440000000000004,0.4224,0.3956,1,0.8999999999999999,0.2584,0.2432,0.66,0.8799999999999999,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.8992,0.40231200000000006,0.28955040678402894,0.2743111383065699,0.5753174510538146,0.19502756425810241,0.3398721861709223,0.36880210665779123,0,monitor_and_preserve_margin
justice_centered_threshold_avoidance,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.48600000000000004,0.324,0.8799999999999999,0.96,0.8600000000000001,0.27880000000000005,0.31160000000000004,0.3696,0.34400000000000003,0.96,0.9199999999999999,0.22799999999999998,0.21280000000000002,0.62,0.9199999999999999,0.1,0.1,0.18,0.2,0.18,0.18,0.18,0.12,0.14,0.22,0.2,0.24,0.24,0.18,0.9083999999999999,0.36772000000000005,0.25794567312883726,0.24047752886380472,0.4697712535560666,0.16391280923641754,0.28712087265667574,0.30850563525214497,0,monitor_and_preserve_margin
margin_and_buffer_restoration,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.8096,0.6072000000000001,0.54,0.5800000000000001,0.5,0.6192,0.7055999999999999,0.6016,0.6256,0.54,0.54,0.7360000000000001,0.7176,0.76,0.48000000000000004,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.5424,0.7037599999999999,0.7455351704662264,0.664777957958517,1.7695504339493036,0.5994489465467254,0.898394295015241,1.124035006151269,0.581635006151269,cascade_containment_priority
margin_and_buffer_restoration,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.7728,0.5704,0.6000000000000001,0.66,0.52,0.5848,0.6384,0.6768,0.7176,0.5800000000000001,0.62,0.6256,0.6624,0.86,0.52,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.5968,0.6594880000000001,0.6639746892036225,0.6046953943292316,1.792465315998173,0.5279345261853541,0.8437913393090096,1.0394159234144105,0.4426159234144105,cascade_containment_priority
margin_and_buffer_restoration,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.7360000000000001,0.5336,0.5800000000000001,0.6200000000000001,0.62,0.5504,0.6048,0.6579999999999999,0.6808000000000001,0.6,0.64,0.6992,0.6808000000000001,0.9,0.56,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.6,0.6239520000000001,0.615696409025833,0.5646647790687832,1.6501954970039405,0.5177167293020106,0.8413853707437885,1.0418706768846184,0.44187067688461845,cascade_containment_priority
margin_and_buffer_restoration,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.7176,0.4968000000000001,0.66,0.72,0.6799999999999999,0.5332,0.588,0.7896,0.7544,0.64,0.6799999999999999,0.5152000000000001,0.5336,0.92,0.5800000000000001,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.6748,0.602136,0.5593339508608376,0.5336935432926848,1.7389071329395982,0.45332593385365916,0.7848569914902448,0.931436883220963,0.256636883220963,cascade_containment_priority
margin_and_buffer_restoration,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.6808000000000001,0.4416,0.62,0.7,0.6,0.6536,0.6888,0.4324,0.47840000000000005,0.7,0.5800000000000001,0.3496,0.3864,0.7,0.44,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.6484,0.62536,0.6042891607801838,0.6272663146652625,1.3862036379934743,0.5016372206928841,0.764663009762939,0.8680760352032789,0.21967603520327894,monitor_and_preserve_margin
margin_and_buffer_restoration,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.6624,0.46,0.64,0.64,0.74,0.49879999999999997,0.5544,0.7707999999999999,0.7360000000000001,0.66,0.6599999999999999,0.3864,0.4232,0.84,0.64,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.6612,0.560344,0.5155060830871657,0.4911760682496364,1.5396680062516055,0.40298434183988363,0.7371487315728531,0.8463352016934241,0.18513520169342412,cascade_containment_priority
margin_and_buffer_restoration,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.5336,0.36800000000000005,0.92,1,0.84,0.3268,0.35279999999999995,0.45119999999999993,0.4232,0.9,0.8799999999999999,0.3128,0.2944,0.66,0.84,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.9216000000000001,0.41293599999999997,0.29410497965537097,0.2890836930828261,0.6257029197593703,0.2253227817865044,0.3748538295380855,0.41347876813368983,0,monitor_and_preserve_margin
margin_and_buffer_restoration,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.4968000000000001,0.3312,0.96,1,0.78,0.2924,0.3192,0.3948,0.36800000000000005,0.86,0.8999999999999999,0.276,0.25760000000000005,0.62,0.88,0.08,0.08,0.26,0.28,0.1,0.14,0.16,0.06,0.08,0.12,0.18,0.08,0.08,0.14,0.9212,0.37740000000000007,0.2637320666746102,0.25514090266936745,0.5127838125550647,0.1927650888541976,0.3185603921938426,0.34728179715403945,0,monitor_and_preserve_margin
resilience_before_breakdown,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.7216,0.5544,0.5800000000000001,0.6,0.66,0.5327999999999999,0.6384,0.49920000000000003,0.5032,0.6799999999999999,0.62,0.6240000000000001,0.6084,0.76,0.5800000000000001,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.6152,0.6292,0.6146879668054428,0.5655379087138506,1.3434470537560368,0.5018521307884322,0.7811384901720859,0.94747412026933,0.33227412026933,monitor_and_preserve_margin
resilience_before_breakdown,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.6888000000000001,0.5207999999999999,0.64,0.6799999999999999,0.6799999999999999,0.5032,0.5776,0.5616,0.5772,0.72,0.7,0.5304000000000001,0.5616,0.86,0.62,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.6695999999999999,0.58952,0.5474995837067269,0.5129658584602872,1.3429309549932456,0.43643707470729193,0.7331884742160648,0.8773040007079745,0.20770400070797468,monitor_and_preserve_margin
resilience_before_breakdown,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.6560000000000001,0.48719999999999997,0.62,0.64,0.78,0.4736,0.5472,0.5459999999999999,0.5476,0.74,0.72,0.5928,0.5772,0.9,0.6599999999999999,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.6727999999999998,0.5577440000000001,0.5085595175870639,0.47790223597960174,1.2375864605132483,0.42534471551347264,0.7007839122794687,0.84235627823816706,0.1695562782381672,monitor_and_preserve_margin
resilience_before_breakdown,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.6396000000000001,0.4536,0.7,0.74,0.84,0.4588,0.5319999999999999,0.6552,0.6068,0.78,0.76,0.4368000000000001,0.45239999999999997,0.92,0.6799999999999999,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.7476,0.53816,0.4614567488364474,0.4509752946043921,1.2862115359134574,0.36840809427340554,0.6657764490759426,0.7711954920226273,0.02359549202262723,monitor_and_preserve_margin
resilience_before_breakdown,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.6068,0.40319999999999995,0.6599999999999999,0.72,0.76,0.5624,0.6232,0.3588,0.38480000000000003,0.84,0.66,0.2964,0.3276,0.7,0.54,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.7212,0.55828,0.49681674126285447,0.5354296920293705,1.0800635459694456,0.4193455014493986,0.6216849884513105,0.6929673892271377,0,monitor_and_preserve_margin
resilience_before_breakdown,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.5904,0.42,0.6799999999999999,0.6599999999999999,0.9,0.42919999999999997,0.5016,0.6396,0.592,0.8,0.74,0.3276,0.3588,0.84,0.74,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.734,0.500808,0.4262797962708885,0.41319113073210206,1.1361303936556615,0.32389316183427264,0.5823481270393545,0.6554794048329566,0,monitor_and_preserve_margin
resilience_before_breakdown,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.4756,0.336,0.96,1,1,0.2812,0.3192,0.3744,0.34040000000000004,1,0.96,0.26520000000000005,0.24960000000000002,0.66,0.94,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.9832,0.369232,0.24512559240694137,0.2345747014183601,0.46442165887255016,0.15620790445387528,0.28877104385733154,0.31399808224870807,0,monitor_and_preserve_margin
resilience_before_breakdown,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.4428000000000001,0.3024,1,1,0.9400000000000001,0.2516,0.2888,0.3276,0.296,1,0.98,0.23399999999999999,0.21840000000000004,0.62,0.98,0.18,0.16,0.3,0.3,0.26,0.26,0.24,0.22,0.26,0.26,0.26,0.22,0.22,0.24,0.9892,0.33745600000000003,0.2191311965651837,0.20391260683216247,0.37821938729975163,0.125932034186292,0.2425381216041241,0.2610777356195434,0,monitor_and_preserve_margin
