scenario,system_id,system_name,region,health_risk_context,health_hazard_pressure,exposure,social_health_vulnerability,surveillance_capacity,prevention_capacity,essential_service_continuity,workforce_capacity,supply_chain_reliability,public_trust,communication_capacity,recovery_capacity,inequality_pressure,essential_service_demand,repeated_health_disruption_pressure,hazard_reduction,exposure_reduction,vulnerability_reduction,surveillance_gain,prevention_gain,continuity_gain,workforce_gain,supply_chain_gain,trust_gain,communication_gain,recovery_gain,inequality_reduction,service_demand_reduction,repeated_disruption_reduction,public_health_threat_pressure,public_health_resilience_capacity,systemic_health_risk,continuity_gap,trust_adjusted_response_capacity,public_health_resilience_gap,diagnostic_priority
essential_service_continuity,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.7896,0.7176,0.648,0.72,0.72,0.8200000000000001,0.68,0.7,0.56,0.66,0.72,0.6512,0.5903999999999999,0.574,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.713484076032,0.704,0.6500878199519238,0,0.8178336,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.7332,0.6808000000000001,0.5940000000000001,0.76,0.76,0.8800000000000001,0.72,0.72,0.6,0.7000000000000001,0.76,0.616,0.5472,0.5412,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.6177635842560001,0.7448,0.5397941078455322,0,0.8734360000000001,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.6956,0.644,0.5760000000000001,0.7000000000000001,0.7,0.8,0.7,0.5,0.64,0.68,0.7,0.5808,0.5327999999999999,0.5084000000000001,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.55117785856,0.6832,0.49434832344288276,0,0.8265328,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.6579999999999999,0.6072000000000001,0.684,0.64,0.8,0.8600000000000001,0.7999999999999999,0.64,0.76,0.8,0.76,0.6864,0.5184,0.5576000000000001,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.5088510873600001,0.7568000000000001,0.45097945284790963,0,0.9155968,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.5828,0.552,0.342,0.98,0.96,1,0.96,0.9199999999999999,0.82,0.9,0.98,0.2992,0.38880000000000003,0.246,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.36571492608000006,0.9448000000000001,0.2408123509446578,0,1.1799620000000002,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.5264,0.5336,0.378,0.9,0.9199999999999999,1,0.9199999999999999,0.8800000000000001,0.78,0.84,0.9400000000000001,0.33440000000000003,0.3744,0.27880000000000005,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.32335716044799995,0.9032000000000002,0.22336160621933868,0,1.0943112,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.7216,0.6384,0.602,0.68,0.64,0.64,0.6200000000000001,0.64,0.64,0.66,0.6000000000000001,0.5543999999999999,0.612,0.602,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.571598641152,0.642,0.5291596910088627,0,0.7869584000000001,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.7052,0.6232,0.5459999999999999,0.8,0.76,0.74,0.76,0.72,0.74,0.78,0.6799999999999999,0.5279999999999999,0.5848,0.5319999999999999,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.535463211776,0.7512,0.4534712463286109,0,0.9534044000000002,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.6888000000000001,0.5928,0.504,0.9199999999999999,0.8600000000000001,0.8200000000000001,0.8,0.8400000000000001,0.78,0.8600000000000001,0.78,0.48839999999999995,0.5575999999999999,0.48999999999999994,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.4906380810240001,0.8364,0.38460770357518603,0,1.0864136,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.6396000000000001,0.5624,0.46199999999999997,0.96,0.8999999999999999,0.8800000000000001,0.8400000000000001,0.8600000000000001,0.8200000000000001,0.9000000000000001,0.8200000000000001,0.4619999999999999,0.5167999999999999,0.46199999999999997,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.42618564019200006,0.8772000000000001,0.32043086509534857,0,1.1468184000000001,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.6068,0.5319999999999999,0.44799999999999995,0.9000000000000001,0.8400000000000001,0.8,0.8200000000000001,0.64,0.8600000000000001,0.8800000000000001,0.76,0.4356,0.5032,0.434,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.38066651391999995,0.8156000000000001,0.29576781181675416,0,1.0989888,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.574,0.5016,0.5319999999999999,0.8400000000000001,0.94,0.8600000000000001,0.9199999999999999,0.78,0.98,1,0.8200000000000001,0.5147999999999999,0.4895999999999999,0.476,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.34918743552000003,0.8892000000000001,0.26485513918007586,0,1.1979852,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.5084000000000001,0.45599999999999996,0.26599999999999996,1,1,1,1,1,1,1,1,0.2244,0.36719999999999997,0.21,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.25649715456000005,1,0.15694617288522453,0,1.3,0,monitor_and_strengthen_public_health_resilience
integrated_public_health_resilience,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.45920000000000005,0.44079999999999997,0.294,1,1,1,1,1,1,1,1,0.25079999999999997,0.35359999999999997,0.238,0.18,0.24,0.3,0.34,0.32,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.32,0.3,0.22621940633600002,1,0.14017404103455341,0,1.3,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.8271999999999999,0.7896,0.7912,0.66,0.48,0.42,0.4,0.44,0.4,0.5,0.38,0.7728,0.8280000000000001,0.774,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.8598682853376,0.46719999999999995,0.9629372909908458,0.4080000000000001,0.6135360000000001,0.7574012909908459,rebuild_workforce_capacity
surveillance_and_laboratory_strengthening,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.8083999999999999,0.7707999999999999,0.7176,0.78,0.6,0.52,0.54,0.52,0.5,0.62,0.45999999999999996,0.7360000000000001,0.7912,0.684,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.8019735692287998,0.5764,0.8235993742503471,0.2712,0.76797,0.3268293742503472,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.7896,0.7332,0.6624,0.8999999999999999,0.7000000000000001,0.6,0.5800000000000001,0.64,0.54,0.7,0.56,0.6808000000000001,0.7544,0.63,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.7323292634112,0.6616,0.6970297481079427,0.15439999999999998,0.892416,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.7332,0.6956,0.6072000000000001,0.94,0.74,0.66,0.62,0.66,0.58,0.74,0.6,0.644,0.6992,0.5940000000000001,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.6338861008896,0.7024000000000001,0.5785783349062434,0.03920000000000001,0.9485919999999999,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.6956,0.6579999999999999,0.5888,0.8800000000000001,0.68,0.5800000000000001,0.6,0.44,0.62,0.72,0.54,0.6072000000000001,0.6808000000000001,0.558,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.5655034344959999,0.6408,0.5288026003537631,0.1008,0.9027832000000001,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.6579999999999999,0.6204,0.6992,0.8200000000000001,0.78,0.64,0.7,0.5800000000000001,0.74,0.8400000000000001,0.6,0.7176,0.6624,0.6120000000000001,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.5223950645759998,0.7144000000000001,0.4841920561914738,0.022399999999999975,0.9939748000000002,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.5828,0.564,0.3496,1,0.9400000000000001,0.88,0.86,0.86,0.7999999999999999,0.94,0.82,0.3128,0.4968000000000001,0.27,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.37466449612799996,0.8927999999999999,0.2587495187577538,0,1.190896,0,monitor_and_strengthen_public_health_resilience
surveillance_and_laboratory_strengthening,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.5264,0.5451999999999999,0.3864,1,0.9,0.84,0.82,0.8200000000000001,0.76,0.8799999999999999,0.78,0.3496,0.47840000000000005,0.30600000000000005,0.06,0.06,0.08,0.32,0.16,0.12,0.12,0.14,0.1,0.18,0.1,0.08,0.08,0.1,0.3313509613568,0.8576000000000001,0.23885565696530897,0,1.1388472,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.8271999999999999,0.756,0.6192,0.5,0.52,0.45999999999999996,0.44000000000000006,0.42,0.64,0.66,0.46,0.5711999999999999,0.7380000000000001,0.7052,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.780253157376,0.5048,0.8001034616629233,0.27800000000000014,0.6668048,0.4112986616629235,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.8083999999999999,0.738,0.5616,0.62,0.64,0.56,0.58,0.5,0.74,0.78,0.54,0.5439999999999999,0.7052,0.6232000000000001,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.7306192442879998,0.614,0.6882614453069072,0.1452,0.8302268000000002,0.0032346453069070913,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.7896,0.7020000000000001,0.5184,0.74,0.74,0.64,0.62,0.62,0.78,0.8600000000000001,0.64,0.5032,0.6724,0.574,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.669238682112,0.6992,0.5858969512599794,0.032399999999999984,0.9620264000000001,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.7332,0.666,0.4752,0.78,0.78,0.7000000000000001,0.66,0.64,0.8200000000000001,0.9000000000000001,0.6799999999999999,0.4759999999999999,0.6232000000000001,0.5412,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.581129392896,0.7400000000000002,0.4888984400440799,0,1.0212216,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.6956,0.63,0.4608,0.7200000000000001,0.72,0.62,0.64,0.42,0.8600000000000001,0.8800000000000001,0.62,0.4488,0.6068,0.5084000000000001,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.5190021849600001,0.6784,0.44901368189528146,0,0.9721824000000002,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.6579999999999999,0.5940000000000001,0.5472,0.66,0.8200000000000001,0.68,0.74,0.56,0.98,1,0.6799999999999999,0.5304,0.5904,0.5576000000000001,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.47640168576,0.7520000000000001,0.404954898210216,0,1.06755,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.5828,0.54,0.2736,1,0.98,0.92,0.9,0.84,1,1,0.8999999999999999,0.2312,0.4428000000000001,0.246,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.34915408128,0.9431999999999999,0.22523618038737972,0,1.29142,0,monitor_and_strengthen_public_health_resilience
trust_communication_and_equity,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.5264,0.522,0.3024,0.92,0.94,0.88,0.86,0.8,1,1,0.8600000000000001,0.25839999999999996,0.42640000000000006,0.27880000000000005,0.06,0.1,0.28,0.16,0.2,0.16,0.16,0.12,0.34,0.34,0.18,0.32,0.18,0.18,0.308018285568,0.9047999999999999,0.20744762273346126,0,1.2389000000000001,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.8448,0.7896,0.7912,0.48000000000000004,0.46,0.5,0.6200000000000001,0.64,0.4,0.42000000000000004,0.48000000000000004,0.756,0.7380000000000001,0.7052,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.8781633552384001,0.5048,0.9490450110744416,0.2380000000000001,0.5080320000000002,0.6790130110744416,repair_trust_and_risk_communication
workforce_and_supply_chain_resilience,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.8256,0.7707999999999999,0.7176,0.6000000000000001,0.5800000000000001,0.6000000000000001,0.76,0.72,0.5,0.54,0.56,0.7200000000000001,0.7052,0.6232000000000001,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.8190368366591999,0.6140000000000001,0.8114788040049633,0.10519999999999996,0.6596400000000001,0.25703880400496315,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.8063999999999999,0.7332,0.6624,0.72,0.68,0.6799999999999999,0.8,0.8400000000000001,0.54,0.62,0.66,0.666,0.6724,0.574,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.7479107371007999,0.6991999999999999,0.6864938222764435,0,0.7829556,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.7488,0.6956,0.6072000000000001,0.76,0.72,0.74,0.8400000000000001,0.8600000000000001,0.58,0.66,0.7,0.63,0.6232000000000001,0.5412,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.6473730392064,0.74,0.5697918455972648,0,0.8380012000000001,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.7103999999999999,0.6579999999999999,0.5888,0.7000000000000001,0.66,0.66,0.8200000000000001,0.64,0.62,0.64,0.64,0.5940000000000001,0.6068,0.5084000000000001,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.5775354224639998,0.6784000000000001,0.5215988306145042,0,0.791062,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.6719999999999999,0.6204,0.6992,0.64,0.76,0.72,0.9199999999999999,0.78,0.74,0.76,0.7,0.7020000000000001,0.5904,0.5576000000000001,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.5335098531839999,0.752,0.4764709565903474,0,0.8788624,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.5952,0.564,0.3496,0.98,0.92,0.96,1,1,0.7999999999999999,0.86,0.9199999999999999,0.30600000000000005,0.4428000000000001,0.246,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.38263608115199993,0.9376,0.2539203975929149,0,1.1415440000000001,0,monitor_and_strengthen_public_health_resilience
workforce_and_supply_chain_resilience,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.5376000000000001,0.5451999999999999,0.3864,0.9,0.88,0.9199999999999999,1,1,0.76,0.7999999999999999,0.8800000000000001,0.342,0.42640000000000006,0.27880000000000005,0.04,0.06,0.08,0.14,0.14,0.2,0.34,0.34,0.1,0.1,0.2,0.1,0.18,0.18,0.3384009818112,0.9000000000000001,0.23487832910954035,0,1.0565712,0,monitor_and_strengthen_public_health_resilience
