item_id,item_name,sector,supply_context,criticality,supplier_concentration,dependency_intensity,logistics_exposure,cyber_digital_risk,workforce_vulnerability,climate_hazard_exposure,inventory_buffer,substitutability,supplier_redundancy,modular_production_capacity,governance_capacity,logistics_flexibility,recovery_time_pressure,vulnerable_population_exposure,essential_service_relevance,disruption_pressure,resilience_buffer_capacity,shortage_risk,concentration_adjusted_dependency,service_continuity_gap,public_priority_score,diagnostic_priority,scenario
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.5015999999999999,0.5472,0.6120000000000001,0.3128,0.4416,0.552,0.48,0.48,0.68,0.54,0.62,0.56,0.574,0.7176,0.88,0.43738112,0.5544000000000001,0.403632526853079,0.1427272704,0.7292325268530789,1.392632526853079,monitor_and_strengthen_supply_chain_resilience,supplier_diversification
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.3827999999999999,0.5016,0.738,0.5336,0.5888,0.6256,0.54,0.64,0.78,0.64,0.6799999999999999,0.5,0.5084000000000001,0.7544,0.88,0.47105984,0.6368000000000001,0.40441672375187854,0.06912449279999999,0.6276167237518785,1.2942167237518785,diversify_logistics_routes_and_chokepoints,supplier_diversification
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.40919999999999995,0.4864,0.648,0.3312,0.4968000000000001,0.46,0.6,0.7,0.8,0.7000000000000001,0.6599999999999999,0.5800000000000001,0.4756,0.4968000000000001,0.7,0.36854064,0.6812,0.3041874851012674,0.059710464,0.40298748510126736,0.9361874851012673,monitor_and_strengthen_supply_chain_resilience,supplier_diversification
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.7912,0.792,0.5888,0.5076,0.376,0.4888,0.56,0.3,0.34,0.38,0.6,0.42,0.666,0.684,0.94,0.59633664,0.42600000000000005,0.6104287427002368,0.43864127999999997,1.1444287427002369,1.8384287427002368,reduce_supplier_concentration,inventory_and_strategic_reserves
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.7544,0.7020000000000001,0.5704,0.4888,0.5264,0.376,0.6200000000000001,0.36,0.4,0.4,0.62,0.46,0.6215999999999999,0.774,0.96,0.5746022399999999,0.47280000000000005,0.5648221384523119,0.33893683199999997,1.0520221384523116,1.7735221384523117,reduce_supplier_concentration,inventory_and_strategic_reserves
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.6808000000000001,0.738,0.644,0.3948,0.41359999999999997,0.5264,0.68,0.4,0.46,0.45999999999999996,0.64,0.5,0.5772,0.738,0.96,0.55178752,0.522,0.5196438487247257,0.30145824000000004,0.9376438487247256,1.6441438487247255,close_service_continuity_gap,inventory_and_strategic_reserves
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.7728,0.738,0.5336,0.6204,0.3384,0.3948,0.64,0.33999999999999997,0.38,0.42000000000000004,0.6599999999999999,0.48,0.6364,0.558,0.84,0.5398056,0.47919999999999996,0.531183113277097,0.376415424,0.951983113277097,1.5714831132770968,reduce_supplier_concentration,inventory_and_strategic_reserves
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.644,0.666,0.6072000000000001,0.45119999999999993,0.47,0.41359999999999997,0.66,0.46,0.44,0.48,0.72,0.52,0.5624,0.756,0.94,0.51844576,0.5404,0.48063770229711666,0.23160816,0.8602377022971166,1.5602377022971168,close_service_continuity_gap,inventory_and_strategic_reserves
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.6992,0.648,0.6256,0.3196,0.45119999999999993,0.564,0.7,0.42,0.48000000000000004,0.48,0.62,0.54,0.518,0.7020000000000001,0.88,0.49872768,0.5392,0.4559792329189786,0.26278732800000004,0.7967792329189786,1.4562792329189784,close_service_continuity_gap,inventory_and_strategic_reserves
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.5336,0.5940000000000001,0.7544,0.5451999999999999,0.6016,0.6392,0.76,0.5800000000000001,0.5800000000000001,0.58,0.6799999999999999,0.48,0.4588,0.738,0.88,0.5223296,0.6216,0.44526811280613376,0.133122528,0.6836681128061336,1.3461681128061336,diversify_logistics_routes_and_chokepoints,inventory_and_strategic_reserves
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.5704,0.5760000000000001,0.6624,0.3384,0.5076,0.47,0.8200000000000001,0.64,0.6000000000000001,0.64,0.6599999999999999,0.56,0.42919999999999997,0.48600000000000004,0.7,0.41505984000000007,0.6660000000000001,0.3405680145258394,0.11827814400000003,0.4545680145258393,0.9850680145258393,monitor_and_strengthen_supply_chain_resilience,inventory_and_strategic_reserves
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.774,0.7744,0.42239999999999994,0.4752,0.36000000000000004,0.41600000000000004,0.38,0.32,0.38,0.44000000000000006,0.62,0.64,0.7200000000000001,0.6688000000000001,0.94,0.5464550399999999,0.43240000000000006,0.5668820539920383,0.40758220799999995,1.0944820539920381,1.784682053992038,reduce_supplier_concentration,logistics_and_chokepoint_resilience
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.738,0.6864,0.40919999999999995,0.4576,0.5040000000000001,0.32000000000000006,0.44000000000000006,0.38,0.44,0.45999999999999996,0.64,0.68,0.672,0.7568,0.96,0.5271091200000001,0.4792,0.5245768709200282,0.314069184,1.0053768709200281,1.7225768709200282,reduce_supplier_concentration,logistics_and_chokepoint_resilience
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.666,0.7215999999999999,0.4619999999999999,0.3696,0.396,0.44800000000000006,0.5,0.42000000000000004,0.5,0.52,0.66,0.72,0.6240000000000001,0.7215999999999999,0.96,0.5013734400000001,0.5284,0.4775432165506253,0.27873964799999995,0.8891432165506252,1.5915432165506251,close_service_continuity_gap,logistics_and_chokepoint_resilience
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.756,0.7215999999999999,0.3827999999999999,0.5808,0.324,0.336,0.45999999999999996,0.36,0.42,0.48,0.6799999999999999,0.7,0.6880000000000001,0.5456,0.84,0.4962887999999999,0.4856,0.49457327651988475,0.34913894399999995,0.9089732765198848,1.5253732765198849,reduce_supplier_concentration,logistics_and_chokepoint_resilience
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.63,0.6512,0.4356,0.4224,0.45,0.35200000000000004,0.48,0.48000000000000004,0.48,0.54,0.74,0.74,0.6080000000000001,0.7392,0.94,0.47198944,0.5468,0.44239485630692355,0.21333312000000001,0.8155948563069237,1.5113948563069237,close_service_continuity_gap,logistics_and_chokepoint_resilience
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.684,0.6335999999999999,0.4488,0.2992,0.432,0.48,0.52,0.44,0.52,0.54,0.64,0.76,0.5599999999999999,0.6864,0.88,0.45261568,0.5456000000000001,0.41798312137359356,0.24269414400000003,0.7523831213735934,1.4079831213735934,close_service_continuity_gap,logistics_and_chokepoint_resilience
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.522,0.5808,0.5411999999999999,0.5104,0.5760000000000001,0.544,0.58,0.6000000000000001,0.62,0.64,0.7,0.7,0.496,0.7215999999999999,0.88,0.46880320000000003,0.628,0.40304518775091197,0.12127103999999997,0.6350451877509119,1.2934451877509119,monitor_and_strengthen_supply_chain_resilience,logistics_and_chokepoint_resilience
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.558,0.5632,0.4751999999999999,0.31679999999999997,0.48600000000000004,0.4,0.64,0.66,0.64,0.7000000000000001,0.6799999999999999,0.78,0.46399999999999997,0.4752,0.7,0.37413792000000007,0.6724000000000001,0.30936011153808385,0.10685030400000001,0.41696011153808366,0.9447601115380837,monitor_and_strengthen_supply_chain_resilience,logistics_and_chokepoint_resilience
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.7912,0.792,0.5632,0.3564,0.27999999999999997,0.47840000000000005,0.33999999999999997,0.32,0.36,0.46,0.6599999999999999,0.48,0.7380000000000001,0.6384,0.94,0.5547878399999999,0.41159999999999997,0.585469302983639,0.42610867199999997,1.1338693029836389,1.8164693029836387,reduce_supplier_concentration,digital_and_workforce_resilience
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.7544,0.7020000000000001,0.5456,0.34319999999999995,0.392,0.36800000000000005,0.4,0.38,0.42000000000000004,0.48,0.6799999999999999,0.52,0.6888000000000001,0.7223999999999999,0.96,0.52912128,0.45840000000000003,0.535685418065068,0.32834505599999997,1.0372854180650677,1.7458854180650676,reduce_supplier_concentration,digital_and_workforce_resilience
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.6808000000000001,0.738,0.616,0.27719999999999995,0.308,0.5152000000000001,0.46,0.42000000000000004,0.48,0.54,0.7,0.56,0.6396000000000001,0.6888,0.96,0.51441312,0.5076,0.49845655342275674,0.29140963200000003,0.9308565534227566,1.6250565534227566,close_service_continuity_gap,digital_and_workforce_resilience
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.7728,0.738,0.5104,0.4356,0.252,0.3864,0.42,0.36,0.4,0.5,0.72,0.54,0.7052,0.5207999999999999,0.84,0.49779360000000006,0.4648,0.504722960187218,0.365008896,0.939922960187218,1.5501229601872177,reduce_supplier_concentration,digital_and_workforce_resilience
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.644,0.666,0.5808,0.31679999999999997,0.35,0.4048,0.44,0.48000000000000004,0.45999999999999996,0.56,0.78,0.5800000000000001,0.6232000000000001,0.7055999999999999,0.94,0.47802463999999995,0.5260000000000001,0.4558325487704473,0.22303008000000002,0.8498325487704471,1.5372325487704472,close_service_continuity_gap,digital_and_workforce_resilience
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.6992,0.648,0.5984,0.2244,0.33599999999999997,0.552,0.48,0.44,0.5,0.56,0.6799999999999999,0.6,0.574,0.6552,0.88,0.4657664000000001,0.5247999999999999,0.4374560301776897,0.25372569600000006,0.7926560301776897,1.4404560301776896,close_service_continuity_gap,digital_and_workforce_resilience
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.5336,0.5940000000000001,0.7215999999999999,0.3827999999999999,0.44799999999999995,0.6256,0.54,0.6000000000000001,0.6,0.6599999999999999,0.74,0.54,0.5084000000000001,0.6888,0.88,0.47524288,0.6072,0.41562552061453517,0.12678335999999998,0.6684255206145353,1.3186255206145352,diversify_logistics_routes_and_chokepoints,digital_and_workforce_resilience
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.5704,0.5760000000000001,0.6335999999999999,0.23759999999999995,0.378,0.46,0.6,0.66,0.62,0.72,0.72,0.62,0.4756,0.4536,0.7,0.38350416000000004,0.6516,0.32261820628056115,0.11170713600000001,0.4510182062805612,0.9734182062805612,monitor_and_strengthen_supply_chain_resilience,digital_and_workforce_resilience
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.5675999999999999,0.5808,0.42239999999999994,0.3564,0.27999999999999997,0.364,0.56,0.52,0.54,0.6200000000000001,0.76,0.64,0.594,0.5624,0.94,0.43170047999999994,0.5896000000000001,0.3925193306207846,0.15823779839999996,0.7629193306207844,1.4265193306207844,close_service_continuity_gap,integrated_supply_chain_resilience
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.5411999999999999,0.5147999999999999,0.40919999999999995,0.34319999999999995,0.392,0.27999999999999997,0.6200000000000001,0.5800000000000001,0.6000000000000001,0.64,0.78,0.68,0.5543999999999999,0.6364,0.96,0.41613311999999997,0.6364000000000001,0.36281497006925406,0.11701609919999995,0.6864149700692539,1.373514970069254,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.48839999999999995,0.5411999999999999,0.4619999999999999,0.27719999999999995,0.308,0.392,0.68,0.6200000000000001,0.66,0.7,0.8,0.72,0.5147999999999999,0.6068,0.96,0.3999888,0.6856,0.33353848530091,0.10044239039999993,0.58793848530091,1.26163848530091,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.5543999999999999,0.5411999999999999,0.3827999999999999,0.4356,0.252,0.294,0.64,0.56,0.5800000000000001,0.66,0.8200000000000001,0.7,0.5675999999999999,0.4588,0.84,0.3901391999999999,0.6428,0.3402428969562162,0.13201816319999995,0.5974428969562162,1.1921428969562162,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.4619999999999999,0.48839999999999995,0.4356,0.31679999999999997,0.35,0.308,0.66,0.68,0.64,0.72,0.8800000000000001,0.74,0.5015999999999999,0.6215999999999999,0.94,0.37555872,0.704,0.30806227330400254,0.07220505599999996,0.5240622733040026,1.1904622733040027,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.5015999999999999,0.4751999999999999,0.4488,0.2244,0.33599999999999997,0.42,0.7,0.64,0.68,0.72,0.78,0.76,0.4619999999999999,0.5772,0.88,0.3617856,0.7028000000000001,0.2930807606234112,0.08580971519999997,0.4702807606234112,1.0985807606234113,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.3827999999999999,0.4356,0.5411999999999999,0.3827999999999999,0.44799999999999995,0.476,0.76,0.8,0.78,0.8200000000000001,0.8400000000000001,0.7,0.40919999999999995,0.6068,0.88,0.37867519999999993,0.7852,0.28495509831090177,0.033349535999999985,0.3597550983109018,0.9894550983109018,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.40919999999999995,0.42239999999999994,0.4751999999999999,0.23759999999999995,0.378,0.35,0.8200000000000001,0.8600000000000001,0.8,0.8800000000000001,0.8200000000000001,0.78,0.3827999999999999,0.3996,0.7,0.30106127999999993,0.8296000000000001,0.21755809293176517,0.024198451199999978,0.1679580929317651,0.6768580929317651,monitor_and_strengthen_supply_chain_resilience,integrated_supply_chain_resilience
