system_id,system_name,scale_level,domain,region,adaptive_phase,metric,value
ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,justice_weighted_reorganization_gap,0
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,conservation_rigidity_index,0.364
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,release_risk_index,0.4029600000000001
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,reorganization_potential_index,0.7132000000000001
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,remember_capacity,0.664
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,revolt_cascade_pressure,0.47705787328
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,resilience_trap_index,0.35968
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,transformation_readiness,0.707296
ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,justice_weighted_reorganization_gap,0
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,conservation_rigidity_index,0.33360000000000006
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,release_risk_index,0.37606400000000006
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,reorganization_potential_index,0.7640000000000001
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,remember_capacity,0.7264
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,revolt_cascade_pressure,0.4147809730559999
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,resilience_trap_index,0.31995200000000007
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,transformation_readiness,0.7519200000000001
ACP007,Community agroecology network,local,food_ecology,South America,r_growth,justice_weighted_reorganization_gap,0
