scenario,system_id,system_name,scale_level,domain,region,adaptive_phase,growth_potential,connectedness,rigidity,resilience_capacity,release_pressure,reorganization_capacity,novelty_potential,memory_capacity,revolt_pressure,cross_scale_dependency,inequality_pressure,institutional_learning,ecological_buffer_condition,governance_flexibility,system_criticality,rigidity_reduction,connectedness_rebalancing,resilience_gain,release_pressure_reduction,reorganization_gain,novelty_gain,memory_gain,revolt_reduction,dependency_reduction,inequality_reduction,learning_gain,ecological_buffer_gain,governance_flexibility_gain,conservation_rigidity_index,release_risk_index,reorganization_potential_index,remember_capacity,revolt_cascade_pressure,resilience_trap_index,transformation_readiness,justice_weighted_reorganization_gap,diagnostic_priority
baseline,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.86,0.8,0.34,0.78,0.32,0.34,0.42,0.74,0.84,0.54,0.38,0.4,0.34,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0.7695200000000001,0.3552,0.39,1.5378700128,0.71496,0.36105600000000004,0.697971979467136,anti_rigidity_transition
baseline,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.82,0.78,0.4,0.74,0.38,0.42,0.46,0.7,0.72,0.76,0.44,0.36,0.4,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7575999999999999,0.7390239999999999,0.41600000000000004,0.4212,1.2923714568799998,0.691232,0.40528000000000003,0.6711544669126461,anti_rigidity_transition
baseline,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.52,0.46,0.44,0.86,0.68,0.7,0.58,0.82,0.66,0.78,0.6,0.52,0.62,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5052000000000001,0.7512479999999999,0.644,0.5796,1.38888571904,0.49726400000000004,0.56392,0.5058441350567937,release_pressure_management
baseline,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.48,0.34,0.66,0.46,0.76,0.78,0.7,0.38,0.54,0.34,0.72,0.76,0.74,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41240000000000004,0.45297600000000005,0.744,0.726,0.54038784184,0.35156800000000005,0.72152,0,monitor_and_preserve_adaptive_capacity
baseline,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.44,0.28,0.7,0.34,0.72,0.76,0.58,0.34,0.46,0.38,0.76,0.62,0.74,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.4029600000000001,0.7132000000000001,0.664,0.47705787328,0.35968,0.707296,0,monitor_and_preserve_adaptive_capacity
baseline,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.4,0.26,0.72,0.32,0.78,0.82,0.66,0.32,0.42,0.4,0.78,0.74,0.76,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33360000000000006,0.37606400000000006,0.7640000000000001,0.7264,0.4147809730559999,0.31995200000000007,0.7519200000000001,0,monitor_and_preserve_adaptive_capacity
justice_centered_reorganization,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.6864,0.6724,0.58,0.6880000000000001,0.6000000000000001,0.62,0.7,0.6232000000000001,0.672,0.5903999999999999,0.64,0.56,0.62,0.86,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.636152,0.67821248,0.632,0.6387999999999999,1.0525378644647683,0.54843264,0.60776,0.2508584243146077,cross_scale_revolt_containment
justice_centered_reorganization,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.7744,0.6888000000000001,0.54,0.7051999999999999,0.56,0.6,0.8400000000000001,0.6396000000000001,0.756,0.5184,0.6599999999999999,0.7,0.6000000000000001,0.94,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.689568,0.70383232,0.6416000000000001,0.718,1.1175469579684802,0.57520576,0.6240479999999999,0.2379858877516441,cross_scale_revolt_containment
justice_centered_reorganization,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.7568,0.6560000000000001,0.56,0.6708000000000001,0.5800000000000001,0.5800000000000001,0.62,0.6068,0.7055999999999999,0.38880000000000003,0.62,0.62,0.6000000000000001,0.88,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.6633600000000002,0.6585824,0.5968,0.616,1.061862022281216,0.5388832,0.596304,0.1665228070077054,cross_scale_revolt_containment
justice_centered_reorganization,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.7215999999999999,0.6396000000000001,0.62,0.6364,0.64,0.6599999999999999,0.66,0.574,0.6048,0.5472,0.6799999999999999,0.58,0.66,0.74,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.6192719999999999,0.62664128,0.6576000000000001,0.6472,0.8970313612368639,0.50731904,0.640528,0.121768103470696,cross_scale_revolt_containment
justice_centered_reorganization,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.4576,0.37720000000000004,0.66,0.7395999999999999,0.9400000000000001,0.94,0.78,0.6724,0.5544,0.5616,0.84,0.74,0.88,0.8,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.400424,0.63675776,0.8856,0.8056,0.9606144169246721,0.32319168000000004,0.7991680000000001,0,cross_scale_revolt_containment
justice_centered_reorganization,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.4224,0.27880000000000005,0.88,0.3956,1,1,0.8999999999999999,0.31160000000000004,0.4536,0.24480000000000002,0.96,0.98,1,0.68,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.32005600000000006,0.38708544000000006,0.9755999999999999,0.952,0.3739026981731841,0.20958592000000004,0.953968,0,monitor_and_preserve_adaptive_capacity
justice_centered_reorganization,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.3872,0.22960000000000003,0.9199999999999999,0.2924,0.98,1,0.78,0.27880000000000005,0.3864,0.2736,1,0.84,1,0.72,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.279264,0.34478336000000004,0.9548000000000001,0.8900000000000001,0.33318818489664004,0.20994047999999998,0.942544,0,monitor_and_preserve_adaptive_capacity
justice_centered_reorganization,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.35200000000000004,0.21320000000000003,0.94,0.2752,1,1,0.8600000000000001,0.2624,0.35279999999999995,0.288,1,0.96,1,0.64,0.18,0.12,0.22,0.14,0.26,0.24,0.2,0.18,0.16,0.28,0.24,0.22,0.26,0.255672,0.32056128,0.9748000000000001,0.9436,0.2909947012227072,0.19189504000000002,0.972144,0,monitor_and_preserve_adaptive_capacity
memory_and_learning,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.7488,0.7544,0.48,0.752,0.48000000000000004,0.48,0.74,0.7143999999999999,0.752,0.7544,0.68,0.46,0.5,0.86,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.716448,0.75205952,0.5619999999999999,0.616,1.2772926975667198,0.65436736,0.53856,0.5253902862113969,release_pressure_management
memory_and_learning,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.8448,0.7728,0.44,0.7707999999999999,0.44,0.45999999999999996,0.88,0.7332,0.846,0.6624,0.7,0.6,0.48000000000000004,0.94,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.775064,0.7779033599999999,0.5716,0.6951999999999999,1.361104246985184,0.67960448,0.554848,0.505790442288157,anti_rigidity_transition
memory_and_learning,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.8256,0.7360000000000001,0.46,0.7332,0.46,0.44000000000000006,0.6599999999999999,0.6956,0.7896,0.4968000000000001,0.66,0.52,0.48000000000000004,0.88,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.7458720000000001,0.72638528,0.5268,0.5932000000000001,1.2901992753679106,0.63656704,0.527104,0.4005158196390096,anti_rigidity_transition
memory_and_learning,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.7871999999999999,0.7176,0.52,0.6956,0.52,0.52,0.7,0.6579999999999999,0.6768,0.6992,0.72,0.48,0.54,0.74,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.697856,0.69594944,0.5876,0.6244,1.0855245305820158,0.61078592,0.5713280000000001,0.3712602556488258,cross_scale_revolt_containment
memory_and_learning,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.4992,0.4232,0.56,0.8083999999999999,0.8200000000000001,0.7999999999999999,0.82,0.7707999999999999,0.6204,0.7176,0.88,0.64,0.76,0.8,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.458888,0.70749312,0.8156000000000001,0.7828,1.160706709000192,0.42086016,0.7299680000000002,0.19885929661498358,cross_scale_revolt_containment
memory_and_learning,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.4608,0.3128,0.78,0.4324,0.9,0.88,0.94,0.35719999999999996,0.5076,0.3128,1,0.88,0.88,0.68,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.371192,0.42687808000000005,0.9156000000000001,0.9292,0.4498631558988608,0.28242944000000003,0.8875680000000001,0,monitor_and_preserve_adaptive_capacity
memory_and_learning,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.4224,0.25760000000000005,0.82,0.3196,0.86,0.86,0.82,0.3196,0.4324,0.3496,1,0.74,0.88,0.72,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.325832,0.38015168,0.8784000000000001,0.8576,0.4011198675535872,0.29100224,0.864352,0,monitor_and_preserve_adaptive_capacity
memory_and_learning,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.384,0.23920000000000002,0.84,0.3008,0.92,0.9199999999999999,0.9,0.3008,0.3948,0.36800000000000005,1,0.86,0.9,0.64,0.08,0.04,0.12,0.06,0.14,0.1,0.24,0.06,0.06,0.08,0.28,0.12,0.14,0.296952,0.35408448,0.9260000000000002,0.9152000000000001,0.34904038511738883,0.25150464000000006,0.9044800000000001,0,monitor_and_preserve_adaptive_capacity
panarchy_resilience_portfolio,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.6084,0.5903999999999999,0.6599999999999999,0.6080000000000001,0.64,0.66,0.78,0.5776,0.6080000000000001,0.6068,0.7,0.64,0.6599999999999999,0.86,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.564632,0.62727968,0.6824,0.7060000000000001,0.9097620626803201,0.51137024,0.6702720000000001,0.12302942563918384,cross_scale_revolt_containment
panarchy_resilience_portfolio,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.6864,0.6048,0.62,0.6232,0.6,0.64,0.92,0.5928,0.684,0.5327999999999999,0.72,0.78,0.64,0.94,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.6125280000000001,0.65047872,0.6920000000000001,0.7852,0.962101919473344,0.53605696,0.6865600000000001,0.10536972921385435,cross_scale_revolt_containment
panarchy_resilience_portfolio,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.6708000000000001,0.576,0.64,0.5928,0.62,0.6200000000000001,0.7,0.5624,0.6384,0.3996,0.6799999999999999,0.7,0.64,0.88,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.589224,0.60735776,0.6472000000000001,0.6832,0.9170418678104063,0.5000876799999999,0.658816,0.03856089048337863,cross_scale_revolt_containment
panarchy_resilience_portfolio,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.6396,0.5616,0.7,0.5624,0.6799999999999999,0.7,0.74,0.5319999999999999,0.5472,0.5624,0.74,0.6599999999999999,0.7,0.74,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.5489040000000001,0.57855296,0.7080000000000001,0.7144,0.7771805433602558,0.47043328,0.70304,0.0019076063972954804,monitor_and_preserve_adaptive_capacity
panarchy_resilience_portfolio,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.4056,0.3312,0.74,0.6536,0.98,0.98,0.86,0.6232,0.5016,0.5772,0.8999999999999999,0.8200000000000001,0.9199999999999999,0.8,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.352,0.5886,0.936,0.8728,0.8319101642014721,0.293392,0.86168,0,cross_scale_revolt_containment
panarchy_resilience_portfolio,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.3744,0.24480000000000002,0.96,0.3496,1,1,0.98,0.2888,0.41040000000000004,0.2516,1,1,1,0.68,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.28440000000000004,0.35946400000000006,0.9964000000000001,0.9931999999999999,0.32897339085626887,0.19926400000000002,0.989392,0,monitor_and_preserve_adaptive_capacity
panarchy_resilience_portfolio,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.3432,0.2016,1,0.2584,1,1,0.86,0.2584,0.3496,0.2812,1,0.9199999999999999,1,0.72,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.24816,0.3228464,0.9748000000000001,0.9348000000000001,0.29376550662824963,0.1964032,0.980144,0,monitor_and_preserve_adaptive_capacity
panarchy_resilience_portfolio,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.31200000000000006,0.1872,1,0.2432,1,1,0.9400000000000001,0.2432,0.3192,0.296,1,1,1,0.64,0.28,0.22,0.3,0.24,0.3,0.28,0.28,0.24,0.24,0.26,0.3,0.3,0.3,0.22718400000000005,0.30018816000000004,0.9892000000000001,0.9796,0.2580557464387584,0.18405888000000004,0.9969760000000001,0,monitor_and_preserve_adaptive_capacity
reorganization_capacity,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.7176,0.7215999999999999,0.54,0.7200000000000001,0.6200000000000001,0.62,0.66,0.6992,0.7360000000000001,0.738,0.6000000000000001,0.52,0.58,0.86,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.680608,0.72820192,0.6176,0.5988,1.2482062639639044,0.58147456,0.574928,0.44259914410607337,cross_scale_revolt_containment
reorganization_capacity,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.8096,0.7392,0.5,0.738,0.5800000000000001,0.6,0.8,0.7176,0.8280000000000001,0.648,0.62,0.6599999999999999,0.56,0.94,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.737232,0.75342368,0.6272,0.678,1.32965003325024,0.60639424,0.591216,0.42379863946742247,anti_rigidity_transition
reorganization_capacity,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.7912,0.7040000000000001,0.52,0.7020000000000001,0.6000000000000001,0.5800000000000001,0.58,0.6808000000000001,0.7728,0.48600000000000004,0.5800000000000001,0.5800000000000001,0.56,0.88,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.709072,0.70320128,0.5824,0.5760000000000001,1.2603975850721283,0.56426304,0.563472,0.32345242236438776,cross_scale_revolt_containment
reorganization_capacity,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.7544,0.6864,0.5800000000000001,0.666,0.66,0.6599999999999999,0.62,0.644,0.6624,0.684,0.64,0.54,0.62,0.74,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.662304,0.6733129600000001,0.6432,0.6072,1.0614185180945919,0.53817728,0.607696,0.2921400216157367,cross_scale_revolt_containment
reorganization_capacity,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.47840000000000005,0.4048,0.62,0.774,0.9600000000000001,0.94,0.74,0.7544,0.6072000000000001,0.7020000000000001,0.8,0.7,0.84,0.8,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.43198400000000003,0.68482816,0.8712,0.7656000000000001,1.1360995438428163,0.35095488,0.766336,0.1199938536806694,cross_scale_revolt_containment
reorganization_capacity,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.4416,0.2992,0.8400000000000001,0.41400000000000003,1,1,0.86,0.3496,0.4968000000000001,0.30600000000000005,0.9199999999999999,0.94,0.96,0.68,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.346896,0.41274304,0.9556,0.9119999999999999,0.4410373705349121,0.22796672,0.9195679999999999,0,monitor_and_preserve_adaptive_capacity
reorganization_capacity,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.4048,0.24640000000000004,0.8799999999999999,0.30600000000000005,1,1,0.74,0.3128,0.4232,0.342,0.96,0.8,0.96,0.72,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.303184,0.36810816,0.9403999999999999,0.8500000000000001,0.39154649162880006,0.22373888000000003,0.9097119999999999,0,monitor_and_preserve_adaptive_capacity
reorganization_capacity,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.36800000000000005,0.2288,0.8999999999999999,0.28800000000000003,1,1,0.8200000000000001,0.2944,0.3864,0.36000000000000004,0.98,0.9199999999999999,0.98,0.64,0.12,0.08,0.18,0.1,0.28,0.24,0.16,0.08,0.08,0.1,0.2,0.18,0.22,0.27526400000000006,0.34257536,0.9612,0.9124000000000001,0.3400462599634944,0.20968448000000003,0.945936,0,monitor_and_preserve_adaptive_capacity
