system_id,system_name,domain,region,hazard_type,metric,value
SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,transformation_readiness,0.5535
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,hazard_exposure_load,0.5624
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,composite_vulnerability,0.61239999999999994
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,composite_capacity,0.5207999999999999
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,systemic_risk_score,0.7146529599263234
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,resilience_capacity_score,0.5202
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,justice_adjusted_vulnerability,0.7109964
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,resilience_gap,0.1944529599263234
SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,transformation_readiness,0.5449999999999999
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,hazard_exposure_load,0.6278
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,composite_vulnerability,0.4784
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,composite_capacity,0.5652
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,systemic_risk_score,0.6627988359573505
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,resilience_capacity_score,0.5656000000000001
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,justice_adjusted_vulnerability,0.5520735999999999
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,resilience_gap,0.09719883595735035
SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,transformation_readiness,0.5865
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,hazard_exposure_load,0.4148
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,composite_vulnerability,0.5062
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,composite_capacity,0.5312
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,systemic_risk_score,0.42815098899043835
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,resilience_capacity_score,0.5252
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,justice_adjusted_vulnerability,0.5823831
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,resilience_gap,0
SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,transformation_readiness,0.501
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,hazard_exposure_load,0.2964
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,composite_vulnerability,0.3208
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,composite_capacity,0.7534
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,systemic_risk_score,0.1287460515174912
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,resilience_capacity_score,0.7506000000000002
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,justice_adjusted_vulnerability,0.3522384
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,resilience_gap,0
SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,transformation_readiness,0.739
