scenario,system_id,system_name,domain,region,hazard_type,hazard_intensity,exposure_index,social_vulnerability,infrastructure_vulnerability,ecological_vulnerability,adaptive_capacity,governance_capacity,ecological_buffer_capacity,redundancy_index,early_warning_capacity,transformation_capacity,supply_chain_dependency,critical_infrastructure_dependency,social_inequality_index,hazard_reduction,vulnerability_reduction,adaptive_capacity_gain,governance_capacity_gain,ecological_buffer_gain,redundancy_gain,early_warning_gain,transformation_gain,hazard_exposure_load,composite_vulnerability,composite_capacity,base_risk,cascade_multiplier,systemic_risk_score,resilience_capacity_score,justice_adjusted_vulnerability,resilience_gap,transformation_readiness,risk_band,resilience_band,priority_class
ecological_buffer_restoration,SYS002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought,0.8372,0.83,0.6624,0.46,0.6992,0.49,0.5,0.62,0.4,0.42,0.54,0.7,0.48,0.74,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.694876,0.6072,0.5052,0.55259496912256,1.622272,0.8964593457483936,0.5032,0.7644647999999999,0.3932593457483936,0.49200000000000005,elevated,moderate,urgent_risk_reduction
ecological_buffer_restoration,SYS005,Island food-energy-water system,island_system,Pacific,cyclone_sea_level,0.8096,0.79,0.6256,0.5704,0.644,0.53,0.5800000000000001,0.8099999999999999,0.42,0.56,0.6599999999999999,0.73,0.69,0.66,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.639584,0.61272,0.6006,0.411969081446912,1.668896,0.6875335521504257,0.6010000000000001,0.7542583199999999,0.08653355215042557,0.566,elevated,moderate,urgent_risk_reduction
ecological_buffer_restoration,SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,0.7544,0.88,0.4968000000000001,0.6072000000000001,0.4416,0.69,0.6399999999999999,0.76,0.52,0.76,0.63,0.61,0.78,0.57,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.663872,0.5177760000000001,0.6728000000000001,0.32968966109347836,1.614664,0.5323380269398402,0.6674,0.6210723120000001,0,0.6224999999999999,moderate,elevated,monitor_and_maintain
ecological_buffer_restoration,SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.6992,0.74,0.45080000000000003,0.6532,0.6348,0.6399999999999999,0.69,0.5800000000000001,0.5700000000000001,0.6599999999999999,0.57,0.67,0.72,0.46,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.517408,0.563408,0.6243999999999998,0.30383027930787854,1.6278160000000002,0.49457978994183366,0.6182000000000001,0.654116688,0,0.614,moderate,moderate,monitor_and_maintain
ecological_buffer_restoration,SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,0.6716,0.86,0.3772,0.5888,0.3588,0.72,0.6499999999999999,0.6499999999999999,0.6599999999999999,0.6799999999999999,0.62,0.88,0.76,0.44,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.577576,0.44012799999999996,0.6688,0.27548665205391365,1.6302400000000001,0.4491093596443722,0.6636,0.507907712,0,0.6555,moderate,elevated,transformation_leverage
ecological_buffer_restoration,SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,0.6256,0.61,0.41400000000000003,0.47840000000000005,0.5336,0.6200000000000001,0.56,0.88,0.48,0.54,0.6,0.44,0.4,0.43,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.381616,0.465704,0.6348000000000001,0.20426954286689275,1.4485519999999998,0.2958950548589232,0.6232,0.535792452,0,0.57,moderate,moderate,monitor_and_maintain
ecological_buffer_restoration,SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,0.5244,0.52,0.2852,0.3312,0.2668,0.8500000000000001,0.8,1,0.72,0.78,0.84,0.34,0.39,0.28,0.08,0.08,0.07,0.06,0.24,0.06,0.06,0.08,0.272688,0.295136,0.846,0.05438787901747201,1.325856,0.07211049572258936,0.8396,0.32405932800000004,0,0.808,lower,elevated,transformation_leverage
justice_centered_adaptation,SYS007,Urban informal settlement,urban_social_system,Latin America,heat_flood,0.8063999999999999,0.91,0.6806,0.6314000000000001,0.5002,0.5,0.53,0.43000000000000005,0.38,0.54,0.56,0.55,0.58,0.86,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.7338239999999999,0.6179520000000001,0.4832000000000001,0.6135925099659263,1.628828,0.9994366608227797,0.49160000000000004,0.803955552,0.5078366608227797,0.5045,elevated,moderate,urgent_risk_reduction
justice_centered_adaptation,SYS002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought,0.8736,0.83,0.5904,0.41000000000000003,0.6232000000000001,0.56,0.5800000000000001,0.48,0.44000000000000006,0.48,0.62,0.7,0.48,0.74,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.725088,0.5412,0.5268,0.5288036620339198,1.6031119999999999,0.8477314962505212,0.5336000000000001,0.6813707999999999,0.31413149625052117,0.562,elevated,moderate,urgent_risk_reduction
justice_centered_adaptation,SYS005,Island food-energy-water system,island_system,Pacific,cyclone_sea_level,0.8448,0.79,0.5576000000000001,0.5084000000000001,0.574,0.6000000000000001,0.66,0.6699999999999999,0.45999999999999996,0.62,0.74,0.73,0.69,0.66,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.667392,0.54612,0.6222,0.38983977537331205,1.649016,0.6428520270269975,0.6314,0.67227372,0.011452027026997547,0.636,elevated,moderate,urgent_risk_reduction
justice_centered_adaptation,SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,0.7871999999999999,0.88,0.4428000000000001,0.5412,0.3936,0.76,0.72,0.62,0.56,0.82,0.7100000000000001,0.61,0.78,0.57,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.6927359999999999,0.461496,0.6943999999999999,0.3093988809179136,1.597744,0.494340205593311,0.6978000000000001,0.553564452,0,0.6925,moderate,elevated,transformation_leverage
justice_centered_adaptation,SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.7296,0.74,0.40180000000000005,0.5822,0.5658,0.71,0.77,0.44000000000000006,0.61,0.72,0.65,0.67,0.72,0.46,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.539904,0.5021680000000001,0.646,0.287103385202688,1.606836,0.4613280550655464,0.6486,0.5830170480000001,0,0.6839999999999999,moderate,moderate,transformation_leverage
justice_centered_adaptation,SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,0.7008,0.86,0.3362,0.5248,0.31980000000000003,0.79,0.73,0.51,0.7,0.74,0.7000000000000001,0.88,0.76,0.44,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.602688,0.392288,0.6904,0.2597900876365824,1.6150400000000003,0.4195713831365861,0.694,0.452700352,0,0.7255,moderate,elevated,transformation_leverage
justice_centered_adaptation,SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,0.6528,0.61,0.36900000000000005,0.42640000000000006,0.4756,0.6900000000000001,0.64,0.74,0.52,0.6,0.68,0.44,0.4,0.43,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.398208,0.415084,0.6564000000000001,0.19361783359057916,1.431992,0.2772591887590406,0.6536,0.477554142,0,0.64,moderate,elevated,monitor_and_maintain
justice_centered_adaptation,SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,0.5471999999999999,0.52,0.25420000000000004,0.2952,0.2378,0.92,0.88,0.91,0.76,0.84,0.92,0.34,0.39,0.28,0.04,0.18,0.14,0.14,0.1,0.1,0.12,0.16,0.28454399999999996,0.263056,0.8786,0.043630553784729575,1.316176,0.05742548775817023,0.879,0.28883548800000003,0,0.8780000000000001,lower,elevated,transformation_leverage
preparedness_upgrade,SYS007,Urban informal settlement,urban_social_system,Latin America,heat_flood,0.8231999999999999,0.91,0.7885,0.7314999999999999,0.5795,0.45999999999999996,0.47000000000000003,0.37,0.36000000000000004,0.6,0.45,0.55,0.58,0.86,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.749112,0.7159199999999999,0.4416,0.717776441281536,1.6555300000000002,1.1883004318348214,0.44660000000000005,0.9314119199999998,0.7417004318348213,0.439,elevated,moderate,urgent_risk_reduction
preparedness_upgrade,SYS002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought,0.8918,0.83,0.6839999999999999,0.475,0.722,0.52,0.52,0.42,0.42000000000000004,0.54,0.51,0.7,0.48,0.74,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.740194,0.627,0.4852,0.6199713944423999,1.62802,1.009325829580116,0.48860000000000003,0.7893929999999999,0.5207258295801159,0.4965,elevated,moderate,urgent_risk_reduction
preparedness_upgrade,SYS005,Island food-energy-water system,island_system,Pacific,cyclone_sea_level,0.86239999999999994,0.79,0.646,0.589,0.6649999999999999,0.56,0.6,0.61,0.44,0.6799999999999999,0.63,0.73,0.69,0.66,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.681296,0.6327,0.5806,0.46652042007648004,1.67486,0.7813563907692933,0.5864,0.7788537,0.19495639076929328,0.5704999999999999,elevated,moderate,urgent_risk_reduction
preparedness_upgrade,SYS001,Coastal metropolitan district,urban_infrastructure,North America,storm_surge,0.8036,0.88,0.513,0.627,0.45599999999999996,0.72,0.6599999999999999,0.56,0.54,0.8799999999999999,0.6000000000000001,0.61,0.78,0.57,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.707168,0.53466,0.6528,0.376803120167936,1.61974,0.6103230858608126,0.6527999999999999,0.64132467,0,0.627,elevated,elevated,monitor_and_maintain
preparedness_upgrade,SYS004,Industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.7448,0.74,0.46549999999999997,0.6745,0.6555,0.6699999999999999,0.71,0.38,0.59,0.78,0.54,0.67,0.72,0.46,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.551152,0.58178,0.6043999999999999,0.34488455889753605,1.6341100000000002,0.5635793065400527,0.6035999999999999,0.67544658,0,0.6184999999999999,elevated,moderate,urgent_risk_reduction
preparedness_upgrade,SYS006,Inland logistics hub,supply_chain_system,Asia,heat_flood,0.7153999999999999,0.86,0.38949999999999996,0.608,0.3705,0.75,0.6699999999999999,0.44999999999999996,0.6799999999999999,0.8,0.5900000000000001,0.88,0.76,0.44,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.6152439999999999,0.45448,0.6487999999999999,0.314274864703744,1.6348000000000003,0.5137765488176808,0.649,0.5244699199999999,0,0.66,moderate,moderate,transformation_leverage
preparedness_upgrade,SYS003,Mountain watershed region,watershed_ecology,South America,flood_landslide,0.6664,0.61,0.4275,0.494,0.5509999999999999,0.65,0.58,0.68,0.5,0.6599999999999999,0.5700000000000001,0.44,0.4,0.43,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.406504,0.48089,0.6147999999999999,0.23188566533731203,1.4535200000000001,0.3370504522810898,0.6086,0.553263945,0,0.5745,moderate,moderate,monitor_and_maintain
preparedness_upgrade,SYS008,Regenerative peri-urban region,regional_transition,Europe,heat_drought,0.5586,0.52,0.2945,0.34199999999999997,0.27549999999999997,0.88,0.82,0.8500000000000001,0.74,0.8999999999999999,0.81,0.34,0.39,0.28,0.02,0.05,0.1,0.08,0.04,0.08,0.18,0.05,0.290472,0.30476000000000003,0.837,0.06177638821536001,1.3287599999999997,0.08208599360504175,0.8340000000000001,0.33462648000000006,0,0.8125,lower,elevated,transformation_leverage
