scenario,community_id,community_name,region,risk_context,hazard_pressure,exposure,social_vulnerability,trust_level,local_organizational_capacity,mutual_aid_strength,communication_access,local_knowledge_integration,institutional_support,participation_quality,recovery_capacity,exclusion_pressure,institutional_follow_through,broken_promise_pressure,hazard_reduction,exposure_reduction,vulnerability_reduction,trust_gain,organizational_gain,mutual_aid_gain,communication_gain,knowledge_integration_gain,institutional_support_gain,participation_gain,recovery_gain,exclusion_reduction,follow_through_gain,broken_promise_reduction,community_hazard_pressure,local_resilience_capacity,trust_adjusted_response_capacity,participation_legitimacy,community_resilience_gap,updated_trust_projection,diagnostic_priority
communication_and_local_knowledge,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.7707999999999999,0.7020000000000001,0.616,0.64,0.76,0.8200000000000001,0.8800000000000001,0.8400000000000001,0.6,0.5800000000000001,0.6,0.5248,0.54,0.4756,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.6744290342399999,0.7296,1.0063728,0.54448544,0,0.5305799999999999,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.7332,0.666,0.7040000000000001,0.48,0.62,0.7000000000000001,0.76,0.72,0.46,0.44,0.45999999999999996,0.6724,0.4,0.6396000000000001,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.6258196339200001,0.5946,0.8136287999999999,0.375142196,0,0.24165999999999996,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.7143999999999999,0.666,0.7392,0.6,0.7,0.76,0.8,0.78,0.54,0.54,0.54,0.6232000000000001,0.48,0.5576000000000001,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.6164721054719999,0.6718,0.9164540000000001,0.479214252,0,0.42419999999999997,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.752,0.648,0.6512,0.76,0.8200000000000001,0.9400000000000001,0.8400000000000001,1,0.62,0.66,0.56,0.42640000000000006,0.64,0.3936,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.61422686208,0.7973999999999999,1.1345892,0.6485343480000001,0,0.7289599999999999,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.6956,0.63,0.6864,0.8,0.8600000000000001,0.88,0.98,1,0.7,0.76,0.66,0.4428000000000001,0.74,0.34440000000000004,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.5585478796800001,0.8452,1.1852800000000001,0.75460286,0,0.8129,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.5828,0.522,0.3696,0.96,0.94,0.9,1,1,0.94,0.94,0.88,0.22960000000000003,0.9199999999999999,0.1968,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.34919772134399996,0.9490000000000001,1.2801551999999998,1.0676100759999998,0,1,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.7052,0.6232,0.5319999999999999,0.8600000000000001,0.96,1,0.9000000000000001,1,0.8,0.78,0.74,0.3827999999999999,0.76,0.32999999999999996,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.5330021201920001,0.8962000000000001,1.2552048,0.81059472,0,0.8959400000000002,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.6888000000000001,0.6080000000000001,0.476,0.98,1,1,0.9199999999999999,1,0.8200000000000001,0.8400000000000001,0.78,0.3036,0.8200000000000001,0.26399999999999996,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.4985280921600001,0.9344000000000001,1.3172144,0.9046436280000002,0,1,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.6724,0.5928,0.48999999999999994,0.8,0.9199999999999999,1,0.8800000000000001,0.8400000000000001,0.76,0.72,0.76,0.42239999999999994,0.7,0.3827999999999999,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.47672406912,0.8476,1.1673600000000002,0.7301306879999999,0,0.79154,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.6396000000000001,0.5624,0.5599999999999999,0.64,0.78,0.8800000000000001,0.76,0.72,0.6200000000000001,0.5800000000000001,0.62,0.5411999999999999,0.56,0.5147999999999999,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.44028631296000004,0.7126,0.9625536,0.5430075420000001,0,0.51958,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.6560000000000001,0.5472,0.518,0.9199999999999999,0.98,1,0.8400000000000001,1,0.78,0.8,0.72,0.34319999999999995,0.8,0.31679999999999997,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.4333403750400001,0.8986000000000002,1.263832,0.84116528,0,0.9804799999999998,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.6232000000000001,0.5624,0.588,0.76,0.8600000000000001,0.94,0.8,0.78,0.7,0.68,0.7,0.5015999999999999,0.64,0.4488,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.4329223823360001,0.7897999999999998,1.0725552,0.6587275600000001,0,0.6946,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.6068,0.5319999999999999,0.5459999999999999,0.96,1,1,0.98,1,0.8600000000000001,0.9000000000000001,0.8200000000000001,0.3564,0.9000000000000001,0.27719999999999995,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.39332096383999987,0.9518000000000001,1.3295871999999997,0.9570968100000001,0,1,monitor_and_strengthen_local_capacity
integrated_community_resilience,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.5084000000000001,0.44079999999999997,0.294,1,1,1,1,1,1,1,1,0.1848,1,0.15839999999999999,0.18,0.24,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.250457199872,1,1.35,1.1691500000000001,0,1,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.8256,0.7544,0.684,0.68,0.96,1,0.76,0.9199999999999999,0.64,0.62,0.58,0.48719999999999997,0.6,0.41000000000000003,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.793239650304,0.7932,1.1300464000000001,0.5965620159999999,0,0.6190600000000002,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.8063999999999999,0.7360000000000001,0.6120000000000001,0.8,1,1,0.78,1,0.6599999999999999,0.6799999999999999,0.62,0.3864,0.6599999999999999,0.32800000000000007,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.73880174592,0.8426000000000001,1.2124160000000002,0.6850628719999999,0,0.80592,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.7871999999999999,0.7176,0.63,0.62,0.9199999999999999,1,0.74,0.6799999999999999,0.6,0.56,0.6,0.5376,0.54,0.4756,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.70724818944,0.7334,1.0242272000000001,0.52282496,0,0.5080199999999999,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.7488,0.6808000000000001,0.7200000000000001,0.45999999999999996,0.78,0.8800000000000001,0.62,0.56,0.46,0.42,0.45999999999999996,0.6888,0.4,0.6396000000000001,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.6566005555200001,0.5984,0.8312760000000001,0.35540223600000004,0,0.21837999999999996,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.7296,0.6808000000000001,0.756,0.58,0.8600000000000001,0.94,0.66,0.62,0.54,0.52,0.54,0.6384,0.48,0.5576000000000001,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.6469172920320001,0.6756,0.9344903999999999,0.45832571200000005,0,0.40115999999999996,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.768,0.6624,0.666,0.74,0.98,1,0.7,0.8799999999999999,0.62,0.64,0.56,0.4368,0.64,0.3936,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.64424706048,0.79,1.1265531999999998,0.6261911040000001,0,0.70688,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.7103999999999999,0.644,0.7020000000000001,0.78,1,1,0.8400000000000001,0.8400000000000001,0.7,0.74,0.66,0.4536,0.74,0.34440000000000004,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.58596292608,0.8376,1.1772704,0.7314581800000001,0,0.79074,monitor_and_strengthen_local_capacity
local_organization_and_mutual_aid,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.5952,0.5336,0.378,0.9400000000000001,1,1,0.9199999999999999,0.8600000000000001,0.94,0.9199999999999999,0.88,0.23520000000000002,0.9199999999999999,0.1968,0.04,0.08,0.1,0.16,0.34,0.34,0.2,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.3656196464639999,0.9372000000000001,1.2606894000000002,1.042668016,0,1,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.8083999999999999,0.738,0.6536,0.74,0.8200000000000001,0.8600000000000001,0.74,0.96,0.78,0.78,0.62,0.3827999999999999,0.72,0.36,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.7525740948479998,0.798,1.061337,0.807217242,0,0.75344,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.7896,0.7200000000000001,0.5848,0.86,0.8999999999999999,0.8999999999999999,0.76,1,0.8,0.8400000000000001,0.66,0.3036,0.78,0.288,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.7014983270399999,0.8533999999999999,1.1571094,0.90088992,0,0.9324799999999999,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.7707999999999999,0.7020000000000001,0.602,0.68,0.78,0.8400000000000001,0.72,0.72,0.74,0.72,0.64,0.42239999999999994,0.6599999999999999,0.41759999999999997,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.67139886528,0.7354,0.9492984,0.727062912,0,0.64736,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.7332,0.666,0.6880000000000001,0.52,0.64,0.72,0.6,0.6,0.6000000000000001,0.5800000000000001,0.5,0.5411999999999999,0.52,0.5616,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.62269444224,0.6004,0.7578984,0.5406568600000001,0,0.3712000000000001,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.7143999999999999,0.666,0.7223999999999999,0.64,0.72,0.78,0.64,0.66,0.6799999999999999,0.68,0.5800000000000001,0.5015999999999999,0.6,0.48960000000000004,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.613274793984,0.6776,0.8592480000000001,0.655924464,0,0.5483200000000001,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.752,0.648,0.6364,0.7999999999999999,0.8400000000000001,0.96,0.6799999999999999,0.9199999999999999,0.76,0.8,0.6000000000000001,0.34319999999999995,0.76,0.34559999999999996,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.61134206976,0.8088000000000002,1.088,0.8376457599999999,0,0.8384,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.6956,0.63,0.6708000000000001,0.84,0.8800000000000001,0.8999999999999999,0.8200000000000001,0.88,0.8400000000000001,0.9000000000000001,0.7,0.3564,0.8600000000000001,0.3024,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.55581333696,0.851,1.1265564000000001,0.9531581400000002,0,0.9208799999999999,monitor_and_strengthen_local_capacity
participation_and_shared_authority,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.5828,0.522,0.36119999999999997,1,0.96,0.9199999999999999,0.8999999999999999,0.9,1,1,0.9199999999999999,0.1848,1,0.17279999999999998,0.06,0.1,0.14,0.22,0.2,0.18,0.18,0.22,0.32,0.34,0.2,0.34,0.3,0.28,0.34817553676799995,0.9493999999999999,1.24443,1.1691500000000001,0,1,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.8256,0.7707999999999999,0.6992,0.8600000000000001,0.74,0.8,0.7200000000000001,0.88,0.7,0.6799999999999999,0.56,0.41759999999999997,0.76,0.32999999999999996,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.8143531352063998,0.7605999999999999,1.0179024,0.68221816,0,0.8889800000000001,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.8063999999999999,0.752,0.6256,0.98,0.82,0.84,0.74,1,0.72,0.74,0.6000000000000001,0.3312,0.8200000000000001,0.26399999999999996,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.758161539072,0.8272,1.1377895999999998,0.7719786559999999,0,1,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.7871999999999999,0.7332,0.644,0.8,0.7,0.78,0.7000000000000001,0.64,0.6599999999999999,0.62,0.5800000000000001,0.4608,0.7,0.3827999999999999,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.7258553303039998,0.6980000000000001,0.9039360000000001,0.6058074560000001,0,0.78386,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.7488,0.6956,0.7360000000000001,0.64,0.56,0.66,0.58,0.52,0.52,0.48,0.44,0.5903999999999999,0.56,0.5147999999999999,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.674208018432,0.5630000000000001,0.7106544,0.43031846399999996,0,0.5097400000000001,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.7296,0.6956,0.7728,0.76,0.64,0.72,0.62,0.5800000000000001,0.6,0.5800000000000001,0.52,0.5472,0.64,0.4488,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.6643911770112001,0.6402,0.8120124,0.53925616,0,0.68548,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.768,0.6768,0.6808000000000001,0.9199999999999999,0.76,0.9,0.66,0.84,0.6799999999999999,0.7,0.54,0.3744,0.8,0.31679999999999997,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.6613295431680001,0.7714,1.0435868000000001,0.7116782399999999,0,0.9742399999999998,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.7103999999999999,0.6579999999999999,0.7176,0.96,0.8,0.84,0.8,0.8,0.76,0.8,0.64,0.38880000000000003,0.9000000000000001,0.27719999999999995,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.6016180961279999,0.8136,1.08216,0.8224518399999999,0,1,monitor_and_strengthen_local_capacity
trust_and_accountability,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.5952,0.5451999999999999,0.3864,1,0.88,0.86,0.88,0.8200000000000001,1,0.98,0.86,0.2016,1,0.15839999999999999,0.04,0.06,0.08,0.34,0.12,0.12,0.16,0.14,0.24,0.24,0.14,0.28,0.34,0.34,0.3746582298623999,0.9088,1.1626200000000002,1.1385640000000001,0,1,monitor_and_strengthen_local_capacity
