scenario,system_id,system_name,region,fiscal_context,debt_service_burden,revenue_capacity,essential_service_spending,public_investment,maintenance_capacity,adaptation_drr_spending,social_protection_capacity,governance_capacity,local_government_capacity,essential_service_cuts,public_investment_cuts,maintenance_deferral,adaptation_deferral,social_protection_cuts,public_workforce_stress,social_vulnerability,hazard_exposure,inequality_pressure,prior_deferred_risk,debt_service_reduction,revenue_capacity_gain,essential_spending_gain,public_investment_gain,maintenance_gain,adaptation_gain,social_protection_gain,governance_gain,local_government_gain,essential_cuts_reduction,investment_cuts_reduction,maintenance_deferral_reduction,adaptation_deferral_reduction,social_protection_cuts_reduction,workforce_stress_reduction,vulnerability_reduction,hazard_exposure_reduction,inequality_reduction,deferred_risk_reduction,debt_service_pressure,public_resilience_capacity,austerity_intensity,fiscal_resilience_risk,deferred_risk_burden,public_resilience_gap,diagnostic_priority
debt_relief_and_revenue_reform,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.4488,0.76,0.5,0.5,0.46,0.46,0.45999999999999996,0.6,0.54,0.6384,0.5084000000000001,0.5412,0.4756,0.6068,0.588,0.648,0.5888,0.6396000000000001,0.5984,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.46749999999999997,0.4968,0.556512,1.3312231789617077,0.5370048000000002,1.3714279789617079,close_public_resilience_gap
debt_relief_and_revenue_reform,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.4356,0.78,0.56,0.54,0.5,0.5,0.44000000000000006,0.66,0.5800000000000001,0.5376,0.45920000000000005,0.42640000000000006,0.41000000000000003,0.6724,0.48719999999999997,0.738,0.6624,0.6560000000000001,0.5808,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.44448979591836735,0.5338,0.496472,1.2552218557054788,0.47138880000000005,1.1928106557054787,protect_social_protection_and_care_systems
debt_relief_and_revenue_reform,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.40919999999999995,0.74,0.6,0.5,0.44,0.48000000000000004,0.54,0.58,0.4,0.504,0.5248,0.574,0.5084000000000001,0.45920000000000005,0.5712,0.6120000000000001,0.6072000000000001,0.574,0.5632,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.4353191489361702,0.5134,0.5197599999999999,1.2054561540616195,0.48710400000000004,1.1791601540616194,close_public_resilience_gap
debt_relief_and_revenue_reform,DAR008,Commodity shock and debt rollover pressure,Latin America,commodity_debt_rollover,0.4751999999999999,0.8,0.64,0.5800000000000001,0.54,0.54,0.62,0.64,0.56,0.42,0.4756,0.45920000000000005,0.4428000000000001,0.3936,0.47040000000000004,0.54,0.5336,0.5412,0.528,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.4751999999999999,0.5900000000000001,0.44208800000000004,1.0550619096758362,0.37283520000000003,0.8378971096758361,close_public_resilience_gap
debt_relief_and_revenue_reform,DAR003,Deferred infrastructure maintenance region,North America,maintenance_backlog,0.3564,0.9199999999999999,0.7,0.56,0.4,0.54,0.68,0.76,0.64,0.3696,0.45920000000000005,0.6724,0.4428000000000001,0.31160000000000004,0.3864,0.45,0.644,0.4756,0.6512,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.3182142857142857,0.6063999999999999,0.44726400000000005,0.8601307700149429,0.5301056000000001,0.783836370014943,restore_maintenance_and_infrastructure_capacity
debt_relief_and_revenue_reform,DAR006,Resilience-investment oriented fiscal system,Europe,resilience_investment,0.2244,1,0.88,0.88,0.84,0.84,0.9,0.92,0.86,0.1512,0.16400000000000003,0.1804,0.16400000000000003,0.1476,0.20159999999999997,0.30600000000000005,0.4232,0.2624,0.2288,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.187,0.8737999999999999,0.16477600000000003,0.28378810329365034,0,0,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.5411999999999999,0.72,0.76,0.68,0.64,0.6200000000000001,0.7,0.74,0.68,0.40919999999999995,0.4488,0.4751999999999999,0.5015999999999999,0.3827999999999999,0.42239999999999994,0.5147999999999999,0.588,0.5015999999999999,0.4619999999999999,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.5882608695652173,0.6890000000000001,0.4424639999999999,1.1111445261353738,0.2509855999999998,0.6731301261353737,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.5147999999999999,0.76,0.8,0.72,0.7,0.6000000000000001,0.76,0.8,0.72,0.34319999999999995,0.39599999999999996,0.3827999999999999,0.5411999999999999,0.31679999999999997,0.3564,0.42239999999999994,0.616,0.40919999999999995,0.4751999999999999,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.5362499999999999,0.7278,0.3933599999999999,0.9371580186317239,0.22854399999999983,0.43790201863172373,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.4488,0.8,0.72,0.7,0.68,0.66,0.64,0.78,0.74,0.5015999999999999,0.40919999999999995,0.4356,0.3827999999999999,0.48839999999999995,0.4619999999999999,0.4751999999999999,0.44799999999999995,0.5147999999999999,0.4488,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.4488,0.6980000000000001,0.4445759999999999,0.9150768108194808,0.2186303999999999,0.4357072108194807,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.40919999999999995,0.78,0.8200000000000001,0.7,0.66,0.68,0.72,0.76,0.6000000000000001,0.39599999999999996,0.42239999999999994,0.4619999999999999,0.40919999999999995,0.3696,0.4488,0.4488,0.46199999999999997,0.4619999999999999,0.42239999999999994,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.4175510204081632,0.7146000000000001,0.41553599999999996,0.8306145859553475,0.18061439999999995,0.2966289859553475,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.4356,0.8200000000000001,0.78,0.74,0.72,0.7,0.6200000000000001,0.8400000000000001,0.78,0.42239999999999994,0.3696,0.34319999999999995,0.32999999999999996,0.5411999999999999,0.3827999999999999,0.5411999999999999,0.504,0.5279999999999999,0.4356,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.42705882352941177,0.735,0.396792,0.8546128225523194,0.16231679999999996,0.28192962255231946,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR008,Commodity shock and debt rollover pressure,Latin America,commodity_debt_rollover,0.4751999999999999,0.8400000000000001,0.8600000000000001,0.78,0.76,0.74,0.8,0.8200000000000001,0.76,0.32999999999999996,0.3827999999999999,0.3696,0.3564,0.31679999999999997,0.3696,0.39599999999999996,0.40599999999999997,0.4356,0.39599999999999996,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.4569230769230768,0.7912,0.3534959999999999,0.7391754696543796,0.0813983999999999,0.029373869654379492,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR003,Deferred infrastructure maintenance region,North America,maintenance_backlog,0.3564,0.96,0.9199999999999999,0.76,0.6200000000000001,0.74,0.8600000000000001,0.94,0.8400000000000001,0.2904,0.3696,0.5411999999999999,0.3564,0.25079999999999997,0.3036,0.32999999999999996,0.48999999999999994,0.3827999999999999,0.48839999999999995,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.30724137931034484,0.8076,0.35798399999999997,0.5936718463170956,0.20759359999999996,0,monitor_and_strengthen_fiscal_resilience
integrated_fiscal_resilience,DAR006,Resilience-investment oriented fiscal system,Europe,resilience_investment,0.2244,1,1,1,1,1,1,1,1,0.11879999999999998,0.13199999999999998,0.1452,0.13199999999999998,0.11879999999999998,0.15839999999999999,0.2244,0.322,0.21119999999999997,0.17159999999999997,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.3,0.34,0.34,0.187,1,0.131736,0.21828514517141875,0,0,monitor_and_strengthen_fiscal_resilience
protect_essential_services,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.7215999999999999,0.52,0.76,0.48000000000000004,0.45999999999999996,0.42000000000000004,0.64,0.5800000000000001,0.52,0.40919999999999995,0.5712,0.6048,0.6384,0.40599999999999997,0.4864,0.6084,0.7728,0.5928,0.602,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,1.0022222222222221,0.5569999999999999,0.523728,1.961716484840881,0.5394912000000001,1.944207684840881,debt_restructuring_or_debt_service_relief
protect_essential_services,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.6864,0.56,0.8,0.52,0.52,0.4,0.7,0.64,0.56,0.34319999999999995,0.504,0.48719999999999997,0.6888,0.33599999999999997,0.41040000000000004,0.49920000000000003,0.8096,0.48360000000000003,0.6192,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.9031578947368422,0.5958000000000001,0.46771199999999996,1.6419974713959504,0.5182848,1.5644822713959505,debt_restructuring_or_debt_service_relief
protect_essential_services,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.5984,0.6000000000000001,0.72,0.5,0.5,0.46,0.5800000000000001,0.62,0.5800000000000001,0.5015999999999999,0.5207999999999999,0.5544,0.48719999999999997,0.518,0.5319999999999999,0.5616,0.5888,0.6084,0.5848,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.748,0.5660000000000001,0.517408,1.5297834650681519,0.4997632,1.463546665068152,close_public_resilience_gap
protect_essential_services,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.5808,0.62,0.78,0.54,0.54,0.5,0.56,0.6799999999999999,0.62,0.42239999999999994,0.47040000000000004,0.4368,0.42,0.574,0.44079999999999997,0.6396,0.6624,0.6240000000000001,0.5676,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.7082926829268292,0.603,0.45988799999999996,1.4435649072135033,0.43555520000000003,1.2761201072135033,close_public_resilience_gap
protect_essential_services,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.5456,0.5800000000000001,0.8200000000000001,0.5,0.48,0.48000000000000004,0.66,0.6,0.44,0.39599999999999996,0.5376,0.588,0.5207999999999999,0.392,0.5168,0.5304000000000001,0.6072000000000001,0.5459999999999999,0.5504,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.6994871794871794,0.5826,0.49036799999999997,1.398456487794607,0.4545472,1.270403687794607,close_public_resilience_gap
protect_essential_services,DAR008,Commodity shock and debt rollover pressure,Latin America,commodity_debt_rollover,0.6335999999999999,0.64,0.8600000000000001,0.5800000000000001,0.58,0.54,0.74,0.6599999999999999,0.6,0.32999999999999996,0.48719999999999997,0.47040000000000004,0.4536,0.33599999999999997,0.42560000000000003,0.46799999999999997,0.5336,0.5148,0.516,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.7542857142857141,0.6592,0.41756799999999994,1.2560180619456625,0.3430272,0.9398452619456623,close_public_resilience_gap
protect_essential_services,DAR003,Deferred infrastructure maintenance region,North America,maintenance_backlog,0.4752,0.76,0.9199999999999999,0.56,0.44000000000000006,0.54,0.8,0.78,0.6799999999999999,0.2904,0.47040000000000004,0.6888,0.4536,0.26599999999999996,0.3496,0.39,0.644,0.45239999999999997,0.6364,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.49500000000000005,0.6756,0.42832,0.9699869024418318,0.49972800000000006,0.7941149024418319,restore_maintenance_and_infrastructure_capacity
protect_essential_services,DAR006,Resilience-investment oriented fiscal system,Europe,resilience_investment,0.2992,0.92,1,0.88,0.88,0.84,1,0.94,0.8999999999999999,0.11879999999999998,0.168,0.1848,0.168,0.126,0.1824,0.26520000000000005,0.4232,0.24960000000000002,0.2236,0.12,0.14,0.34,0.14,0.16,0.14,0.28,0.18,0.18,0.34,0.16,0.16,0.16,0.3,0.24,0.22,0.08,0.22,0.14,0.2671428571428571,0.9219999999999999,0.155616,0.32364433637576656,0,0,monitor_and_strengthen_fiscal_resilience
restore_maintenance_and_adaptation,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.738,0.52,0.58,0.6200000000000001,0.64,0.6200000000000001,0.52,0.56,0.56,0.5332,0.48960000000000004,0.4751999999999999,0.5015999999999999,0.49879999999999997,0.5248,0.6864,0.6048,0.6688000000000001,0.48999999999999994,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,1.0250000000000001,0.5888,0.502176,1.9198298834512253,0.3148703999999999,1.6459002834512253,debt_restructuring_or_debt_service_relief
restore_maintenance_and_adaptation,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.7020000000000001,0.56,0.62,0.66,0.7,0.6000000000000001,0.58,0.62,0.6,0.4472,0.432,0.3827999999999999,0.5411999999999999,0.4128,0.4428000000000001,0.5632,0.6335999999999999,0.5456,0.504,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.9236842105263159,0.6276,0.4436319999999999,1.5884895302720496,0.28945279999999995,1.2503423302720496,debt_restructuring_or_debt_service_relief
restore_maintenance_and_adaptation,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.6120000000000001,0.6000000000000001,0.54,0.64,0.68,0.66,0.45999999999999996,0.6,0.62,0.6536,0.44639999999999996,0.4356,0.3827999999999999,0.6364,0.574,0.6335999999999999,0.4608,0.6864,0.476,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.7650000000000001,0.5978,0.515056,1.524542424645289,0.2860223999999999,1.212764824645289,protect_essential_services
restore_maintenance_and_adaptation,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.5940000000000001,0.62,0.6,0.68,0.72,0.7,0.44000000000000006,0.66,0.66,0.5504,0.4032,0.34319999999999995,0.32999999999999996,0.7051999999999999,0.4756,0.7215999999999999,0.5184,0.7040000000000001,0.46199999999999997,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.7243902439024391,0.6347999999999999,0.462776,1.4434436549877023,0.22711039999999996,1.0357540549877022,protect_social_protection_and_care_systems
restore_maintenance_and_adaptation,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.558,0.5800000000000001,0.64,0.64,0.66,0.68,0.54,0.58,0.48,0.516,0.4608,0.4619999999999999,0.40919999999999995,0.48160000000000003,0.5576000000000001,0.5984,0.4752,0.616,0.44799999999999995,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.7153846153846154,0.6144,0.47384000000000004,1.3720931088767794,0.24153599999999997,0.9992291088767794,close_public_resilience_gap
restore_maintenance_and_adaptation,DAR008,Commodity shock and debt rollover pressure,Latin America,commodity_debt_rollover,0.648,0.64,0.68,0.72,0.76,0.74,0.62,0.64,0.64,0.43,0.41759999999999997,0.3696,0.3564,0.4128,0.45920000000000005,0.528,0.41759999999999997,0.5808,0.42,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.7714285714285714,0.6910000000000001,0.40298399999999995,1.2355445616543228,0.13719359999999994,0.6817381616543228,monitor_and_strengthen_fiscal_resilience
restore_maintenance_and_adaptation,DAR003,Deferred infrastructure maintenance region,North America,maintenance_backlog,0.48600000000000004,0.76,0.74,0.7,0.6200000000000001,0.74,0.68,0.76,0.72,0.3784,0.4032,0.5411999999999999,0.3564,0.3268,0.37720000000000004,0.44,0.504,0.5104,0.518,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.5062500000000001,0.7073999999999999,0.40035199999999993,0.9257687378141336,0.26614079999999996,0.48450953781413364,monitor_and_strengthen_fiscal_resilience
restore_maintenance_and_adaptation,DAR006,Resilience-investment oriented fiscal system,Europe,resilience_investment,0.30600000000000005,0.92,0.92,1,1,1,0.9,0.92,0.94,0.1548,0.144,0.1452,0.13199999999999998,0.1548,0.1968,0.2992,0.3312,0.2816,0.182,0.1,0.14,0.16,0.28,0.34,0.34,0.16,0.16,0.22,0.14,0.28,0.34,0.34,0.14,0.18,0.12,0.28,0.12,0.3,0.27321428571428574,0.9562,0.150168,0.31356297339696215,0,0,monitor_and_strengthen_fiscal_resilience
social_protection_and_local_capacity,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.738,0.56,0.6,0.5,0.48,0.44000000000000006,0.7,0.62,0.68,0.496,0.5576000000000001,0.5904,0.6232000000000001,0.3827999999999999,0.4864,0.5459999999999999,0.756,0.5319999999999999,0.574,0.1,0.18,0.18,0.16,0.18,0.16,0.34,0.22,0.34,0.2,0.18,0.18,0.18,0.34,0.24,0.3,0.1,0.3,0.18,0.9710526315789474,0.5642,0.529328,1.8533447487021457,0.5017312,1.7908759487021455,debt_restructuring_or_debt_service_relief
social_protection_and_local_capacity,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.7020000000000001,0.6,0.64,0.54,0.54,0.42000000000000004,0.76,0.68,0.72,0.41600000000000004,0.492,0.4756,0.6724,0.31679999999999997,0.41040000000000004,0.44799999999999995,0.792,0.434,0.5904,0.1,0.18,0.18,0.16,0.18,0.16,0.34,0.22,0.34,0.2,0.18,0.18,0.18,0.34,0.24,0.3,0.1,0.3,0.18,0.8775000000000001,0.603,0.47176000000000007,1.5602309649926829,0.47910400000000003,1.4363349649926829,debt_restructuring_or_debt_service_relief
social_protection_and_local_capacity,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.6120000000000001,0.64,0.56,0.52,0.52,0.48,0.64,0.66,0.74,0.6080000000000001,0.5084000000000001,0.5412,0.4756,0.48839999999999995,0.5319999999999999,0.504,0.5760000000000001,0.5459999999999999,0.5576000000000001,0.1,0.18,0.18,0.16,0.18,0.16,0.34,0.22,0.34,0.2,0.18,0.18,0.18,0.34,0.24,0.3,0.1,0.3,0.18,0.7285714285714286,0.5732,0.527008,1.4609374660784094,0.4644032000000001,1.3521406660784097,close_public_resilience_gap
social_protection_and_local_capacity,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.558,0.62,0.6599999999999999,0.52,0.5,0.5,0.72,0.64,0.6000000000000001,0.48,0.5248,0.574,0.5084000000000001,0.3696,0.5168,0.476,0.5940000000000001,0.48999999999999994,0.5248,0.1,0.18,0.18,0.16,0.18,0.16,0.34,0.22,0.34,0.2,0.18,0.18,0.18,0.34,0.24,0.3,0.1,0.3,0.18,0.6804878048780488,0.5898,0.49627200000000005,1.333706223489516,0.41930880000000015,1.1632150234895162,close_public_resilience_gap
social_protection_and_local_capacity,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.5940000000000001,0.6599999999999999,0.62,0.56,0.56,0.52,0.6200000000000001,0.72,0.78,0.512,0.45920000000000005,0.42640000000000006,0.41000000000000003,0.5411999999999999,0.44079999999999997,0.574,0.648,0.5599999999999999,0.5412,0.1,0.18,0.18,0.16,0.18,0.16,0.34,0.22,0.34,0.2,0.18,0.18,0.18,0.34,0.24,0.3,0.1,0.3,0.18,0.6906976744186049,0.6102000000000001,0.466648,1.3728026911090132,0.3998592000000001,1.1624618911090132,close_public_resilience_gap
