scenario,system_id,system_name,domain,region,stress_type,initiating_shock_severity,dependency_density,hidden_coupling,critical_node_exposure,backup_capacity,modularity_capacity,cross_sector_coordination,restoration_speed,redundancy_capacity,social_vulnerability,governance_readiness,system_criticality,cascade_exposure,monitoring_capacity,public_trust,shock_reduction,dependency_reduction,coupling_reduction,critical_node_reduction,backup_gain,modularity_gain,coordination_gain,restoration_gain,redundancy_gain,vulnerability_reduction,governance_gain,cascade_exposure_reduction,monitoring_gain,trust_gain,dependency_pressure,containment_capacity,governance_response_capacity,propagation_likelihood,cascade_amplification,essential_function_continuity,continuity_gap,justice_weighted_cascade_risk,diagnostic_priority
critical_node_hardening,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.648,0.738,0.6688000000000001,0.5772,0.5,0.5,0.62,0.54,0.46,0.684,0.62,0.9,0.6215999999999999,0.64,0.6,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.7045440000000001,0.5364,0.6012,1.020229512265225,2.577446797414687,0.5348,2.0426467974146867,1.974215742903987,essential_function_continuity_gap
critical_node_hardening,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.7020000000000001,0.774,0.6512,0.6068,0.5800000000000001,0.52,0.6000000000000001,0.6,0.5800000000000001,0.522,0.66,0.92,0.7055999999999999,0.68,0.64,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.7208160000000001,0.5868000000000001,0.628,1.1085785685883107,2.5274833628190283,0.5960000000000001,1.9314833628190282,1.856318011344186,essential_function_continuity_gap
critical_node_hardening,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.684,0.792,0.7215999999999999,0.6215999999999999,0.56,0.48,0.66,0.5800000000000001,0.52,0.48600000000000004,0.66,0.88,0.7223999999999999,0.72,0.62,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.7457119999999999,0.5776,0.6444000000000001,1.107141111616837,2.395403216134258,0.5816,1.813803216134258,1.7594556316581105,essential_function_continuity_gap
critical_node_hardening,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.63,0.756,0.7040000000000001,0.592,0.54,0.46,0.64,0.62,0.48,0.41400000000000003,0.7000000000000001,0.84,0.6888,0.8,0.68,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.7160800000000002,0.5716000000000001,0.6744,0.9966394131564731,1.980960930852142,0.5804,1.400560930852142,1.4384115008439617,essential_function_continuity_gap
critical_node_hardening,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.522,0.432,0.35200000000000004,0.34040000000000004,0.8999999999999999,0.96,0.9,0.8799999999999999,0.9199999999999999,0.324,0.9400000000000001,0.7,0.3864,0.92,0.88,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.4253680000000001,0.922,0.9036000000000001,0.49421428083678476,0.7605769941114258,0.8976000000000001,0,0.49159602041931777,monitor_and_strengthen_containment
critical_node_hardening,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.468,0.378,0.31679999999999997,0.3256,0.94,0.94,0.84,0.8600000000000001,0.8999999999999999,0.28800000000000003,0.88,0.66,0.35279999999999995,0.9,0.86,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.38759200000000005,0.9087999999999999,0.8636,0.4312110285423564,0.6432909352265418,0.8860000000000001,0,0.419001698487896,monitor_and_strengthen_containment
cross_sector_continuity,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.7912,0.666,0.5940000000000001,0.616,0.46,0.52,0.68,0.6000000000000001,0.5,0.7215999999999999,0.64,0.78,0.6232000000000001,0.62,0.6,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.6493600000000002,0.5464,0.6348,1.198760072119001,2.857351253644287,0.556,2.301351253644287,2.2389436672572507,essential_function_continuity_gap
cross_sector_continuity,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.7728,0.7020000000000001,0.63,0.6688000000000001,0.5,0.54,0.7,0.64,0.52,0.6512,0.6799999999999999,0.86,0.6560000000000001,0.66,0.62,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.6952160000000001,0.5744,0.6664,1.194479992653167,2.8128783645602327,0.5852,2.2276783645602327,2.1513065810164425,essential_function_continuity_gap
cross_sector_continuity,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.6624,0.738,0.684,0.6864,0.48,0.5,0.76,0.62,0.46,0.6688000000000001,0.7,0.9,0.6068,0.7,0.6599999999999999,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.7331280000000001,0.5652,0.694,1.0378403998654016,2.491389963815814,0.5792,1.912189963815814,1.908691887814004,essential_function_continuity_gap
cross_sector_continuity,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.7176,0.774,0.666,0.7215999999999999,0.56,0.52,0.74,0.6799999999999999,0.5800000000000001,0.5104,0.74,0.92,0.6888000000000001,0.74,0.7,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.7505120000000001,0.6155999999999999,0.7208,1.1271288931653716,2.444025797534961,0.6404,1.803625797534961,1.7975073514642872,essential_function_continuity_gap
cross_sector_continuity,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.6992,0.792,0.738,0.7392,0.54,0.48,0.8,0.66,0.52,0.4752,0.74,0.88,0.7052,0.78,0.6799999999999999,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.776504,0.6063999999999999,0.7372,1.126101299980725,2.317279458603646,0.6260000000000001,1.6912794586036457,1.7050950414751231,essential_function_continuity_gap
cross_sector_continuity,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.644,0.756,0.7200000000000001,0.7040000000000001,0.52,0.46,0.78,0.7,0.48,0.4048,0.78,0.84,0.6724,0.8600000000000001,0.74,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.7455200000000001,0.6004,0.7672000000000001,1.0134748158435611,1.9162304586462526,0.6248,1.2914304586462526,1.3933944334351918,essential_function_continuity_gap
cross_sector_continuity,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.5336,0.432,0.36000000000000004,0.4048,0.8799999999999999,0.96,1,0.96,0.9199999999999999,0.31679999999999997,1,0.7,0.37720000000000004,0.98,0.94,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.441936,0.9443999999999999,0.9803999999999999,0.5008398257904803,0.736445157876891,0.9347999999999999,0,0.48390593778787977,monitor_and_strengthen_containment
cross_sector_continuity,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.47840000000000005,0.378,0.324,0.3872,0.9199999999999999,0.94,0.98,0.9400000000000001,0.8999999999999999,0.2816,0.96,0.66,0.34440000000000004,0.96,0.9199999999999999,0.08,0.1,0.1,0.12,0.18,0.18,0.28,0.26,0.18,0.12,0.24,0.18,0.2,0.18,0.403304,0.9375999999999998,0.9564,0.4348687925285413,0.6154747502462925,0.9304,0,0.4094495607853897,monitor_and_strengthen_containment
dependency_mapping_and_monitoring,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.8256,0.6956,0.5940000000000001,0.644,0.34,0.4,0.54,0.42000000000000004,0.38,0.7707999999999999,0.52,0.78,0.6992,0.6799999999999999,0.52,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.6655840000000002,0.4556,0.5244,1.3607053589405307,3.5017773027565022,0.42600000000000005,3.075777302756502,2.772329516331217,essential_function_continuity_gap
dependency_mapping_and_monitoring,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.8063999999999999,0.7332,0.63,0.6992,0.38,0.42,0.56,0.46,0.4,0.6956,0.56,0.86,0.7360000000000001,0.72,0.54,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.712512,0.48360000000000003,0.5559999999999999,1.3587651868920643,3.451376904418527,0.45520000000000005,2.996176904418527,2.6686743245678106,essential_function_continuity_gap
dependency_mapping_and_monitoring,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.6911999999999999,0.7707999999999999,0.684,0.7176,0.36,0.38,0.62,0.44,0.34,0.7143999999999999,0.5800000000000001,0.9,0.6808000000000001,0.76,0.58,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.751144,0.4744,0.5836,1.178838249747743,3.0555624725679413,0.4492,2.6063624725679415,2.3716279688918025,essential_function_continuity_gap
dependency_mapping_and_monitoring,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.7488,0.8083999999999999,0.666,0.7544,0.44,0.4,0.6000000000000001,0.5,0.46,0.5451999999999999,0.62,0.92,0.7728,0.8,0.62,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.769424,0.5247999999999999,0.6104,1.2857838881776888,2.999682722090123,0.5104,2.489282722090123,2.2365483534931223,essential_function_continuity_gap
dependency_mapping_and_monitoring,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.7296,0.8271999999999999,0.738,0.7728,0.42,0.36,0.66,0.48000000000000004,0.4,0.5076,0.62,0.88,0.7912,0.84,0.6,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.7958639999999999,0.5156000000000001,0.6268,1.284907515494653,2.8428603175059326,0.49600000000000005,2.3468603175059326,2.1205578386722888,dependency_mapping_priority
dependency_mapping_and_monitoring,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.6719999999999999,0.7896,0.7200000000000001,0.7360000000000001,0.4,0.34,0.64,0.52,0.36,0.4324,0.66,0.84,0.7544,0.92,0.66,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.7639840000000001,0.5096,0.6568,1.1547788486540849,2.3439015061133954,0.4948,1.8491015061133953,1.73389376072972,essential_function_continuity_gap
dependency_mapping_and_monitoring,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.5568,0.45119999999999993,0.36000000000000004,0.4232,0.76,0.8400000000000001,0.9,0.7799999999999999,0.8,0.3384,0.9,0.7,0.4232,1,0.86,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.452512,0.8528000000000001,0.8804,0.572210895275657,0.9007602124147231,0.812,0.0887602124147231,0.5911591388933071,monitor_and_strengthen_containment
dependency_mapping_and_monitoring,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.4992,0.3948,0.324,0.4048,0.8,0.8200000000000001,0.84,0.76,0.78,0.3008,0.84,0.66,0.3864,1,0.84,0.04,0.06,0.1,0.08,0.06,0.06,0.14,0.08,0.06,0.06,0.12,0.08,0.26,0.1,0.41288800000000003,0.8432000000000001,0.8432000000000001,0.4968825862238022,0.756288647309819,0.8004000000000001,0,0.48401714324649414,monitor_and_strengthen_containment
justice_centered_containment,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.774,0.6512,0.5808,0.602,0.48000000000000004,0.54,0.64,0.56,0.52,0.6068,0.64,0.78,0.6080000000000001,0.62,0.6599999999999999,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.6372880000000001,0.5532,0.6204000000000001,1.1543296756313182,2.5846145779802443,0.5588000000000001,2.025814577980244,1.974133725924187,essential_function_continuity_gap
justice_centered_containment,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.756,0.6864,0.616,0.6536,0.52,0.56,0.6599999999999999,0.6,0.54,0.5476,0.6799999999999999,0.86,0.6400000000000001,0.66,0.6799999999999999,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.6823680000000001,0.5812,0.652,1.1496117351308084,2.5540396072873763,0.588,1.9660396072873763,1.9069786287988262,essential_function_continuity_gap
justice_centered_containment,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.648,0.7215999999999999,0.6688000000000001,0.6708000000000001,0.5,0.52,0.72,0.58,0.48000000000000004,0.5624,0.7,0.9,0.592,0.7,0.72,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.71956,0.5720000000000001,0.6796,0.9989103468519934,2.259993023571122,0.5820000000000001,1.677993023571122,1.686708425928794,essential_function_continuity_gap
justice_centered_containment,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.7020000000000001,0.7568,0.6512,0.7051999999999999,0.5800000000000001,0.54,0.7,0.64,0.6000000000000001,0.42919999999999997,0.74,0.92,0.672,0.74,0.76,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.736616,0.6224,0.7063999999999999,1.0840827449490558,2.2393047521931977,0.6432000000000001,1.5961047521931975,1.6121768776869536,essential_function_continuity_gap
justice_centered_containment,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.684,0.7744,0.7215999999999999,0.7223999999999999,0.56,0.5,0.76,0.62,0.54,0.3996,0.74,0.88,0.6880000000000001,0.78,0.74,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.7619039999999999,0.6132000000000001,0.7227999999999999,1.0827163224450016,2.128181660929732,0.6288,1.499381660929732,1.5346727788620946,essential_function_continuity_gap
justice_centered_containment,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.63,0.7392,0.7040000000000001,0.6880000000000001,0.54,0.48000000000000004,0.74,0.66,0.5,0.34040000000000004,0.78,0.84,0.656,0.8600000000000001,0.8,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.7314880000000001,0.6072,0.7528,0.9747986212029545,1.7707273402010388,0.6276,1.1431273402010387,1.2627420885472527,essential_function_continuity_gap
justice_centered_containment,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.522,0.4224,0.35200000000000004,0.3956,0.8999999999999999,0.98,1,0.9199999999999999,0.94,0.26639999999999997,1,0.7,0.36800000000000005,0.98,1,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.4342480000000001,0.9576,0.9779999999999999,0.4809335554863499,0.6809774716016476,0.9448,0,0.4432365876014938,monitor_and_strengthen_containment
justice_centered_containment,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.468,0.3696,0.31679999999999997,0.3784,0.94,0.96,0.94,0.9,0.9199999999999999,0.2368,0.96,0.66,0.336,0.96,0.98,0.1,0.12,0.12,0.14,0.2,0.2,0.24,0.22,0.2,0.26,0.24,0.2,0.2,0.24,0.39635200000000004,0.9443999999999999,0.9420000000000001,0.4199621088779551,0.5779455070985131,0.9332,0,0.37921110410833675,monitor_and_strengthen_containment
modularity_and_redundancy,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.8083999999999999,0.6512,0.5808,0.616,0.5,0.6000000000000001,0.52,0.46,0.5800000000000001,0.7544,0.52,0.78,0.6536,0.52,0.5,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.640368,0.5468000000000001,0.5031999999999999,1.2284894859735884,3.1607054494991678,0.5132000000000001,2.6475054494991674,2.4723876148842137,essential_function_continuity_gap
modularity_and_redundancy,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.7896,0.6864,0.616,0.6688000000000001,0.54,0.62,0.54,0.5,0.6000000000000001,0.6808000000000001,0.56,0.86,0.6880000000000001,0.56,0.52,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.6857120000000001,0.5748000000000001,0.5348,1.224361702465168,3.1112370460224796,0.5424000000000001,2.5688370460224794,2.375182164107118,essential_function_continuity_gap
modularity_and_redundancy,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.6768,0.7215999999999999,0.6688000000000001,0.6864,0.52,0.5800000000000001,0.6,0.48,0.54,0.6992,0.5800000000000001,0.9,0.6364,0.6,0.5599999999999999,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.722992,0.5656,0.5624,1.0629521807112325,2.756220119852249,0.5364,2.219820119852249,2.1099494342628833,essential_function_continuity_gap
modularity_and_redundancy,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.7332,0.7568,0.6512,0.7215999999999999,0.6,0.6000000000000001,0.5800000000000001,0.54,0.66,0.5336,0.62,0.92,0.7223999999999999,0.64,0.6,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.7402240000000001,0.616,0.5892,1.1554239483997557,2.700566311703613,0.5976,2.102966311703613,1.9825573447008238,essential_function_continuity_gap
modularity_and_redundancy,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.7143999999999999,0.7744,0.7215999999999999,0.7392,0.58,0.56,0.64,0.52,0.6000000000000001,0.4968000000000001,0.62,0.88,0.7395999999999999,0.6799999999999999,0.58,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.7656,0.6068,0.6056,1.15427626854325,2.559644506191253,0.5832,1.9764445061912528,1.878823092843357,essential_function_continuity_gap
modularity_and_redundancy,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.6579999999999999,0.7392,0.7040000000000001,0.7040000000000001,0.56,0.54,0.62,0.56,0.56,0.4232,0.66,0.84,0.7051999999999999,0.76,0.64,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.7350080000000001,0.6008,0.6356,1.038579557373401,2.1146878417455586,0.5820000000000001,1.5326878417455585,1.5346636666991469,essential_function_continuity_gap
modularity_and_redundancy,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.5451999999999999,0.4224,0.35200000000000004,0.4048,0.9199999999999999,1,0.88,0.82,1,0.3312,0.9,0.7,0.3956,0.88,0.84,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.436272,0.9416000000000001,0.8648,0.5137405719573466,0.8107150153302284,0.8992,0,0.5176647668596216,monitor_and_strengthen_containment
modularity_and_redundancy,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.4888,0.3696,0.31679999999999997,0.3872,0.96,1,0.82,0.8,0.98,0.2944,0.84,0.66,0.36119999999999997,0.86,0.82,0.06,0.12,0.12,0.12,0.22,0.26,0.12,0.12,0.26,0.08,0.12,0.14,0.1,0.08,0.398288,0.9332,0.8248,0.4465818813854744,0.6825629505537669,0.8876,0,0.43936645605481206,monitor_and_strengthen_containment
systemic_resilience_portfolio,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.7052,0.5624,0.5016,0.518,0.5800000000000001,0.64,0.7,0.64,0.62,0.6232,0.7,0.78,0.5472,0.7,0.6799999999999999,0.18,0.24,0.24,0.26,0.3,0.3,0.3,0.3,0.3,0.24,0.3,0.28,0.28,0.26,0.564856,0.6432,0.6831999999999999,0.934305220178322,2.0539836411498498,0.6364000000000001,1.4175836411498497,1.5633302922781855,essential_function_continuity_gap
systemic_resilience_portfolio,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.6888000000000001,0.5928,0.5319999999999999,0.5624,0.62,0.6599999999999999,0.72,0.6799999999999999,0.64,0.5624,0.74,0.86,0.576,0.74,0.7,0.18,0.24,0.24,0.26,0.3,0.3,0.3,0.3,0.3,0.24,0.3,0.28,0.28,0.26,0.60528,0.6711999999999999,0.7148,0.927330164704764,2.0206755272765418,0.6656000000000001,1.3550755272765418,1.4988764106311958,essential_function_continuity_gap
systemic_resilience_portfolio,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.5904,0.6232,0.5776,0.5772,0.6,0.62,0.78,0.6599999999999999,0.5800000000000001,0.5776,0.76,0.9,0.5327999999999999,0.78,0.74,0.18,0.24,0.24,0.26,0.3,0.3,0.3,0.3,0.3,0.24,0.3,0.28,0.28,0.26,0.638152,0.662,0.7424,0.8056750971760855,1.787458838868944,0.6596,1.1278588388689441,1.323641642639095,essential_function_continuity_gap
systemic_resilience_portfolio,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.6396000000000001,0.6536,0.5624,0.6068,0.6799999999999999,0.64,0.76,0.72,0.7,0.44079999999999997,0.8,0.92,0.6048,0.8200000000000001,0.78,0.18,0.24,0.24,0.26,0.3,0.3,0.3,0.3,0.3,0.24,0.3,0.28,0.28,0.26,0.65324,0.7124,0.7692,0.8705037092497933,1.7597955192770462,0.7208000000000001,1.0389955192770461,1.2479968444118563,essential_function_continuity_gap
systemic_resilience_portfolio,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.6232000000000001,0.6688000000000001,0.6232,0.6215999999999999,0.6599999999999999,0.6,0.8200000000000001,0.7,0.64,0.41040000000000004,0.8,0.88,0.6192,0.86,0.76,0.18,0.24,0.24,0.26,0.3,0.3,0.3,0.3,0.3,0.24,0.3,0.28,0.28,0.26,0.674304,0.7032,0.7856000000000001,0.8678187864301273,1.6683653557929254,0.7064000000000001,0.9619653557929253,1.1833473833203128,essential_function_continuity_gap
